Date,rate_CCJ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.2036,-1.8027
2016-03,5.6625,4.5695
2016-04,1.8615,3.6217
2016-05,-5.639,4.6859
2016-06,-9.7778,4.2011
2016-07,-20.092,7.3141
2016-08,-19.9536,6.5393
2016-09,-23.5154,5.8417
2016-10,-29.0673,3.4057
2016-11,-11.8692,7.0013
2016-12,1.2093,8.6582
2017-01,23.1094,9.9058
2017-02,6.4767,13.4199
2017-03,5.8841,12.5861
2017-04,-8.5715,12.9516
2017-05,-11.6574,13.7442
2017-06,-12.283,14.6714
2017-07,-0.4876,16.2352
2017-08,-2.6107,15.7466
2017-09,-5.9723,17.3266
2017-10,-20.6045,19.2474
2017-11,-7.6575,22.0133
2017-12,-8.862,22.6523
2018-01,-8.8046,28.4864
2018-02,-12.3279,22.6807
2018-03,-9.2282,18.8927
2018-04,5.5168,18.6249
2018-05,3.1418,20.8091
2018-06,12.1618,20.9812
2018-07,7.3029,24.5763
2018-08,3.1923,27.7899
2018-09,12.8905,27.6747
2018-10,5.8468,18.1983
2018-11,17.0057,19.8597
2018-12,11.3393,8.8011
2019-01,18.5579,17.1215
2019-02,12.914,20.4441
2019-03,14.5372,22.1999
2019-04,6.9068,26.5012
2019-05,-2.406,17.9266
2019-06,3.838,25.7011
2019-07,-11.1313,26.9004
2019-08,-14.8981,24.2426
2019-09,-7.465,26.142
2019-10,-12.8004,28.3311
2019-11,-9.4645,32.3256
2019-12,-12.6966,35.5485
2020-01,-20.5936,34.7719
2020-02,-14.1561,23.2511
2020-03,-24.1848,7.5779
2020-04,-0.6228,21.2186
2020-05,8.3942,26.5774
2020-06,2.1007,28.3766
2020-07,1.1833,35.3325
2020-08,15.1866,44.0777
2020-09,0.3366,37.914
2020-10,-5.4825,33.7633
2020-11,-0.3216,47.7098
2020-12,33.2978,52.3667
2021-01,23.0515,49.9654
2021-02,54.3461,53.2453
2021-03,62.7509,60.4049
2021-04,63.6583,67.83
2021-05,93.2386,67.8968
2021-06,84.1621,70.6358
2021-07,69.7392,73.7106
2021-08,75.5335,77.7187
2021-09,104.5972,68.3779
2021-10,127.0823,79.119
2021-11,114.8685,76.6949
2021-12,100.7199,83.6042
2022-01,77.6007,72.9303
2022-02,123.2509,66.8181
2022-03,162.3489,72.1992
2022-04,130.8093,56.2223
2022-05,117.221,55.8933
2022-06,85.3284,42.4002
2022-07,125.8032,54.8512
2022-08,153.68,47.8158
2022-09,129.0133,33.7039
2022-10,103.514,44.0824
2022-11,107.8965,51.4429
2022-12,92.1564,42.1877
2023-01,136.0538,50.5828
2023-02,128.8399,46.2373
2023-03,117.611,52.2586
2023-04,127.178,54.0684
2023-05,128.6116,54.1996
2023-06,155.5475,63.548
2023-07,184.857,68.1942
2023-08,197.6626,64.7317
2023-09,216.6044,56.2636
2023-10,224.3655,52.2886
2023-11,261.4208,65.5989
2023-12,236.6872,72.448
2024-01,270.2966,74.4576
2024-02,211.9416,82.7177
2024-03,231.0797,89.0282
2024-04,246.2148,80.6052
2024-05,318.1534,88.8335
2024-06,267.8701,96.0415
2024-07,237.7164,97.3583
2024-08,201.249,101.128
2024-09,250.0328,105.7758
2024-10,280.1103,102.865
2024-11,331.3802,113.7798
2024-12,270.2558,107.7813
2025-01,253.8258,112.3595
2025-02,213.1391,108.6721
2025-03,190.8747,96.0839
2025-04,217.1758,93.6359
2025-05,308.6345,104.9003
2025-06,414.7805,114.5225
2025-07,416.0245,118.4064
2025-08,429.2797,121.8959
2025-09,469.5403,128.6764
2025-10,589.2874,133.0211
2025-11,492.626,132.409
2025-12,509.5328,131.4906
2026-01,716.3363,133.7386
2026-02,677.6943,130.7823
2026-03,608.3506,117.6098
2026-04,696.8605,139.3863
2026-05,624.8128,150.8374
2026-06,550.6336,146.5232
2026-07,448.1299,145.3136
2026-08,530.5406,151.4971
