Date,rate_CIEN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.4522,-3.7423
2016-03,10.2956,0.3764
2016-04,-4.107,5.1946
2016-05,-13.4886,3.5695
2016-06,-5.8824,4.8356
2016-07,-1.1176,4.3651
2016-08,3.1562,7.2005
2016-09,23.737,6.5176
2016-10,13.9287,5.8316
2016-11,-0.8431,2.6321
2016-12,7.179,6.5262
2017-01,25.3702,8.6002
2017-02,21.7426,9.8701
2017-03,31.8114,14.9815
2017-04,15.9348,12.5254
2017-05,11.5251,13.1716
2017-06,31.5484,14.581
2017-07,19.4317,14.626
2017-08,22.9942,16.4591
2017-09,3.4159,15.9061
2017-10,2.8272,17.2911
2017-11,-2.4008,19.4181
2017-12,1.6764,21.7575
2018-01,-2.1381,22.6249
2018-02,2.5294,28.3844
2018-03,9.02,21.0506
2018-04,20.7062,18.8566
2018-05,19.4999,18.843
2018-06,7.8167,22.0592
2018-07,21.7952,20.962
2018-08,15.8361,24.4135
2018-09,43.6269,27.7869
2018-10,33.6952,28.1445
2018-11,41.1097,19.3954
2018-12,44.678,19.8359
2019-01,49.1064,8.7501
2019-02,66.9077,17.203
2019-03,84.3753,21.2677
2019-04,60.9458,23.6016
2019-05,61.9522,25.5902
2019-06,46.0966,17.8911
2019-07,74.1704,26.7327
2019-08,82.4684,25.8061
2019-09,66.4406,24.2046
2019-10,47.0672,24.595
2019-11,45.8017,29.5299
2019-12,50.9075,32.3145
2020-01,68.5162,35.5516
2020-02,59.2083,34.7733
2020-03,49.3964,23.2161
2020-04,54.2934,2.6957
2020-05,77.6704,17.923
2020-06,112.9341,27.1545
2020-07,101.7672,29.2791
2020-08,121.9994,35.3897
2020-09,116.4577,45.4969
2020-10,45.4056,38.8421
2020-11,43.3473,33.8054
2020-12,64.5148,49.4413
2021-01,90.09,52.4925
2021-02,95.7848,52.5474
2021-03,87.7236,57.1165
2021-04,98.9108,62.2404
2021-05,75.9885,68.0147
2021-06,85.3132,67.9506
2021-07,98.8094,71.7835
2021-08,98.4939,73.9065
2021-09,92.7737,78.108
2021-10,75.7783,70.559
2021-11,84.8288,79.7147
2021-12,99.2843,74.8714
2022-01,154.0048,83.8439
2022-02,116.4513,74.2485
2022-03,118.6449,64.4857
2022-04,96.8713,72.8765
2022-05,76.7857,56.3809
2022-06,63.6156,54.7432
2022-07,44.6959,43.9638
2022-08,63.3923,54.5402
2022-09,42.9259,48.4061
2022-10,26.5835,33.808
2022-11,49.7734,43.6413
2022-12,39.0017,51.6237
2023-01,58.0348,42.3283
2023-02,60.5917,52.4008
2023-03,49.1921,45.8599
2023-04,60.7789,52.4428
2023-05,40.7925,54.1535
2023-06,42.8851,55.8684
2023-07,28.6603,63.7729
2023-08,26.7735,67.9151
2023-09,46.0699,65.3142
2023-10,41.9394,56.4671
2023-11,26.7322,54.158
2023-12,39.6533,66.8181
2024-01,34.0569,72.7134
2024-02,60.6774,77.0248
2024-03,80.0311,84.7703
2024-04,44.9032,89.0895
2024-05,36.9354,80.3005
2024-06,41.079,89.1407
2024-07,39.4196,96.817
2024-08,49.3748,94.9948
2024-09,67.3626,101.4737
2024-10,77.7095,104.2286
2024-11,84.233,104.0979
2024-12,99.934,114.1559
2025-01,142.0804,108.1307
2025-02,147.3909,112.719
2025-03,124.6753,109.0154
2025-04,72.896,97.097
2025-05,99.9254,95.2965
2025-06,123.0878,105.2137
2025-07,122.1458,114.7559
2025-08,144.5958,115.142
2025-09,158.0103,122.2543
2025-10,314.3907,129.8729
2025-11,415.3896,133.4127
2025-12,441.5468,131.7276
2026-01,526.0741,131.8756
2026-02,707.1212,120.852
