Date,rate_APH_5D,rate_VOO_20D
2016-01,0.0,-0.1777
2016-02,5.8644,-0.0314
2016-03,11.8372,5.187
2016-04,4.7419,3.6797
2016-05,8.891,3.1295
2016-06,4.7636,1.6351
2016-07,8.0048,4.6041
2016-08,11.9699,4.1366
2016-09,15.2074,2.987
2016-10,15.4848,0.8639
2016-11,18.0444,4.3141
2016-12,14.8781,6.0824
2017-01,15.3736,7.9429
2017-02,17.166,11.2911
2017-03,19.0134,10.5412
2017-04,19.6828,10.8734
2017-05,22.2077,11.6776
2017-06,19.5679,11.6154
2017-07,22.999,13.1314
2017-08,28.5709,12.7287
2017-09,32.9309,14.3342
2017-10,34.9926,16.2325
2017-11,38.8894,18.9549
2017-12,32.9904,19.6262
2018-01,40.5157,26.238
2018-02,36.7402,19.9516
2018-03,27.5703,16.2518
2018-04,23.0294,15.1572
2018-05,26.844,17.311
2018-06,26.1279,17.5108
2018-07,34.3456,20.9213
2018-08,34.7125,24.0281
2018-09,33.9149,24.7402
2018-10,26.407,17.981
2018-11,23.3667,18.3692
2018-12,12.9415,7.5007
2019-01,22.5544,15.9689
2019-02,30.2589,19.2225
2019-03,29.9929,20.8741
2019-04,36.0463,25.0855
2019-05,18.0165,19.0127
2019-06,29.5998,22.8977
2019-07,25.2636,24.0373
2019-08,16.9689,20.9149
2019-09,28.9361,23.2381
2019-10,33.3382,23.2464
2019-11,37.3209,27.0887
2019-12,42.0215,30.1681
2020-01,30.5265,29.6659
2020-02,19.6486,22.8765
2020-03,-5.2941,18.5968
2020-04,14.9434,33.4196
2020-05,25.4637,38.995
2020-06,23.9279,38.083
2020-07,36.2633,42.4175
2020-08,40.6731,51.3811
2020-09,37.8999,43.2295
2020-10,42.9224,37.6534
2020-11,64.6898,46.2699
2020-12,63.4216,50.7796
2021-01,56.0618,48.7298
2021-02,56.0156,45.5951
2021-03,62.6653,47.1283
2021-04,64.8827,53.9463
2021-05,63.5892,48.9882
2021-06,65.2725,51.4587
2021-07,73.9516,54.2414
2021-08,82.5884,57.8367
2021-09,73.215,49.5896
2021-10,80.3287,57.5002
2021-11,87.9469,54.8735
2021-12,102.9905,57.0876
2022-01,83.3171,47.5504
2022-02,73.8864,39.1192
2022-03,71.7842,43.2002
2022-04,62.008,36.1244
2022-05,59.6714,37.7767
2022-06,44.7792,22.6093
2022-07,72.712,33.3609
2022-08,63.7063,27.4386
2022-09,48.7358,18.8272
2022-10,67.6183,23.4213
2022-11,76.8169,29.8603
2022-12,66.8878,24.6232
2023-01,74.822,29.7169
2023-02,68.9227,26.3204
2023-03,77.598,29.739
2023-04,63.1222,31.4054
2023-05,62.2782,31.633
2023-06,82.2886,39.7142
2023-07,88.4752,43.7604
2023-08,87.5602,39.1386
2023-09,77.702,32.0966
2023-10,69.5763,28.8359
2023-11,90.6252,40.1718
2023-12,106.988,46.0836
2024-01,111.0914,43.7661
2024-02,126.7071,50.6773
2024-03,138.3319,54.9988
2024-04,147.9473,49.5349
2024-05,170.0078,53.3569
2024-06,173.4261,58.1938
2024-07,159.0343,56.5839
2024-08,170.1678,59.3404
2024-09,161.6567,58.4112
2024-10,167.4252,56.3075
2024-11,187.9978,64.8064
2024-12,174.1209,60.3186
2025-01,179.3567,64.6165
2025-02,161.1619,61.4171
2025-03,156.2998,55.5919
2025-04,198.845,54.3347
2025-05,246.9439,63.4201
2025-06,278.9591,71.1544
2025-07,305.8529,74.355
2025-08,311.8457,77.2278
2025-09,368.7966,83.4997
2025-10,423.9082,87.0447
2025-11,425.7474,86.633
2025-12,401.4094,85.9674
2026-01,434.5122,88.6607
2026-02,447.0363,85.4175
