Date,rate_ADSK_5D,rate_VOO_20D
2016-01,-0.05,1.4254
2016-02,5.9322,0.6142
2016-03,13.8275,6.1243
2016-04,13.1517,4.6014
2016-05,7.2281,5.2878
2016-06,-1.7206,4.687
2016-07,7.9111,7.7174
2016-08,21.1213,6.8637
2016-09,27.4439,5.9421
2016-10,24.6048,3.4868
2016-11,19.4133,6.843
2016-12,19.2293,8.2789
2017-01,29.0251,9.3935
2017-02,34.4104,12.821
2017-03,32.1778,12.0413
2017-04,35.5798,12.4367
2017-05,65.3566,13.2406
2017-06,46.4258,14.1802
2017-07,57.9289,15.6892
2017-08,60.1798,15.2834
2017-09,54.3165,16.8657
2017-10,68.9572,18.7799
2017-11,45.6941,21.509
2017-12,37.4506,22.1709
2018-01,49.9416,27.9258
2018-02,47.1307,22.2578
2018-03,62.8569,18.4465
2018-04,55.7009,18.162
2018-05,57.5881,20.337
2018-06,57.8725,20.5057
2018-07,52.7549,24.0401
2018-08,81.418,27.2093
2018-09,80.9883,27.1082
2018-10,44.3836,17.9327
2018-11,45.8617,19.5577
2018-12,28.6845,8.5722
2019-01,46.3956,16.8959
2019-02,60.7277,20.2219
2019-03,52.2121,21.9603
2019-04,72.4484,26.2654
2019-05,62.2581,20.4953
2019-06,59.6887,25.3574
2019-07,51.6713,26.514
2019-08,37.7303,24.0717
2019-09,41.5626,25.9454
2019-10,38.5741,27.4086
2019-11,69.0541,31.384
2019-12,70.0487,34.5804
2020-01,80.8271,33.8021
2020-02,80.5742,22.3336
2020-03,74.3983,15.1867
2020-04,107.7024,29.6272
2020-05,111.7023,28.2305
2020-06,125.189,28.0341
2020-07,122.3818,33.4885
2020-08,117.0211,42.106
2020-09,104.6735,38.2475
2020-10,117.2531,34.0563
2020-11,137.1621,42.9575
2020-12,152.3924,47.5016
2021-01,136.8765,45.1166
2021-02,131.6873,43.0879
2021-03,134.3985,49.8512
2021-04,144.6291,56.911
2021-05,137.4326,54.6413
2021-06,140.3475,57.2758
2021-07,162.0945,60.2291
2021-08,144.3075,64.0213
2021-09,125.0929,55.5224
2021-10,148.7126,65.5435
2021-11,97.3805,65.5034
2021-12,116.7289,68.4598
2022-01,91.1054,58.7763
2022-02,71.1077,53.2596
2022-03,63.6519,58.2953
2022-04,48.5325,52.2757
2022-05,44.4319,51.0659
2022-06,20.6908,38.0304
2022-07,51.4588,50.1558
2022-08,40.6488,43.3725
2022-09,29.7135,29.6913
2022-10,48.3793,39.7003
2022-11,27.7733,46.8631
2022-12,19.3605,40.5677
2023-01,37.1877,48.7988
2023-02,36.9506,45.5387
2023-03,35.5529,49.6635
2023-04,25.0538,48.4614
2023-05,27.7129,48.1923
2023-06,30.7147,57.2072
2023-07,35.0352,61.7125
2023-08,34.9237,59.5229
2023-09,25.4445,51.3631
2023-10,22.6089,47.5518
2023-11,32.173,60.474
2023-12,46.9228,67.125
2024-01,52.6555,69.1001
2024-02,53.3962,77.1309
2024-03,51.4208,83.2841
2024-04,23.5008,75.177
2024-05,16.761,83.1784
2024-06,43.0319,90.182
2024-07,40.6871,90.9416
2024-08,48.947,97.1965
2024-09,54.4411,98.31
2024-10,53.4741,95.5089
2024-11,41.6614,105.9957
2024-12,42.9748,100.2436
2025-01,50.1859,104.6582
2025-02,31.8723,101.1287
2025-03,25.6683,89.045
2025-04,31.3968,88.6819
2025-05,41.5656,99.6712
2025-06,43.9362,109.046
2025-07,40.5425,112.823
2025-08,46.4546,112.1707
2025-09,48.4351,118.6779
2025-10,42.5728,122.8639
2025-11,43.1566,122.3204
2025-12,39.3408,121.4705
2026-01,18.823,123.6468
2026-02,15.4672,120.852
