Date,rate_CL=F_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.7614,-1.8027
2016-03,12.1749,4.5695
2016-04,31.7804,3.6217
2016-05,34.0736,4.6859
2016-06,26.4229,4.2011
2016-07,5.4323,7.3141
2016-08,13.0619,6.5393
2016-09,20.8542,5.8417
2016-10,15.388,3.4057
2016-11,20.2892,7.0013
2016-12,28.5428,8.6582
2017-01,24.212,9.9058
2017-02,25.1142,13.4199
2017-03,15.6869,12.5861
2017-04,11.833,12.9516
2017-05,8.9251,13.7442
2017-06,3.3198,14.6714
2017-07,12.3831,16.2352
2017-08,5.3235,15.7466
2017-09,14.9166,17.3266
2017-10,20.2129,19.2474
2017-11,25.9583,22.0133
2017-12,31.3646,22.6523
2018-01,39.368,28.4864
2018-02,31.2156,22.6807
2018-03,37.0525,18.8927
2018-04,43.3004,18.6249
2018-05,38.7153,20.8091
2018-06,52.0381,20.9812
2018-07,39.4402,24.5763
2018-08,40.3424,27.7899
2018-09,45.9884,27.6747
2018-10,28.911,18.1983
2018-11,-0.0259,19.8597
2018-12,-10.8351,8.8011
2019-01,5.9459,17.1215
2019-02,12.4534,20.4441
2019-03,17.9198,22.1999
2019-04,24.7653,26.5012
2019-05,3.9875,17.9266
2019-06,13.5248,25.7011
2019-07,13.3983,26.9004
2019-08,6.5709,24.2426
2019-09,4.4382,26.142
2019-10,4.5712,28.3311
2019-11,6.3007,32.3256
2019-12,17.4832,35.5485
2020-01,-1.0788,34.7719
2020-02,-14.086,23.2511
2020-03,-60.4655,7.5779
2020-04,-62.5377,21.2186
2020-05,-27.4867,26.5774
2020-06,-19.2121,28.3766
2020-07,-16.826,35.3325
2020-08,-11.6826,44.0777
2020-09,-16.4398,37.914
2020-10,-25.3157,33.7633
2020-11,-4.8802,47.7098
2020-12,1.8975,52.3667
2021-01,9.5823,49.9654
2021-02,28.8563,53.2453
2021-03,23.5396,60.4049
2021-04,32.2999,67.83
2021-05,37.4768,67.8968
2021-06,51.6213,70.6358
2021-07,51.801,73.7106
2021-08,39.9229,77.7187
2021-09,52.6105,68.3779
2021-10,69.1062,79.119
2021-11,33.1732,76.6949
2021-12,50.8103,83.6042
2022-01,75.9233,72.9303
2022-02,89.9036,66.8181
2022-03,97.5868,72.1992
2022-04,104.9457,56.2223
2022-05,122.9726,55.8933
2022-06,104.1974,42.4002
2022-07,89.1646,54.8512
2022-08,70.8253,47.8158
2022-09,50.9142,33.7039
2022-10,63.5919,44.0824
2022-11,51.5619,51.4429
2022-12,50.3958,42.1877
2023-01,47.2109,50.5828
2023-02,43.3173,46.2373
2023-03,40.2544,52.2586
2023-04,41.8455,54.0684
2023-05,25.4079,54.1996
2023-06,29.7727,63.548
2023-07,49.8769,68.1942
2023-08,52.6782,64.7317
2023-09,65.0981,56.2636
2023-10,46.726,52.2886
2023-11,37.1176,65.5989
2023-12,29.0049,72.448
2024-01,36.2442,74.4576
2024-02,40.2148,82.7177
2024-03,48.5497,89.0282
2024-04,45.8536,80.6052
2024-05,36.6773,88.8335
2024-06,44.365,96.0415
2024-07,37.5127,97.3583
2024-08,29.5043,101.128
2024-09,19.7801,105.7758
2024-10,21.4811,102.865
2024-11,19.0727,113.7798
2024-12,25.3924,107.7813
2025-01,26.5713,112.3595
2025-02,21.5099,108.6721
2025-03,24.3037,96.0839
2025-04,1.081,93.6359
2025-05,5.5287,104.9003
2025-06,12.9681,114.5225
2025-07,20.0359,118.4064
2025-08,10.8092,121.8959
2025-09,7.884,128.6764
2025-10,5.4249,133.0211
2025-11,1.185,132.409
2025-12,-0.786,131.4906
2026-01,12.6631,133.7386
2026-02,15.6794,130.7823
2026-03,74.7181,117.6098
2026-04,80.4582,139.3863
2026-05,49.5484,150.8374
2026-06,19.4195,146.5232
2026-07,47.9853,145.3136
2026-08,39.9129,152.6879
