Date,rate_MTB_5D,rate_VOO_20D
2016-01,-5.84,-3.28
2016-02,-6.7132,-1.8027
2016-03,2.2425,4.5695
2016-04,7.9486,3.6217
2016-05,9.8611,4.6859
2016-06,7.1087,4.2011
2016-07,2.9775,7.3141
2016-08,6.7718,6.5393
2016-09,4.1368,5.8417
2016-10,9.6228,3.4057
2016-11,28.0566,7.0013
2016-12,36.3587,8.6582
2017-01,38.7573,9.9058
2017-02,39.6571,13.4199
2017-03,27.494,12.5861
2017-04,26.323,12.9516
2017-05,26.1578,13.7442
2017-06,28.9705,14.6714
2017-07,28.3866,16.2352
2017-08,15.6532,15.7466
2017-09,25.0934,17.3266
2017-10,28.3543,19.2474
2017-11,29.3373,22.0133
2017-12,29.6401,22.6523
2018-01,43.2571,28.4864
2018-02,40.8593,22.6807
2018-03,36.9986,18.8927
2018-04,34.1458,18.6249
2018-05,26.1252,20.8091
2018-06,23.7903,20.9812
2018-07,25.3251,24.5763
2018-08,27.9644,27.7899
2018-09,20.1896,27.6747
2018-10,20.2197,18.1983
2018-11,22.9947,19.8597
2018-12,5.0196,8.8011
2019-01,20.5065,17.1215
2019-02,26.1635,20.4441
2019-03,15.9849,22.1999
2019-04,25.0371,26.5012
2019-05,17.5523,17.9266
2019-06,26.2834,25.7011
2019-07,21.3668,26.9004
2019-08,9.2222,24.2426
2019-09,19.2884,26.142
2019-10,17.8681,28.3311
2019-11,25.2307,32.3256
2019-12,29.3189,35.5485
2020-01,27.7891,34.7719
2020-02,7.6744,23.2511
2020-03,-20.1387,7.5779
2020-04,-12.9021,21.2186
2020-05,-14.9981,26.5774
2020-06,-16.1927,28.3766
2020-07,-14.2517,35.3325
2020-08,-15.2864,44.0777
2020-09,-24.1977,37.914
2020-10,-14.2937,33.7633
2020-11,-2.4399,47.7098
2020-12,6.5382,52.3667
2021-01,10.7449,49.9654
2021-02,28.7186,53.2453
2021-03,28.7392,60.4049
2021-04,33.4124,67.83
2021-05,39.1257,67.8968
2021-06,25.2491,70.6358
2021-07,15.0165,73.7106
2021-08,21.0094,77.7187
2021-09,28.7495,68.3779
2021-10,26.4063,79.119
2021-11,26.569,76.6949
2021-12,32.234,83.6042
2022-01,45.3198,72.9303
2022-02,58.7061,66.8181
2022-03,47.2012,72.1992
2022-04,44.1521,56.2223
2022-05,56.0895,55.8933
2022-06,37.6404,42.4002
2022-07,52.684,54.8512
2022-08,56.7621,47.8158
2022-09,51.3884,33.7039
2022-10,43.9752,44.0824
2022-11,45.8715,51.4429
2022-12,24.0414,42.1877
2023-01,33.0768,50.5828
2023-02,32.1016,46.2373
2023-03,4.7847,52.2586
2023-04,10.1782,54.0684
2023-05,5.4327,54.1996
2023-06,9.3914,63.548
2023-07,23.4774,68.1942
2023-08,11.3374,64.7317
2023-09,12.4456,56.2636
2023-10,0.158,52.2886
2023-11,14.9989,65.5989
2023-12,22.734,72.448
2024-01,23.4101,74.4576
2024-02,24.6777,82.7177
2024-03,33.0725,89.0282
2024-04,31.8328,80.6052
2024-05,38.0659,88.8335
2024-06,38.6994,96.0415
2024-07,57.3364,97.3583
2024-08,56.7612,101.128
2024-09,62.8936,105.7758
2024-10,77.4411,102.865
2024-11,99.6733,113.7798
2024-12,71.0981,107.7813
2025-01,82.4245,112.3595
2025-02,73.0898,108.6721
2025-03,61.9942,96.0839
2025-04,53.354,93.6359
2025-05,64.4577,104.9003
2025-06,75.2776,114.5225
2025-07,69.8287,118.4064
2025-08,80.8509,121.8959
2025-09,77.8933,128.6764
2025-10,64.9408,133.0211
2025-11,70.0672,132.409
2025-12,80.9073,131.4906
2026-01,98.1867,133.7386
2026-02,93.2959,130.7823
2026-03,96.0999,129.7769
