Date,rate_XLK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.0315,-1.8027
2016-03,7.2751,4.5695
2016-04,-0.0133,3.6217
2016-05,4.8712,4.6859
2016-06,3.6612,4.2011
2016-07,10.4051,7.3141
2016-08,10.3458,6.5393
2016-09,10.9915,5.8417
2016-10,9.066,3.4057
2016-11,8.5044,7.0013
2016-12,11.3956,8.6582
2017-01,14.4407,9.9058
2017-02,18.4866,13.4199
2017-03,20.6805,12.5861
2017-04,21.7806,12.9516
2017-05,25.2113,13.7442
2017-06,21.3028,14.6714
2017-07,25.5289,16.2352
2017-08,27.8509,15.7466
2017-09,28.4551,17.3266
2017-10,35.4292,19.2474
2017-11,35.7783,22.0133
2017-12,36.0416,22.6523
2018-01,44.0575,28.4864
2018-02,41.7781,22.6807
2018-03,35.9851,18.8927
2018-04,34.7808,18.6249
2018-05,42.5875,20.8091
2018-06,41.7879,20.9812
2018-07,43.3665,24.5763
2018-08,51.3433,27.7899
2018-09,50.761,27.6747
2018-10,37.3095,18.1983
2018-11,33.5416,19.8597
2018-12,22.5381,8.8011
2019-01,30.3764,17.1215
2019-02,38.5046,20.4441
2019-03,44.9419,22.1999
2019-04,52.9085,26.5012
2019-05,38.4998,17.9266
2019-06,50.9359,25.7011
2019-07,54.9206,26.9004
2019-08,51.3266,24.2426
2019-09,53.5047,26.142
2019-10,58.3089,28.3311
2019-11,65.4638,32.3256
2019-12,72.272,35.5485
2020-01,77.6075,34.7719
2020-02,63.2141,23.2511
2020-03,48.0031,7.5779
2020-04,67.4092,21.2186
2020-05,78.1112,26.5774
2020-06,88.9196,28.3766
2020-07,97.9367,35.3325
2020-08,119.4759,44.0777
2020-09,105.7392,37.914
2020-10,93.6986,33.7633
2020-11,113.9602,47.7098
2020-12,123.7727,52.3667
2021-01,119.8856,49.9654
2021-02,120.8851,53.2453
2021-03,122.9215,60.4049
2021-04,132.4154,67.83
2021-05,128.2363,67.8968
2021-06,141.8575,70.6358
2021-07,149.0492,73.7106
2021-08,155.6375,77.7187
2021-09,138.6079,68.3779
2021-10,155.9355,79.119
2021-11,165.0275,76.6949
2021-12,171.2627,83.6042
2022-01,150.5201,72.9303
2022-02,136.3711,66.8181
2022-03,142.4083,72.1992
2022-04,114.0554,56.2223
2022-05,111.1173,55.8933
2022-06,90.2862,42.4002
2022-07,114.5618,54.8512
2022-08,99.8996,47.8158
2022-09,74.9467,33.7039
2022-10,87.3403,44.0824
2022-11,98.0775,51.4429
2022-12,80.7668,42.1877
2023-01,96.4523,50.5828
2023-02,96.1086,46.2373
2023-03,116.1493,52.2586
2023-04,114.5731,54.0684
2023-05,132.2889,54.1996
2023-06,144.7654,63.548
2023-07,149.4502,68.1942
2023-08,144.0886,64.7317
2023-09,126.8439,56.2636
2023-10,125.604,52.2886
2023-11,153.1594,65.5989
2023-12,162.0738,72.448
2024-01,167.4331,74.4576
2024-02,178.2052,82.7177
2024-03,178.5616,89.0282
2024-04,160.8355,80.6052
2024-05,177.5929,88.8335
2024-06,197.4565,96.0415
2024-07,185.825,97.3583
2024-08,186.0589,101.128
2024-09,191.8035,105.7758
2024-10,185.5104,102.865
2024-11,198.4327,113.7798
2024-12,195.5501,107.7813
2025-01,191.5961,112.3595
2025-02,183.228,108.6721
2025-03,158.2756,96.0839
2025-04,161.1909,93.6359
2025-05,185.64,104.9003
2025-06,211.9407,114.5225
2025-07,221.7485,118.4064
2025-08,219.5035,121.8959
2025-09,241.5433,128.6764
2025-10,262.14,133.0211
2025-11,242.6337,132.409
2025-12,243.1785,131.4906
2026-01,240.9551,133.7386
2026-02,226.9229,130.7823
2026-03,211.7504,117.6098
2026-04,272.0411,139.3863
2026-05,342.9042,150.8374
2026-06,339.0123,146.5232
2026-07,301.6303,145.3136
2026-08,309.97,149.574
