Date,rate_GPN_5D,rate_VOO_20D
2016-01,-5.445,-3.28
2016-02,-0.0957,-1.8027
2016-03,5.9554,4.5695
2016-04,15.3578,3.6217
2016-05,20.7702,4.6859
2016-06,7.838,4.2011
2016-07,11.5185,7.3141
2016-08,12.1465,6.5393
2016-09,11.8496,5.8417
2016-10,4.5584,3.4057
2016-11,-1.4312,7.0013
2016-12,0.2109,8.6582
2017-01,11.5151,9.9058
2017-02,14.1563,13.4199
2017-03,14.6309,12.5861
2017-04,15.2345,12.9516
2017-05,28.0885,13.7442
2017-06,24.6464,14.6714
2017-07,28.8697,16.2352
2017-08,28.8755,15.7466
2017-09,26.8851,17.3266
2017-10,37.4211,19.2474
2017-11,31.4329,22.0133
2017-12,29.7016,22.6523
2018-01,43.2845,28.4864
2018-02,43.6633,22.6807
2018-03,39.7696,18.8927
2018-04,40.2452,18.6249
2018-05,36.5362,20.8091
2018-06,35.6512,20.9812
2018-07,35.8005,24.5763
2018-08,49.0373,27.7899
2018-09,50.8838,27.6747
2018-10,33.9911,18.1983
2018-11,30.1916,19.8597
2018-12,19.3226,8.8011
2019-01,29.3105,17.1215
2019-02,49.176,20.4441
2019-03,54.8507,22.1999
2019-04,64.1618,26.5012
2019-05,71.4948,17.9266
2019-06,76.4916,25.7011
2019-07,83.1559,26.9004
2019-08,79.2172,24.2426
2019-09,70.0113,26.142
2019-10,79.2799,28.3311
2019-11,90.0375,32.3256
2019-12,89.8785,35.5485
2020-01,101.3022,34.7719
2020-02,87.5894,23.2511
2020-03,45.9389,7.5779
2020-04,67.1421,21.2186
2020-05,79.3693,26.5774
2020-06,68.3118,28.3766
2020-07,75.3081,35.3325
2020-08,72.5983,44.0777
2020-09,72.4109,37.914
2020-10,52.0576,33.7633
2020-11,87.0381,47.7098
2020-12,104.9845,52.3667
2021-01,66.5952,49.9654
2021-02,85.5545,53.2453
2021-03,87.6777,60.4049
2021-04,98.2982,67.83
2021-05,77.6362,67.8968
2021-06,71.0283,70.6358
2021-07,75.2354,73.7106
2021-08,46.4812,77.7187
2021-09,41.5005,68.3779
2021-10,27.8579,79.119
2021-11,6.1186,76.6949
2021-12,20.6156,83.6042
2022-01,33.4018,72.9303
2022-02,18.3316,66.8181
2022-03,21.4142,72.1992
2022-04,21.221,56.2223
2022-05,15.7074,55.8933
2022-06,-2.2054,42.4002
2022-07,8.1237,54.8512
2022-08,9.6486,47.8158
2022-09,-4.499,33.7039
2022-10,1.0385,44.0824
2022-11,-8.223,51.4429
2022-12,-11.8412,42.1877
2023-01,0.1844,50.5828
2023-02,-0.3081,46.2373
2023-03,-6.2534,52.2586
2023-04,0.464,54.0684
2023-05,-12.8152,54.1996
2023-06,-11.722,63.548
2023-07,-1.0881,68.1942
2023-08,13.5391,64.7317
2023-09,3.4971,56.2636
2023-10,-4.7545,52.2886
2023-11,4.424,65.5989
2023-12,14.0227,72.448
2024-01,19.4591,74.4576
2024-02,16.0902,82.7177
2024-03,19.6837,89.0282
2024-04,9.7934,80.6052
2024-05,-8.8644,88.8335
2024-06,-12.7117,96.0415
2024-07,-8.1108,97.3583
2024-08,0.47,101.128
2024-09,-6.6204,105.7758
2024-10,-5.351,102.865
2024-11,8.5889,113.7798
2024-12,2.9059,107.7813
2025-01,3.6026,112.3595
2025-02,-3.3671,108.6721
2025-03,-9.399,96.0839
2025-04,-29.3134,93.6359
2025-05,-29.707,104.9003
2025-06,-24.6208,114.5225
2025-07,-24.5293,118.4064
2025-08,-15.9082,121.8959
2025-09,-20.4978,128.6764
2025-10,-25.4512,133.0211
2025-11,-27.1567,132.409
2025-12,-24.6353,131.4906
2026-01,-29.9474,133.7386
2026-02,-25.0865,130.7823
2026-03,-23.4805,129.7769
