Date,rate_UNH_5D,rate_VOO_20D
2016-01,1.4119,1.4254
2016-02,0.1411,0.6142
2016-03,7.9785,6.1243
2016-04,7.8684,4.6014
2016-05,7.7296,5.2878
2016-06,12.7745,4.687
2016-07,12.5417,7.7174
2016-08,6.0572,6.8637
2016-09,8.793,5.9421
2016-10,8.9263,3.4868
2016-11,21.5086,6.843
2016-12,20.8869,8.2789
2017-01,20.6757,9.3935
2017-02,21.6591,12.821
2017-03,19.556,12.0413
2017-04,26.0893,12.4367
2017-05,24.8346,13.2406
2017-06,31.0506,14.1802
2017-07,33.6975,15.6892
2017-08,36.8505,15.2834
2017-09,33.5042,16.8657
2017-10,41.6559,18.7799
2017-11,52.2915,21.509
2017-12,45.1753,22.1709
2018-01,53.8928,27.9258
2018-02,43.8118,22.2578
2018-03,37.1033,18.4465
2018-04,44.0116,18.162
2018-05,45.481,20.337
2018-06,47.6892,20.5057
2018-07,50.7654,24.0401
2018-08,58.1026,27.2093
2018-09,55.4518,27.1082
2018-10,47.9348,17.9327
2018-11,50.3266,19.5577
2018-12,32.6889,8.5722
2019-01,42.9632,16.8959
2019-02,27.1539,20.2219
2019-03,30.3347,21.9603
2019-04,22.1542,26.2654
2019-05,26.1788,20.4953
2019-06,26.2289,25.3574
2019-07,26.7836,26.514
2019-08,23.4582,24.0717
2019-09,16.0931,25.9454
2019-10,34.5487,27.4086
2019-11,48.2034,31.384
2019-12,56.2167,34.5804
2020-01,43.6683,33.8021
2020-02,42.9252,22.3336
2020-03,20.2486,15.1867
2020-04,40.7674,29.6272
2020-05,38.359,28.2305
2020-06,32.598,28.0341
2020-07,35.2128,33.4885
2020-08,39.0103,42.106
2020-09,40.01,38.2475
2020-10,41.0314,34.0563
2020-11,39.3452,42.9575
2020-12,44.3367,47.5016
2021-01,41.5579,45.1166
2021-02,41.1007,43.0879
2021-03,58.9412,49.8512
2021-04,69.2932,56.911
2021-05,72.6029,54.6413
2021-06,71.6924,57.2758
2021-07,75.6199,60.2291
2021-08,76.1878,64.0213
2021-09,66.0297,55.5224
2021-10,94.4816,65.5435
2021-11,86.3587,65.5034
2021-12,111.2697,68.4598
2022-01,97.4901,58.7763
2022-02,94.9696,53.2596
2022-03,108.8617,58.2953
2022-04,111.1053,52.2757
2022-05,110.0349,51.0659
2022-06,116.4324,38.0304
2022-07,119.0426,50.1558
2022-08,108.3358,43.3725
2022-09,103.1889,29.6913
2022-10,121.9336,39.7003
2022-11,116.0798,46.8631
2022-12,107.4779,40.5677
2023-01,94.2279,48.7988
2023-02,84.1622,45.5387
2023-03,83.9654,49.6635
2023-04,90.5463,48.4614
2023-05,87.6577,48.1923
2023-06,84.8583,57.2072
2023-07,93.7709,61.7125
2023-08,85.8994,59.5229
2023-09,95.48,51.3631
2023-10,103.758,47.5518
2023-11,108.5153,60.474
2023-12,99.4904,67.125
2024-01,92.9063,69.1001
2024-02,85.1605,77.1309
2024-03,86.8409,83.2841
2024-04,81.851,75.177
2024-05,85.3976,83.1784
2024-06,90.5418,90.182
2024-07,114.6087,90.9416
2024-08,111.7483,97.1965
2024-09,109.0024,98.31
2024-10,102.3286,95.5089
2024-11,108.8848,105.9957
2024-12,73.0455,100.2436
2025-01,84.8563,104.6582
2025-02,61.1689,101.1287
2025-03,77.8785,89.045
2025-04,39.1852,88.6819
2025-05,1.9299,99.6712
2025-06,6.0636,109.046
2025-07,-15.208,112.823
2025-08,5.4321,112.1707
2025-09,18.1885,118.6779
2025-10,20.7463,122.8639
2025-11,22.6463,122.3204
2025-12,23.4362,121.4705
2026-01,7.1198,123.6468
2026-02,9.4286,120.852
