Date,rate_VTRS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-14.3293,-0.6039
2016-03,-7.8898,5.2168
2016-04,-15.9258,3.9893
2016-05,-9.941,4.6886
2016-06,-9.0087,4.1237
2016-07,-0.3156,7.1795
2016-08,-9.7382,6.3603
2016-09,-17.7343,5.6281
2016-10,-19.5953,3.196
2016-11,-17.7745,6.7601
2016-12,-12.687,8.3626
2017-01,-12.9153,10.2536
2017-02,-3.3133,13.6522
2017-03,-10.1644,12.7005
2017-04,-13.3289,12.9818
2017-05,-8.7242,13.693
2017-06,-8.7009,13.5288
2017-07,-7.8427,15.0481
2017-08,-25.228,14.5515
2017-09,-24.2701,16.1037
2017-10,-12.6869,17.9557
2017-11,-10.26,20.6805
2017-12,4.2086,21.3029
2018-01,5.5375,28.0338
2018-02,-0.9421,22.1441
2018-03,1.1259,18.3021
2018-04,-4.7028,18.0902
2018-05,-5.2862,20.2208
2018-06,-10.8678,20.3415
2018-07,-7.663,23.8746
2018-08,-2.928,27.0072
2018-09,-9.2024,27.7347
2018-10,-22.2169,18.1437
2018-11,-15.1113,19.7418
2018-12,-30.957,8.5778
2019-01,-24.5356,17.1263
2019-02,-32.9408,20.3748
2019-03,-27.1119,22.0514
2019-04,-29.8915,26.2651
2019-05,-55.8465,17.5943
2019-06,-48.3791,25.308
2019-07,-42.0481,26.4355
2019-08,-44.9781,23.7232
2019-09,-44.1023,26.1617
2019-10,-44.7338,28.2707
2019-11,-44.8297,32.1761
2019-12,-39.833,35.3247
2020-01,-35.8822,35.2749
2020-02,-47.9139,23.5454
2020-03,-53.9396,7.7105
2020-04,-46.7808,21.425
2020-05,-44.7408,26.7132
2020-06,-47.1357,28.4357
2020-07,-46.0418,35.3124
2020-08,-44.2424,43.9511
2020-09,-48.6414,37.6938
2020-10,-48.7339,33.4637
2020-11,-39.7293,47.2943
2020-12,-32.0649,51.8455
2021-01,-38.407,50.305
2021-02,-45.6017,53.4604
2021-03,-48.0523,59.4101
2021-04,-49.7399,66.6882
2021-05,-41.0451,66.6274
2021-06,-44.079,69.2184
2021-07,-44.276,72.1455
2021-08,-40.8901,75.992
2021-09,-44.6457,66.6118
2021-10,-44.7777,77.1553
2021-11,-48.0287,74.6519
2021-12,-42.0382,81.397
2022-01,-35.254,70.7122
2022-02,-51.4806,64.6001
2022-03,-51.1489,69.8532
2022-04,-52.9138,54.0273
2022-05,-42.6075,53.6333
2022-06,-50.4955,40.2902
2022-07,-53.5681,52.5094
2022-08,-52.9343,45.531
2022-09,-57.3839,31.5965
2022-10,-48.4663,41.7445
2022-11,-42.6001,48.9584
2022-12,-41.5669,39.838
2023-01,-36.16,48.5632
2023-02,-39.7305,44.2258
2023-03,-48.0723,48.9578
2023-04,-49.0618,50.6836
2023-05,-48.7975,50.7741
2023-06,-43.5213,59.884
2023-07,-39.8504,64.3798
2023-08,-37.3878,60.953
2023-09,-42.1826,52.6248
2023-10,-47.3938,48.7132
2023-11,-44.4693,61.6976
2023-12,-33.9474,68.3392
2024-01,-28.2145,71.0275
2024-02,-24.2381,79.0476
2024-03,-25.8981,83.99
2024-04,-27.9272,75.7344
2024-05,-32.9509,83.6813
2024-06,-32.4115,89.2836
2024-07,-22.9296,90.5002
2024-08,-21.7873,94.0822
2024-09,-24.8002,98.2932
2024-10,-24.5971,95.412
2024-11,-13.8522,105.8418
2024-12,-17.9522,99.9875
2025-01,-25.6623,105.351
2025-02,-38.9452,101.7087
2025-03,-41.2335,89.4719
2025-04,-42.782,87.0451
2025-05,-39.02,97.8575
2025-06,-37.6522,107.0685
2025-07,-38.6543,110.7404
2025-08,-24.6745,114.0337
2025-09,-29.2629,121.6081
2025-10,-25.7318,125.7153
2025-11,-22.2757,125.0226
2025-12,-9.2515,124.0393
2026-01,-4.5866,127.2713
2026-02,9.4219,125.3185
