Date,rate_CHD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.9969,-1.8027
2016-03,6.8822,4.5695
2016-04,5.3471,3.6217
2016-05,11.1477,4.6859
2016-06,14.0636,4.2011
2016-07,7.0879,7.3141
2016-08,7.7316,6.5393
2016-09,2.9945,5.8417
2016-10,3.4222,3.4057
2016-11,-5.9306,7.0013
2016-12,-4.3696,8.6582
2017-01,-1.7996,9.9058
2017-02,8.7685,13.4199
2017-03,8.1937,12.5861
2017-04,6.9483,12.9516
2017-05,12.3612,13.7442
2017-06,12.0719,14.6714
2017-07,14.5853,16.2352
2017-08,8.3288,15.7466
2017-09,4.2321,17.3266
2017-10,-2.9825,19.2474
2017-11,1.5731,22.0133
2017-12,8.153,22.6523
2018-01,4.9967,28.4864
2018-02,6.0287,22.6807
2018-03,8.3267,18.8927
2018-04,-0.8851,18.6249
2018-05,1.2109,20.8091
2018-06,14.4919,20.9812
2018-07,19.8932,24.5763
2018-08,21.2275,27.7899
2018-09,26.5188,27.6747
2018-10,25.7296,18.1983
2018-11,39.5185,19.8597
2018-12,37.5219,8.8011
2019-01,34.1238,17.1215
2019-02,36.1415,20.4441
2019-03,46.3628,22.1999
2019-04,52.7479,26.5012
2019-05,50.8759,17.9266
2019-06,46.9511,25.7011
2019-07,50.5878,26.9004
2019-08,58.5158,24.2426
2019-09,48.2762,26.142
2019-10,36.8596,28.3311
2019-11,37.139,32.3256
2019-12,36.5781,35.5485
2020-01,43.2951,34.7719
2020-02,33.8839,23.2511
2020-03,22.9996,7.5779
2020-04,33.6526,21.2186
2020-05,43.083,26.5774
2020-06,46.4984,28.3766
2020-07,81.4497,35.3325
2020-08,79.5101,44.0777
2020-09,74.191,37.914
2020-10,63.118,33.7633
2020-11,62.2313,47.7098
2020-12,60.1996,52.3667
2021-01,54.1084,49.9654
2021-02,44.7815,53.2453
2021-03,59.7835,60.4049
2021-04,55.9389,67.83
2021-05,55.5173,67.8968
2021-06,53.7768,70.6358
2021-07,55.4173,73.7106
2021-08,50.7474,77.7187
2021-09,48.0356,68.3779
2021-10,55.8949,79.119
2021-11,60.0311,76.6949
2021-12,82.4989,83.6042
2022-01,81.634,72.9303
2022-02,72.5665,66.8181
2022-03,74.2969,72.1992
2022-04,70.1226,56.2223
2022-05,57.5853,55.8933
2022-06,61.4242,42.4002
2022-07,52.5051,54.8512
2022-08,45.857,47.8158
2022-09,23.986,33.7039
2022-10,28.3451,44.0824
2022-11,41.8194,51.4429
2022-12,39.1421,42.1877
2023-01,39.1112,50.5828
2023-02,44.1178,46.2373
2023-03,51.5524,52.2586
2023-04,65.8231,54.0684
2023-05,58.5506,54.1996
2023-06,71.168,63.548
2023-07,62.6389,68.1942
2023-08,64.2726,64.7317
2023-09,54.9065,56.2636
2023-10,53.1611,52.2886
2023-11,62.6082,65.5989
2023-12,58.508,72.448
2024-01,66.7288,74.4576
2024-02,66.9484,82.7177
2024-03,73.2229,89.0282
2024-04,78.3985,80.6052
2024-05,76.6576,88.8335
2024-06,70.4372,96.0415
2024-07,60.466,97.3583
2024-08,66.6356,101.128
2024-09,70.623,105.7758
2024-10,62.1585,102.865
2024-11,79.4177,113.7798
2024-12,69.8934,107.7813
2025-01,70.5601,112.3595
2025-02,80.9569,108.6721
2025-03,78.4276,96.0839
2025-04,60.3884,93.6359
2025-05,58.7392,104.9003
2025-06,54.6861,114.5225
2025-07,50.4471,118.4064
2025-08,50.4495,121.8959
2025-09,41.1216,128.6764
2025-10,40.8664,133.0211
2025-11,37.8896,132.409
2025-12,35.4733,131.4906
2026-01,55.1533,133.7386
2026-02,70.5049,130.7823
2026-03,66.9497,127.7382
