Date,rate_LIN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.2201,-3.7423
2016-03,4.0931,0.3764
2016-04,13.0781,5.1946
2016-05,11.8979,3.5695
2016-06,3.327,4.8356
2016-07,7.2058,4.3651
2016-08,8.5103,7.2005
2016-09,13.8764,6.5176
2016-10,11.1623,5.8316
2016-11,5.6187,2.6321
2016-12,8.497,6.5262
2017-01,6.1693,8.6002
2017-02,6.3718,9.8701
2017-03,8.0735,14.9815
2017-04,8.0682,12.5254
2017-05,13.3235,13.1716
2017-06,20.756,14.581
2017-07,18.9266,14.626
2017-08,16.2876,16.4591
2017-09,15.7509,15.9061
2017-10,23.3318,17.2911
2017-11,29.4232,19.4181
2017-12,31.5614,21.7575
2018-01,33.3278,22.6249
2018-02,36.3846,28.3844
2018-03,24.923,21.0506
2018-04,21.6532,18.8566
2018-05,28.4147,18.843
2018-06,31.1721,22.0592
2018-07,31.0986,20.962
2018-08,36.1211,24.4135
2018-09,31.0614,27.7869
2018-10,38.8997,28.1445
2018-11,32.1486,19.3954
2018-12,28.8376,19.8359
2019-01,26.2749,8.7501
2019-02,33.3828,17.203
2019-03,34.596,21.2677
2019-04,40.9126,23.6016
2019-05,41.2413,25.5902
2019-06,43.387,17.8911
2019-07,60.7403,26.7327
2019-08,49.4513,25.8061
2019-09,49.1937,24.2046
2019-10,48.5,24.595
2019-11,55.4581,29.5299
2019-12,60.0265,32.3145
2020-01,64.5986,35.5516
2020-02,55.7847,34.7733
2020-03,45.4386,23.2161
2020-04,22.4662,2.6957
2020-05,36.7933,17.923
2020-06,54.882,27.1545
2020-07,61.746,29.2791
2020-08,83.3113,35.3897
2020-09,90.5972,45.4969
2020-10,71.8834,38.8421
2020-11,61.5779,33.8054
2020-12,88.626,49.4413
2021-01,91.1758,52.4925
2021-02,80.2636,52.5474
2021-03,79.7249,57.1165
2021-04,100.0368,62.2404
2021-05,102.005,68.0147
2021-06,111.948,67.9506
2021-07,103.044,71.7835
2021-08,112.9702,73.9065
2021-09,115.7688,78.108
2021-10,103.8789,70.559
2021-11,119.4621,79.7147
2021-12,114.6224,74.8714
2022-01,132.5724,83.8439
2022-02,114.0886,74.2485
2022-03,86.8544,64.4857
2022-04,112.8631,72.8765
2022-05,104.3221,56.3809
2022-06,107.9431,54.7432
2022-07,85.2307,43.9638
2022-08,93.5883,54.5402
2022-09,79.7463,48.4061
2022-10,72.644,33.808
2022-11,89.9653,43.6413
2022-12,114.3835,51.6237
2023-01,106.0215,42.3283
2023-02,107.8492,52.4008
2023-03,118.4312,45.8599
2023-04,121.2018,52.4428
2023-05,130.2559,54.1535
2023-06,119.2386,55.8684
2023-07,133.5982,63.7729
2023-08,136.7341,67.9151
2023-09,136.1819,65.3142
2023-10,127.0299,56.4671
2023-11,134.6149,54.158
2023-12,148.7845,66.8181
2024-01,148.1697,72.7134
2024-02,145.4025,77.0248
2024-03,168.1276,84.7703
2024-04,175.6688,89.0895
2024-05,161.6275,80.3005
2024-06,155.8552,89.1407
2024-07,151.2955,96.817
2024-08,164.036,94.9948
2024-09,176.8792,101.4737
2024-10,174.1349,104.2286
2024-11,162.3312,104.0979
2024-12,162.912,114.1559
2025-01,138.1934,108.1307
2025-02,152.4577,112.719
2025-03,162.85,109.0154
2025-04,162.2438,97.097
2025-05,150.1628,95.2965
2025-06,159.6794,105.2137
2025-07,164.1716,114.7559
2025-08,153.1861,115.142
2025-09,162.2153,122.2543
2025-10,155.3856,129.8729
2025-11,127.6649,133.4127
2025-12,120.5459,131.7276
2026-01,130.7295,131.8756
2026-02,105.8617,120.852
