Date,rate_RTX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.4728,-3.7423
2016-03,4.6007,0.3764
2016-04,8.3666,5.1946
2016-05,10.9264,3.5695
2016-06,5.2211,4.8356
2016-07,6.8081,4.3651
2016-08,10.158,7.2005
2016-09,9.3237,6.5176
2016-10,3.0814,5.8316
2016-11,3.1779,2.6321
2016-12,9.0622,6.5262
2017-01,10.4544,8.6002
2017-02,8.2022,9.8701
2017-03,13.7367,14.9815
2017-04,11.3549,12.5254
2017-05,17.255,13.1716
2017-06,19.6844,14.581
2017-07,18.8963,14.626
2017-08,14.7779,16.4591
2017-09,13.7846,15.9061
2017-10,11.3577,17.2911
2017-11,14.6944,19.4181
2017-12,14.7158,21.7575
2018-01,21.1743,22.6249
2018-02,30.4627,28.3844
2018-03,22.4452,21.0506
2018-04,17.4284,18.8566
2018-05,10.434,18.843
2018-06,17.0566,22.0592
2018-07,15.762,20.962
2018-08,24.3483,24.4135
2018-09,21.294,27.7869
2018-10,29.0911,28.1445
2018-11,16.0936,19.3954
2018-12,11.0947,19.8359
2019-01,-3.183,8.7501
2019-02,8.2757,17.203
2019-03,14.8894,21.2677
2019-04,21.2598,23.6016
2019-05,28.3306,25.5902
2019-06,14.5246,17.8911
2019-07,18.7319,26.7327
2019-08,18.7443,25.8061
2019-09,17.5397,24.2046
2019-10,20.3402,24.595
2019-11,31.4473,29.5299
2019-12,32.9114,32.3145
2020-01,33.4887,35.5516
2020-02,33.1934,34.7733
2020-03,15.8734,23.2161
2020-04,-19.1464,2.6957
2020-05,-13.6833,17.923
2020-06,-8.4899,27.1545
2020-07,-11.9234,29.2791
2020-08,-18.7735,35.3897
2020-09,-12.0007,45.4969
2020-10,-16.4733,38.8421
2020-11,-20.7709,33.8054
2020-12,5.0487,49.4413
2021-01,5.3748,52.4925
2021-02,-1.414,52.5474
2021-03,10.2041,57.1165
2021-04,14.361,62.2404
2021-05,22.9374,68.0147
2021-06,31.8017,67.9506
2021-07,27.2301,71.7835
2021-08,27.8959,73.9065
2021-09,24.0534,78.108
2021-10,28.6742,70.559
2021-11,29.832,79.7147
2021-12,16.2721,74.8714
2022-01,26.3345,83.8439
2022-02,32.8082,74.2485
2022-03,50.614,64.4857
2022-04,46.2007,72.8765
2022-05,37.9464,56.3809
2022-06,38.104,54.7432
2022-07,40.8211,43.9638
2022-08,34.8368,54.5402
2022-09,27.683,48.4061
2022-10,18.414,33.808
2022-11,37.9537,43.6413
2022-12,43.9706,51.6237
2023-01,45.4923,42.3283
2023-02,41.3651,52.4008
2023-03,41.1263,45.8599
2023-04,40.4939,52.4428
2023-05,43.4644,54.1535
2023-06,34.9234,55.8684
2023-07,40.0669,63.7729
2023-08,25.3864,67.9151
2023-09,23.545,65.3142
2023-10,2.8416,56.4671
2023-11,17.3526,54.158
2023-12,18.2529,66.8181
2024-01,20.6711,72.7134
2024-02,31.9529,77.0248
2024-03,29.0838,84.7703
2024-04,40.2042,89.0895
2024-05,44.7491,80.3005
2024-06,54.5983,89.1407
2024-07,42.2576,96.817
2024-08,66.3399,94.9948
2024-09,77.7518,101.4737
2024-10,78.5146,104.2286
2024-11,69.7125,104.0979
2024-12,76.1357,114.1559
2025-01,66.6291,108.1307
2025-02,84.9973,112.719
2025-03,92.6955,109.0154
2025-04,91.6549,97.097
2025-05,83.0212,95.2965
2025-06,99.1536,105.2137
2025-07,109.4802,114.7559
2025-08,126.7784,115.142
2025-09,131.1968,122.2543
2025-10,142.5472,129.8729
2025-11,157.6489,133.4127
2025-12,144.2036,131.7276
2026-01,165.2414,131.8756
2026-02,189.9647,131.1612
