Date,rate_KMI_5D,rate_VOO_20D
2016-01,8.4825,-3.28
2016-02,19.1408,-1.8027
2016-03,11.2977,4.5695
2016-04,9.423,3.6217
2016-05,9.4705,4.6859
2016-06,11.8225,4.2011
2016-07,20.3357,7.3141
2016-08,27.1477,6.5393
2016-09,31.5214,5.8417
2016-10,15.4888,3.4057
2016-11,24.084,7.0013
2016-12,14.1542,8.6582
2017-01,22.6367,9.9058
2017-02,15.4809,13.4199
2017-03,16.6129,12.5861
2017-04,10.3479,12.9516
2017-05,-0.1659,13.7442
2017-06,1.8999,14.6714
2017-07,9.2008,16.2352
2017-08,2.9156,15.7466
2017-09,1.9728,17.3266
2017-10,-3.1297,19.2474
2017-11,-7.7058,22.0133
2017-12,-2.9203,22.6523
2018-01,-2.6155,28.4864
2018-02,-12.1677,22.6807
2018-03,-17.9219,18.8927
2018-04,-9.8213,18.6249
2018-05,-4.6599,20.8091
2018-06,1.1083,20.9812
2018-07,2.8435,24.5763
2018-08,2.3517,27.7899
2018-09,2.4536,27.6747
2018-10,-0.6314,18.1983
2018-11,-0.3553,19.8597
2018-12,-10.1991,8.8011
2019-01,7.1546,17.1215
2019-02,13.1679,20.4441
2019-03,17.7519,22.1999
2019-04,17.9485,26.5012
2019-05,18.0374,17.9266
2019-06,23.0838,25.7011
2019-07,22.4884,26.9004
2019-08,19.8807,24.2426
2019-09,21.4403,26.142
2019-10,18.7795,28.3311
2019-11,16.0993,32.3256
2019-12,24.9646,35.5485
2020-01,24.1615,34.7719
2020-02,16.4288,23.2511
2020-03,-15.6624,7.5779
2020-04,-7.2119,21.2186
2020-05,1.4554,26.5774
2020-06,-2.6053,28.3766
2020-07,-7.7057,35.3325
2020-08,-6.0269,44.0777
2020-09,-16.0648,37.914
2020-10,-15.1202,33.7633
2020-11,4.9818,47.7098
2020-12,-0.244,52.3667
2021-01,8.5009,49.9654
2021-02,13.1572,53.2453
2021-03,27.8751,60.4049
2021-04,32.5451,67.83
2021-05,42.025,67.8968
2021-06,40.527,70.6358
2021-07,37.5287,73.7106
2021-08,30.1406,77.7187
2021-09,33.3777,68.3779
2021-10,39.4723,79.119
2021-11,28.0938,76.6949
2021-12,31.0224,83.6042
2022-01,49.6027,72.9303
2022-02,49.2459,66.8181
2022-03,61.4585,72.1992
2022-04,58.897,56.2223
2022-05,74.0582,55.8933
2022-06,47.3486,42.4002
2022-07,64.7889,54.8512
2022-08,67.0211,47.8158
2022-09,50.9718,33.7039
2022-10,71.244,44.0824
2022-11,79.7153,51.4429
2022-12,69.0466,42.1877
2023-01,72.8651,50.5828
2023-02,60.3538,46.2373
2023-03,63.855,52.2586
2023-04,67.6821,54.0684
2023-05,56.8227,54.1996
2023-06,66.9346,63.548
2023-07,79.1138,68.1942
2023-08,73.3933,64.7317
2023-09,66.1981,56.2636
2023-10,64.5262,52.2886
2023-11,77.6532,65.5989
2023-12,77.5379,72.448
2024-01,72.3626,74.4576
2024-02,76.3605,82.7177
2024-03,85.1715,89.0282
2024-04,86.6061,80.6052
2024-05,98.0444,88.8335
2024-06,100.9237,96.0415
2024-07,115.5164,97.3583
2024-08,118.8764,101.128
2024-09,122.9908,105.7758
2024-10,148.9868,102.865
2024-11,185.6158,113.7798
2024-12,175.1641,107.7813
2025-01,174.3555,112.3595
2025-02,171.8576,108.6721
2025-03,184.564,96.0839
2025-04,163.7125,93.6359
2025-05,179.6038,104.9003
2025-06,191.5079,114.5225
2025-07,179.5563,118.4064
2025-08,167.3045,121.8959
2025-09,178.9756,128.6764
2025-10,156.6903,133.0211
2025-11,169.2425,132.409
2025-12,169.4992,131.4906
2026-01,197.3446,133.7386
2026-02,225.52,130.7823
2026-03,229.7133,129.7769
