Date,rate_MPWR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.5048,-0.6039
2016-03,3.1274,5.2168
2016-04,-0.0594,3.9893
2016-05,8.868,4.6886
2016-06,7.5043,4.1237
2016-07,13.3655,7.1795
2016-08,17.7178,6.3603
2016-09,21.5273,5.6281
2016-10,16.9922,3.196
2016-11,20.404,6.7601
2016-12,19.3929,8.3626
2017-01,27.0924,10.2536
2017-02,25.8674,13.6522
2017-03,29.9483,12.7005
2017-04,27.131,12.9818
2017-05,34.5496,13.693
2017-06,30.31,13.5288
2017-07,36.6227,15.0481
2017-08,33.3185,14.5515
2017-09,38.5893,16.1037
2017-10,56.0464,17.9557
2017-11,49.3349,20.6805
2017-12,40.0213,21.3029
2018-01,48.4272,28.0338
2018-02,43.8302,22.1441
2018-03,40.9027,18.3021
2018-04,41.1005,18.0902
2018-05,56.9893,20.2208
2018-06,57.4304,20.3415
2018-07,54.2523,23.8746
2018-08,72.1565,27.0072
2018-09,44.5906,27.7347
2018-10,34.7283,18.1437
2018-11,49.2098,19.7418
2018-12,30.3407,8.5778
2019-01,41.838,17.1263
2019-02,48.883,20.3748
2019-03,49.3843,22.0514
2019-04,69.9064,26.2651
2019-05,25.6901,17.5943
2019-06,46.0763,25.308
2019-07,57.9939,26.4355
2019-08,59.0352,23.7232
2019-09,64.806,26.1617
2019-10,57.2664,28.2707
2019-11,66.9808,32.1761
2019-12,83.6846,35.3247
2020-01,76.6434,35.2749
2020-02,62.037,23.5454
2020-03,69.998,7.7105
2020-04,101.2639,21.425
2020-05,109.0134,26.7132
2020-06,134.0386,28.4357
2020-07,158.63,35.3124
2020-08,157.4682,43.9511
2020-09,166.6705,37.6938
2020-10,201.0549,33.4637
2020-11,197.6112,47.2943
2020-12,236.9002,51.8455
2021-01,226.8516,50.305
2021-02,240.0949,53.4604
2021-03,217.2206,59.4101
2021-04,220.5348,66.6882
2021-05,200.7875,66.6274
2021-06,224.1677,69.2184
2021-07,285.3825,72.1455
2021-08,319.3119,75.992
2021-09,306.0876,66.6118
2021-10,334.9496,77.1553
2021-11,352.5771,74.6519
2021-12,299.0569,81.397
2022-01,222.3307,70.7122
2022-02,263.1045,64.6001
2022-03,280.9885,69.8532
2022-04,204.5523,54.0273
2022-05,246.2339,53.6333
2022-06,192.8726,40.2902
2022-07,251.2479,52.5094
2022-08,239.1752,45.531
2022-09,170.0819,31.5965
2022-10,150.1044,41.7445
2022-11,179.1287,48.9584
2022-12,156.8319,39.838
2023-01,209.6022,48.5632
2023-02,248.2334,44.2258
2023-03,257.3509,48.9578
2023-04,226.8712,50.6836
2023-05,243.6329,50.7741
2023-06,276.3064,59.884
2023-07,286.2555,64.3798
2023-08,256.6974,60.953
2023-09,214.2167,52.6248
2023-10,198.0638,48.7132
2023-11,267.3138,61.6976
2023-12,319.3667,68.3392
2024-01,300.745,71.0275
2024-02,374.58,79.0476
2024-03,343.4051,83.99
2024-04,334.4047,75.7344
2024-05,373.4618,83.6813
2024-06,425.1117,89.2836
2024-07,446.7971,90.5002
2024-08,487.0853,94.0822
2024-09,481.4829,98.2932
2024-10,373.6205,95.412
2024-11,251.2082,105.8418
2024-12,264.1506,99.9875
2025-01,292.1585,105.351
2025-02,273.1416,101.7087
2025-03,252.6097,89.4719
2025-04,258.0065,87.0451
2025-05,296.667,97.8575
2025-06,335.9871,107.0685
2025-07,320.791,110.7404
2025-08,390.713,114.0337
2025-09,441.4245,121.6081
2025-10,486.4439,125.7153
2025-11,437.4475,125.0226
2025-12,421.7676,124.0393
2026-01,546.7952,127.2713
2026-02,165.7507,125.3185
