Date,rate_ISRG_5D,rate_VOO_20D
2016-01,-3.7225,1.4254
2016-02,2.9604,0.6142
2016-03,8.1534,6.1243
2016-04,10.323,4.6014
2016-05,9.6009,5.2878
2016-06,12.4386,4.687
2016-07,16.2834,7.7174
2016-08,12.8821,6.8637
2016-09,17.4472,5.9421
2016-10,7.2738,3.4868
2016-11,2.1056,6.843
2016-12,0.5525,8.2789
2017-01,9.6841,9.3935
2017-02,15.9061,12.821
2017-03,19.3124,12.0413
2017-04,28.7889,12.4367
2017-05,38.7882,13.2406
2017-06,39.4647,14.1802
2017-07,37.7162,15.6892
2017-08,45.4154,15.2834
2017-09,49.1136,16.8657
2017-10,58.0655,18.7799
2017-11,65.5364,21.509
2017-12,48.9642,22.1709
2018-01,73.8672,27.9258
2018-02,65.1312,22.2578
2018-03,57.5611,18.4465
2018-04,65.9998,18.162
2018-05,70.5833,20.337
2018-06,74.9695,20.5057
2018-07,83.1445,24.0401
2018-08,98.8101,27.2093
2018-09,100.6625,27.1082
2018-10,75.9018,17.9327
2018-11,67.6889,19.5577
2018-12,49.5828,8.5722
2019-01,62.0912,16.8959
2019-02,67.7177,20.2219
2019-03,72.8878,21.9603
2019-04,53.0705,26.2654
2019-05,38.1783,20.4953
2019-06,54.8032,25.3574
2019-07,51.9971,26.514
2019-08,47.7822,24.0717
2019-09,54.9722,25.9454
2019-10,53.6303,27.4086
2019-11,63.4779,31.384
2019-12,61.6748,34.5804
2020-01,51.8771,33.8021
2020-02,43.8088,22.3336
2020-03,43.7914,15.1867
2020-04,45.8332,29.6272
2020-05,58.1379,28.2305
2020-06,43.9099,28.0341
2020-07,69.597,33.4885
2020-08,69.8585,42.106
2020-09,62.1215,38.2475
2020-10,61.8468,34.0563
2020-11,63.56,42.9575
2020-12,77.2885,47.5016
2021-01,69.3446,45.1166
2021-02,65.6077,43.0879
2021-03,65.4492,49.8512
2021-04,92.4539,56.911
2021-05,84.6,54.6413
2021-06,100.1863,57.2758
2021-07,106.7409,60.2291
2021-08,118.0181,64.0213
2021-09,102.502,55.5224
2021-10,120.4314,65.5435
2021-11,96.468,65.5034
2021-12,116.0848,68.4598
2022-01,69.6599,58.7763
2022-02,72.3503,53.2596
2022-03,72.6632,58.2953
2022-04,42.2016,52.2757
2022-05,40.8388,51.0659
2022-06,23.7576,38.0304
2022-07,41.538,50.1558
2022-08,26.0532,43.3725
2022-09,14.4965,29.6913
2022-10,50.259,39.7003
2022-11,47.7896,46.8631
2022-12,43.1932,40.5677
2023-01,35.2469,48.7988
2023-02,21.7667,45.5387
2023-03,35.2929,49.6635
2023-04,59.0478,48.4614
2023-05,60.5701,48.1923
2023-06,73.0468,57.2072
2023-07,63.4084,61.7125
2023-08,56.9119,59.5229
2023-09,43.8409,51.3631
2023-10,30.4008,47.5518
2023-11,51.6617,60.474
2023-12,63.9557,67.125
2024-01,82.9885,69.1001
2024-02,81.9824,77.1309
2024-03,81.4607,83.2841
2024-04,71.6773,75.177
2024-05,85.4641,83.1784
2024-06,104.2041,90.182
2024-07,98.2193,90.9416
2024-08,115.5883,97.1965
2024-09,110.7038,98.31
2024-10,115.1511,95.5089
2024-11,130.2375,105.9957
2024-12,120.5744,100.2436
2025-01,140.432,104.6582
2025-02,141.7502,101.1287
2025-03,130.8374,89.045
2025-04,139.1798,88.6819
2025-05,154.7903,99.6712
2025-06,149.3782,109.046
2025-07,119.6374,112.823
2025-08,115.0695,112.1707
2025-09,102.293,118.6779
2025-10,140.6525,122.8639
2025-11,157.0395,122.3204
2025-12,152.5564,121.4705
2026-01,123.6906,123.6468
2026-02,122.3811,120.852
