Date,rate_FCX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-27.7059,-3.7423
2016-03,40.9522,0.3764
2016-04,62.2013,5.1946
2016-05,107.5596,3.5695
2016-06,40.8495,4.8356
2016-07,43.5075,4.3651
2016-08,50.9452,7.2005
2016-09,19.8913,6.5176
2016-10,23.4683,5.8316
2016-11,24.3455,2.6321
2016-12,64.6199,6.5262
2017-01,39.7338,8.6002
2017-02,74.4896,9.8701
2017-03,40.5328,14.9815
2017-04,31.6175,12.5254
2017-05,21.6785,13.1716
2017-06,9.9322,14.581
2017-07,14.7242,14.626
2017-08,37.4728,16.4591
2017-09,41.0217,15.9061
2017-10,29.5589,17.2911
2017-11,31.3156,19.4181
2017-12,27.5097,21.7575
2018-01,69.7925,22.6249
2018-02,71.3127,28.3844
2018-03,60.6794,21.0506
2018-04,50.1395,18.8566
2018-05,26.6464,18.843
2018-06,43.9726,22.0592
2018-07,43.6689,20.962
2018-08,28.8225,24.4135
2018-09,15.3563,27.7869
2018-10,12.026,28.1445
2018-11,1.3175,19.3954
2018-12,-1.5282,19.8359
2019-01,-14.9369,8.7501
2019-02,-4.1741,17.203
2019-03,7.2679,21.2677
2019-04,8.9926,23.6016
2019-05,-1.53,25.5902
2019-06,-18.3202,17.8911
2019-07,-3.1719,26.7327
2019-08,-8.1782,25.8061
2019-09,-20.9796,24.2046
2019-10,-20.6886,24.595
2019-11,-7.1943,29.5299
2019-12,0.5544,32.3145
2020-01,15.9134,35.5516
2020-02,-1.769,34.7733
2020-03,-11.828,23.2161
2020-04,-43.9943,2.6957
2020-05,-23.7798,17.923
2020-06,-15.3582,27.1545
2020-07,4.4733,29.2791
2020-08,17.3821,35.3897
2020-09,46.6093,45.4969
2020-10,40.1132,38.8421
2020-11,55.4688,33.8054
2020-12,110.67,49.4413
2021-01,129.8476,52.4925
2021-02,147.0584,52.5474
2021-03,202.4974,57.1165
2021-04,189.5056,62.2404
2021-05,220.7058,68.0147
2021-06,272.002,67.9506
2021-07,208.6324,71.7835
2021-08,214.4543,73.9065
2021-09,193.2416,78.108
2021-10,165.7574,70.559
2021-11,208.0213,79.7147
2021-12,188.3743,74.8714
2022-01,229.1367,83.8439
2022-02,205.9977,74.2485
2022-03,272.2927,64.4857
2022-04,292.1301,72.8765
2022-05,210.1098,56.3809
2022-06,200.4807,54.7432
2022-07,119.4487,43.9638
2022-08,124.8765,54.5402
2022-09,109.2351,48.4061
2022-10,102.2608,33.808
2022-11,143.0832,43.6413
2022-12,190.2886,51.6237
2023-01,176.5944,42.3283
2023-02,224.7953,52.4008
2023-03,209.1655,45.8599
2023-04,191.8501,52.4428
2023-05,167.5065,54.1535
2023-06,150.3753,55.8684
2023-07,180.4661,63.7729
2023-08,205.6338,67.9151
2023-09,187.724,65.3142
2023-10,156.7827,56.4671
2023-11,131.6479,54.158
2023-12,168.0334,66.8181
2024-01,188.8794,72.7134
2024-02,171.833,77.0248
2024-03,154.9538,84.7703
2024-04,216.1834,89.0895
2024-05,234.1237,80.3005
2024-06,250.5491,89.1407
2024-07,219.5737,96.817
2024-08,187.0804,94.9948
2024-09,189.5297,101.4737
2024-10,227.3605,104.2286
2024-11,195.2624,104.0979
2024-12,184.489,114.1559
2025-01,143.6257,108.1307
2025-02,129.0718,112.719
2025-03,134.635,109.0154
2025-04,141.1365,97.097
2025-05,129.9986,95.2965
2025-06,141.8569,105.2137
2025-07,175.4403,114.7559
2025-08,149.8492,115.142
2025-09,175.69,122.2543
2025-10,141.3962,129.8729
2025-11,157.1565,133.4127
2025-12,164.2392,131.7276
2026-01,209.9873,131.8756
2026-02,310.725,131.1612
