Date,rate_CPT_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.6578,-1.8027
2016-03,11.149,4.5695
2016-04,4.1553,3.6217
2016-05,8.9693,4.6859
2016-06,12.6461,4.2011
2016-07,12.2256,7.3141
2016-08,8.4707,6.5393
2016-09,8.5613,5.8417
2016-10,4.7551,3.4057
2016-11,0.951,7.0013
2016-12,8.6867,8.6582
2017-01,7.3792,9.9058
2017-02,8.4181,13.4199
2017-03,3.5501,12.5861
2017-04,5.7233,12.9516
2017-05,6.634,13.7442
2017-06,10.0311,14.6714
2017-07,14.8608,16.2352
2017-08,13.8676,15.7466
2017-09,16.5908,17.3266
2017-10,15.5704,19.2474
2017-11,14.935,22.0133
2017-12,16.2026,22.6523
2018-01,8.6677,28.4864
2018-02,-0.1332,22.6807
2018-03,6.4228,18.8927
2018-04,7.7261,18.6249
2018-05,10.6882,20.8091
2018-06,15.1615,20.9812
2018-07,16.5036,24.5763
2018-08,19.0511,27.7899
2018-09,17.5794,27.6747
2018-10,12.986,18.1983
2018-11,18.7068,19.8597
2018-12,12.2406,8.8011
2019-01,23.1883,17.1215
2019-02,24.0254,20.4441
2019-03,28.7099,22.1999
2019-04,26.9324,26.5012
2019-05,29.6792,17.9266
2019-06,31.2514,25.7011
2019-07,29.6616,26.9004
2019-08,34.6238,24.2426
2019-09,40.2296,26.142
2019-10,43.5869,28.3311
2019-11,39.15,32.3256
2019-12,34.5599,35.5485
2020-01,41.8223,34.7719
2020-02,32.9104,23.2511
2020-03,-0.0463,7.5779
2020-04,11.2572,21.2186
2020-05,15.5226,26.5774
2020-06,15.8057,28.3766
2020-07,14.9191,35.3325
2020-08,14.8165,44.0777
2020-09,13.134,37.914
2020-10,16.9439,33.7633
2020-11,24.9779,47.7098
2020-12,26.9795,52.3667
2021-01,29.3547,49.9654
2021-02,31.3563,53.2453
2021-03,39.1243,60.4049
2021-04,51.7754,67.83
2021-05,57.115,67.8968
2021-06,66.3256,70.6358
2021-07,86.1313,73.7106
2021-08,85.6685,77.7187
2021-09,82.2696,68.3779
2021-10,100.2188,79.119
2021-11,101.3931,76.6949
2021-12,117.306,83.6042
2022-01,93.2884,72.9303
2022-02,98.0504,66.8181
2022-03,99.1706,72.1992
2022-04,86.7319,56.2223
2022-05,69.769,55.8933
2022-06,59.3865,42.4002
2022-07,66.4071,54.8512
2022-08,50.8343,47.8158
2022-09,40.7175,33.7039
2022-10,35.6494,44.0824
2022-11,40.8077,51.4429
2022-12,31.5861,42.1877
2023-01,44.4894,50.5828
2023-02,34.1022,46.2373
2023-03,23.353,52.2586
2023-04,29.1964,54.0684
2023-05,22.3292,54.1996
2023-06,28.3797,63.548
2023-07,28.3251,68.1942
2023-08,26.3014,64.7317
2023-09,11.9425,56.2636
2023-10,0.36,52.2886
2023-11,6.7128,65.5989
2023-12,18.4454,72.448
2024-01,11.7701,74.4576
2024-02,12.3928,82.7177
2024-03,18.1279,89.0282
2024-04,19.5243,80.6052
2024-05,22.8945,88.8335
2024-06,34.0645,96.0415
2024-07,35.7345,97.3583
2024-08,52.9991,101.128
2024-09,51.7154,105.7758
2024-10,41.7789,102.865
2024-11,53.6142,113.7798
2024-12,42.5043,107.7813
2025-01,39.2637,112.3595
2025-02,51.5337,108.6721
2025-03,50.2059,96.0839
2025-04,39.3658,93.6359
2025-05,43.5123,104.9003
2025-06,38.5682,114.5225
2025-07,33.9501,118.4064
2025-08,37.0733,121.8959
2025-09,31.6948,128.6764
2025-10,22.4726,133.0211
2025-11,30.7059,132.409
2025-12,36.3199,131.4906
2026-01,34.7466,133.7386
2026-02,33.5871,130.7823
2026-03,25.3238,126.4154
