Date,rate_SHW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.8327,-0.6039
2016-03,7.7669,5.2168
2016-04,6.425,3.9893
2016-05,6.56,4.6886
2016-06,6.294,4.1237
2016-07,7.483,7.1795
2016-08,1.2082,6.3603
2016-09,-1.5544,5.6281
2016-10,-12.6536,3.196
2016-11,-2.4951,6.7601
2016-12,-2.2172,8.3626
2017-01,10.4469,10.2536
2017-02,11.5464,13.6522
2017-03,11.111,12.7005
2017-04,19.0786,12.9818
2017-05,17.1697,13.693
2017-06,22.701,13.5288
2017-07,16.6646,15.0481
2017-08,16.7387,14.5515
2017-09,22.1925,16.1037
2017-10,33.6369,17.9557
2017-11,33.7871,20.6805
2017-12,35.8548,21.3029
2018-01,38.191,28.0338
2018-02,31.84,22.1441
2018-03,27.5343,18.3021
2018-04,18.6896,18.0902
2018-05,21.899,20.2208
2018-06,30.0593,20.3415
2018-07,39.4946,23.8746
2018-08,43.1028,27.0072
2018-09,42.9869,27.7347
2018-10,22.3836,18.1437
2018-11,31.3378,19.7418
2018-12,21.0181,8.5778
2019-01,29.6346,17.1263
2019-02,32.6853,20.3748
2019-03,30.9523,22.0514
2019-04,37.3421,26.2651
2019-05,26.1163,17.5943
2019-06,36.9462,25.308
2019-07,52.2049,26.4355
2019-08,55.2425,23.7232
2019-09,62.0244,26.1617
2019-10,67.0771,28.2707
2019-11,68.8888,32.1761
2019-12,67.4296,35.3247
2020-01,59.8145,35.2749
2020-02,47.3251,23.5454
2020-03,30.0141,7.7105
2020-04,51.2123,21.425
2020-05,66.5848,26.7132
2020-06,60.7885,28.4357
2020-07,78.844,35.3124
2020-08,83.9676,43.9511
2020-09,89.2291,37.6938
2020-10,85.1667,33.4637
2020-11,99.7456,47.2943
2020-12,94.5395,51.8455
2021-01,83.1499,50.305
2021-02,79.0341,53.4604
2021-03,92.6076,59.4101
2021-04,112.5568,66.6882
2021-05,118.4216,66.6274
2021-06,107.9575,69.2184
2021-07,120.1647,72.1455
2021-08,128.0634,75.992
2021-09,108.173,66.6118
2021-10,133.5863,77.1553
2021-11,142.6304,74.6519
2021-12,155.5888,81.397
2022-01,106.1343,70.7122
2022-02,88.2502,64.6001
2022-03,77.4028,69.8532
2022-04,94.1261,54.0273
2022-05,88.3782,53.6333
2022-06,56.377,40.2902
2022-07,68.028,52.5094
2022-08,60.7038,45.531
2022-09,41.0617,31.5965
2022-10,54.3414,41.7445
2022-11,70.4909,48.9584
2022-12,61.5027,39.838
2023-01,61.0001,48.5632
2023-02,50.2609,44.2258
2023-03,51.9459,48.9578
2023-04,59.8694,50.6836
2023-05,53.0263,50.7741
2023-06,77.5404,59.884
2023-07,83.9088,64.3798
2023-08,80.1332,60.953
2023-09,68.1816,52.6248
2023-10,56.3501,48.7132
2023-11,82.5888,61.6976
2023-12,103.1749,68.3392
2024-01,98.2783,71.0275
2024-02,115.5106,79.0476
2024-03,124.0655,83.99
2024-04,92.1545,75.7344
2024-05,94.26,83.6813
2024-06,89.8353,89.2836
2024-07,121.9767,90.5002
2024-08,132.8076,94.0822
2024-09,140.5372,98.2932
2024-10,124.7335,95.412
2024-11,147.9439,105.8418
2024-12,110.8376,99.9875
2025-01,122.129,105.351
2025-02,123.424,101.7087
2025-03,114.6556,89.4719
2025-04,115.7897,87.0451
2025-05,118.7075,97.8575
2025-06,108.2012,107.0685
2025-07,99.5973,110.7404
2025-08,120.052,114.0337
2025-09,108.31,121.6081
2025-10,106.5113,125.7153
2025-11,105.2352,125.0226
2025-12,92.5941,124.0393
2026-01,110.7617,127.2713
2026-02,23.9047,125.3185
