Date,rate_JPM_5D,rate_VOO_20D
2016-01,4.7798,1.4254
2016-02,-2.3996,0.6142
2016-03,1.6857,6.1243
2016-04,7.4833,4.6014
2016-05,9.2069,5.2878
2016-06,2.3921,4.687
2016-07,8.4544,7.7174
2016-08,12.8478,6.8637
2016-09,9.9499,5.9421
2016-10,13.8702,3.4868
2016-11,26.5096,6.843
2016-12,33.1532,8.2789
2017-01,27.6166,9.3935
2017-02,34.481,12.821
2017-03,27.9247,12.0413
2017-04,25.863,12.4367
2017-05,17.4038,13.2406
2017-06,29.3241,14.1802
2017-07,29.7195,15.6892
2017-08,26.8894,15.2834
2017-09,31.9446,16.8657
2017-10,38.2411,18.7799
2017-11,41.9721,21.509
2017-12,43.4205,22.1709
2018-01,53.8683,27.9258
2018-02,48.5502,22.2578
2018-03,39.6464,18.4465
2018-04,37.3707,18.162
2018-05,33.7896,20.337
2018-06,29.0646,20.5057
2018-07,42.0874,24.0401
2018-08,40.2953,27.2093
2018-09,36.8799,27.1082
2018-10,29.3322,17.9327
2018-11,31.0632,19.5577
2018-12,14.3082,8.5722
2019-01,21.7664,16.8959
2019-02,22.1465,20.2219
2019-03,16.6307,21.9603
2019-04,31.0793,26.2654
2019-05,19.2025,20.4953
2019-06,25.1016,25.3574
2019-07,30.9865,26.514
2019-08,27.5483,24.0717
2019-09,36.1352,25.9454
2019-10,45.2408,27.4086
2019-11,52.1254,31.384
2019-12,59.7417,34.5804
2020-01,53.4315,33.8021
2020-02,33.5887,22.3336
2020-03,12.5218,15.1867
2020-04,16.9702,29.6272
2020-05,18.752,28.2305
2020-06,19.9484,28.0341
2020-07,22.7935,33.4885
2020-08,22.3039,42.106
2020-09,19.8951,38.2475
2020-10,20.8289,34.0563
2020-11,38.3985,42.9575
2020-12,44.0624,47.5016
2021-01,51.7927,45.1166
2021-02,63.9818,43.0879
2021-03,66.2027,49.8512
2021-04,64.0468,56.911
2021-05,74.1172,54.6413
2021-06,63.8131,57.2758
2021-07,62.5796,60.2291
2021-08,70.3602,64.0213
2021-09,67.7633,55.5224
2021-10,74.1013,65.5435
2021-11,61.8154,65.5034
2021-12,60.445,68.4598
2022-01,50.6969,58.7763
2022-02,43.1277,53.2596
2022-03,37.0655,58.2953
2022-04,20.5511,52.2757
2022-05,33.1819,51.0659
2022-06,18.6034,38.0304
2022-07,22.295,50.1558
2022-08,20.305,43.3725
2022-09,10.2629,29.6913
2022-10,33.7675,39.7003
2022-11,41.94,46.8631
2022-12,42.4003,40.5677
2023-01,44.3748,48.7988
2023-02,44.1217,45.5387
2023-03,32.0076,49.6635
2023-04,40.7524,48.4614
2023-05,35.3331,48.1923
2023-06,44.5184,57.2072
2023-07,57.5079,61.7125
2023-08,52.177,59.5229
2023-09,49.8048,51.3631
2023-10,44.1637,47.5518
2023-11,61.2528,60.474
2023-12,74.9975,67.125
2024-01,79.6476,69.1001
2024-02,90.8367,77.1309
2024-03,104.4579,83.2841
2024-04,97.7248,75.177
2024-05,107.9391,83.1784
2024-06,106.524,90.182
2024-07,119.8324,90.9416
2024-08,124.6748,97.1965
2024-09,113.3082,98.31
2024-10,127.3452,95.5089
2024-11,135.6767,105.9957
2024-12,125.05,100.2436
2025-01,150.9668,104.6582
2025-02,147.0879,101.1287
2025-03,127.8789,89.045
2025-04,128.6259,88.6819
2025-05,145.4942,99.6712
2025-06,168.149,109.046
2025-07,168.6656,112.823
2025-08,169.9158,112.1707
2025-09,172.2604,118.6779
2025-10,166.94,122.8639
2025-11,167.2092,122.3204
2025-12,173.5866,121.4705
2026-01,159.4904,123.6468
2026-02,153.4622,120.852
