Date,rate_448540.KS_5D,rate_VOO_20D
2022-11,0.0,0.0
2022-12,-6.0319,-4.7428
2023-01,6.9584,3.6523
2023-02,15.3644,-0.6932
2023-03,18.0228,5.3282
2023-04,15.8708,7.1379
2023-05,27.1605,7.2691
2023-06,26.1921,16.6176
2023-07,27.2161,21.2637
2023-08,28.3005,17.8012
2023-09,20.2287,9.3331
2023-10,17.9161,5.3581
2023-11,21.6336,18.6685
2023-12,21.6612,25.5175
2024-01,30.5363,27.5271
2024-02,38.8108,35.7872
2024-03,44.3038,42.0977
2024-04,41.7154,33.6747
2024-05,50.0285,41.903
2024-06,54.0704,49.111
2024-07,45.8696,50.4279
2024-08,47.3198,54.1975
2024-09,45.4753,58.8453
2024-10,52.8984,55.9345
2024-11,51.0717,66.8493
2024-12,52.1429,60.8508
2025-01,46.0357,65.4291
2025-02,43.9588,61.7416
2025-03,37.8968,49.1534
2025-04,36.0364,46.7054
2025-05,44.8413,57.9699
2025-06,49.9126,67.592
2025-07,57.3208,71.4759
2025-08,54.5716,74.9654
2025-09,54.0701,81.7459
2025-10,59.6854,86.0907
2025-11,53.4723,85.4785
2025-12,53.2625,84.5601
2026-01,52.3182,86.8081
2026-02,50.1421,83.8519
2026-03,47.1076,70.6793
2026-04,55.472,92.4558
2026-05,57.1623,103.9069
2026-06,52.5299,99.5927
2026-07,48.878,98.3832
2026-08,53.525,107.3073
