Date,rate_AXON_5D,rate_VOO_20D
2016-01,-0.0558,1.4254
2016-02,25.9861,0.6142
2016-03,18.3776,6.1243
2016-04,6.594,4.6014
2016-05,28.4409,5.2878
2016-06,28.9493,4.687
2016-07,45.2339,7.7174
2016-08,31.33,6.8637
2016-09,36.5245,5.9421
2016-10,5.7488,3.4868
2016-11,27.9362,6.843
2016-12,12.6941,8.2789
2017-01,15.1144,9.3935
2017-02,17.1153,12.821
2017-03,3.6404,12.0413
2017-04,11.5295,12.4367
2017-05,8.007,13.2406
2017-06,12.4098,14.1802
2017-07,9.1825,15.6892
2017-08,-4.1538,15.2834
2017-09,0.2814,16.8657
2017-10,1.5854,18.7799
2017-11,9.8647,21.509
2017-12,16.6485,22.1709
2018-01,15.6501,27.9258
2018-02,51.2587,22.2578
2018-03,65.831,18.4465
2018-04,65.2831,18.162
2018-05,146.9975,20.337
2018-06,140.2228,20.5057
2018-07,153.1199,24.0401
2018-08,149.723,27.2093
2018-09,145.7934,27.1082
2018-10,117.9106,17.9327
2018-11,58.9156,19.5577
2018-12,58.1965,8.5722
2019-01,82.6026,16.8959
2019-02,90.3033,20.2219
2019-03,90.2079,21.9603
2019-04,119.3053,26.2654
2019-05,119.0688,20.4953
2019-06,93.4529,25.3574
2019-07,108.4473,26.514
2019-08,86.6297,24.0717
2019-09,83.7358,25.9454
2019-10,71.3183,27.4086
2019-11,145.0029,31.384
2019-12,140.283,34.5804
2020-01,148.836,33.8021
2020-02,155.079,22.3336
2020-03,165.7512,15.1867
2020-04,134.9994,29.6272
2020-05,108.5652,28.2305
2020-06,120.6144,28.0341
2020-07,102.5784,33.4885
2020-08,90.1363,42.106
2020-09,99.5955,38.2475
2020-10,123.2551,34.0563
2020-11,138.4875,42.9575
2020-12,125.8734,47.5016
2021-01,189.1154,45.1166
2021-02,166.1294,43.0879
2021-03,133.1363,49.8512
2021-04,145.9199,56.911
2021-05,123.6203,54.6413
2021-06,178.8727,57.2758
2021-07,178.6864,60.2291
2021-08,169.846,64.0213
2021-09,157.0425,55.5224
2021-10,161.9596,65.5435
2021-11,143.5248,65.5034
2021-12,145.6468,68.4598
2022-01,117.1607,58.7763
2022-02,110.7715,53.2596
2022-03,92.7833,58.2953
2022-04,75.9328,52.2757
2022-05,65.4821,51.0659
2022-06,51.5681,38.0304
2022-07,78.4761,50.1558
2022-08,87.9356,43.3725
2022-09,85.0887,29.6913
2022-10,130.6729,39.7003
2022-11,193.222,46.8631
2022-12,185.2628,40.5677
2023-01,228.9884,48.7988
2023-02,226.0516,45.5387
2023-03,246.9287,49.6635
2023-04,219.0246,48.4614
2023-05,197.7054,48.1923
2023-06,198.9044,57.2072
2023-07,182.7425,61.7125
2023-08,204.6504,59.5229
2023-09,182.3698,51.3631
2023-10,191.748,47.5518
2023-11,210.0582,60.474
2023-12,245.958,67.125
2024-01,231.1123,69.1001
2024-02,305.6817,77.1309
2024-03,309.7863,83.2841
2024-04,293.9826,75.177
2024-05,251.1826,83.1784
2024-06,264.2812,90.182
2024-07,268.7996,90.9416
2024-08,298.4647,97.1965
2024-09,318.9978,98.31
2024-10,357.8815,95.5089
2024-11,478.631,105.9957
2024-12,459.5936,100.2436
2025-01,519.1869,104.6582
2025-02,426.4621,101.1287
2025-03,420.2262,89.045
2025-04,479.6341,88.6819
2025-05,603.9566,99.6712
2025-06,639.6006,109.046
2025-07,595.9879,112.823
2025-08,583.3587,112.1707
2025-09,551.4536,118.6779
2025-10,559.9171,122.8639
2025-11,383.3259,122.3204
2025-12,404.8446,121.4705
2026-01,326.9494,123.6468
2026-02,375.9896,120.852
