Date,rate_ZTS_5D,rate_VOO_20D
2016-01,-0.7377,1.4254
2016-02,-4.4919,0.6142
2016-03,3.8665,6.1243
2016-04,6.9138,4.6014
2016-05,6.3507,5.2878
2016-06,2.572,4.687
2016-07,8.6725,7.7174
2016-08,8.6954,6.8637
2016-09,9.5748,5.9421
2016-10,-0.1846,3.4868
2016-11,4.7977,6.843
2016-12,10.7573,8.2789
2017-01,12.8573,9.3935
2017-02,8.5584,12.821
2017-03,8.0373,12.0413
2017-04,13.2929,12.4367
2017-05,24.9001,13.2406
2017-06,23.9051,14.1802
2017-07,22.7472,15.6892
2017-08,22.0433,15.2834
2017-09,23.0185,16.8657
2017-10,21.9863,18.7799
2017-11,37.003,21.509
2017-12,35.0072,22.1709
2018-01,42.3776,27.9258
2018-02,48.2159,22.2578
2018-03,49.2118,18.4465
2018-04,47.0531,18.162
2018-05,45.7707,20.337
2018-06,46.7412,20.5057
2018-07,47.6077,24.0401
2018-08,53.0759,27.2093
2018-09,53.0886,27.1082
2018-10,43.3224,17.9327
2018-11,40.6903,19.5577
2018-12,27.1736,8.5722
2019-01,27.6039,16.8959
2019-02,38.7259,20.2219
2019-03,47.0677,21.9603
2019-04,47.7998,26.2654
2019-05,45.4952,20.4953
2019-06,62.0579,25.3574
2019-07,62.7704,26.514
2019-08,74.0206,24.0717
2019-09,70.6854,25.9454
2019-10,73.8644,27.4086
2019-11,62.3652,31.384
2019-12,76.8735,34.5804
2020-01,77.9161,33.8021
2020-02,71.8705,22.3336
2020-03,65.2187,15.1867
2020-04,74.1059,29.6272
2020-05,82.1855,28.2305
2020-06,74.6316,28.0341
2020-07,91.1756,33.4885
2020-08,97.2653,42.106
2020-09,96.7944,38.2475
2020-10,88.2211,34.0563
2020-11,81.6802,42.9575
2020-12,86.0822,47.5016
2021-01,77.3115,45.1166
2021-02,76.679,43.0879
2021-03,80.0306,49.8512
2021-04,96.716,56.911
2021-05,94.4586,54.6413
2021-06,103.5537,57.2758
2021-07,119.9361,60.2291
2021-08,120.1421,64.0213
2021-09,107.2433,55.5224
2021-10,126.94,65.5435
2021-11,129.1168,65.5034
2021-12,143.3961,68.4598
2022-01,98.249,58.7763
2022-02,90.8656,53.2596
2022-03,79.0972,58.2953
2022-04,73.9369,52.2757
2022-05,75.9679,51.0659
2022-06,68.5812,38.0304
2022-07,69.4079,50.1558
2022-08,44.535,43.3725
2022-09,36.3769,29.6913
2022-10,38.482,39.7003
2022-11,33.7663,46.8631
2022-12,25.1547,40.5677
2023-01,41.2813,48.7988
2023-02,35.9722,45.5387
2023-03,33.2709,49.6635
2023-04,40.6411,48.4614
2023-05,38.7362,48.1923
2023-06,40.6087,57.2072
2023-07,53.4147,61.7125
2023-08,43.4425,59.5229
2023-09,30.5504,51.3631
2023-10,17.787,47.5518
2023-11,32.2836,60.474
2023-12,47.3559,67.125
2024-01,40.09,69.1001
2024-02,47.4828,77.1309
2024-03,25.4752,83.2841
2024-04,18.1878,75.177
2024-05,25.6327,83.1784
2024-06,28.1493,90.182
2024-07,33.1241,90.9416
2024-08,33.8911,97.1965
2024-09,42.1243,98.31
2024-10,28.5383,95.5089
2024-11,24.4803,105.9957
2024-12,15.5163,100.2436
2025-01,21.3753,104.6582
2025-02,18.5849,101.1287
2025-03,13.599,89.045
2025-04,10.5022,88.6819
2025-05,19.0411,99.6712
2025-06,14.9698,109.046
2025-07,6.7854,112.823
2025-08,14.471,112.1707
2025-09,6.9768,118.6779
2025-10,5.6491,122.8639
2025-11,-5.1067,122.3204
2025-12,-6.8069,121.4705
2026-01,-7.0999,123.6468
2026-02,-2.3669,120.852
