Date,rate_0072R0.KS_5D,rate_VOO_20D
2025-06,0.0,0.0
2025-07,1.0144,7.7731
2025-08,4.0267,11.2626
2025-09,30.0037,18.0431
2025-10,20.441,22.3879
2025-11,22.9003,21.7757
2025-12,24.4806,20.8573
2026-01,49.0112,23.1053
2026-02,35.2134,20.1491
2026-03,23.6421,6.9765
2026-04,16.5194,28.753
2026-05,14.0269,40.2041
2026-06,3.492,35.8899
2026-07,-1.7827,34.6804
2026-08,5.3151,41.2833
