Date,rate_VLO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.4151,-1.8027
2016-03,-1.7114,4.5695
2016-04,-8.8289,3.6217
2016-05,-12.6328,4.6859
2016-06,-16.8428,4.2011
2016-07,-12.4208,7.3141
2016-08,-4.4749,6.5393
2016-09,-7.8166,5.8417
2016-10,3.8847,3.4057
2016-11,10.6493,7.0013
2016-12,22.0112,8.6582
2017-01,15.8283,9.9058
2017-02,19.7787,13.4199
2017-03,15.5104,12.5861
2017-04,11.6429,12.9516
2017-05,6.8035,13.7442
2017-06,16.7012,14.6714
2017-07,18.4053,16.2352
2017-08,17.207,15.7466
2017-09,31.3451,17.3266
2017-10,33.2255,19.2474
2017-11,44.0586,22.0133
2017-12,52.7432,22.6523
2018-01,57.2755,28.4864
2018-02,47.4534,22.6807
2018-03,49.4514,18.8927
2018-04,76.5466,18.6249
2018-05,91.2438,20.8091
2018-06,72.033,20.9812
2018-07,81.2076,24.5763
2018-08,79.2063,27.7899
2018-09,70.6223,27.6747
2018-10,35.0181,18.1983
2018-11,18.7144,19.8597
2018-12,10.9079,8.8011
2019-01,29.5408,17.1215
2019-02,20.9875,20.4441
2019-03,25.2078,22.1999
2019-04,33.0746,26.5012
2019-05,4.1017,17.9266
2019-06,26.4193,25.7011
2019-07,25.3145,26.9004
2019-08,11.5094,24.2426
2019-09,25.9488,26.142
2019-10,42.6378,28.3311
2019-11,40.8082,32.3256
2019-12,37.2618,35.5485
2020-01,22.9108,34.7719
2020-02,-2.3135,23.2511
2020-03,-33.0311,7.5779
2020-04,-5.3397,21.2186
2020-05,1.2971,26.5774
2020-06,-10.5858,28.3766
2020-07,-14.257,35.3325
2020-08,-18.0637,44.0777
2020-09,-32.2152,37.914
2020-10,-38.9592,33.7633
2020-11,-12.5569,47.7098
2020-12,-7.8313,52.3667
2021-01,-7.9311,49.9654
2021-02,27.3099,53.2453
2021-03,17.9852,60.4049
2021-04,21.5009,67.83
2021-05,36.5244,67.8968
2021-06,31.9155,70.6358
2021-07,12.7563,73.7106
2021-08,13.1061,77.7187
2021-09,20.2818,68.3779
2021-10,31.4081,79.119
2021-11,15.0356,76.6949
2021-12,28.7998,83.6042
2022-01,41.8318,72.9303
2022-02,43.7973,66.8181
2022-03,74.2346,72.1992
2022-04,90.2116,56.2223
2022-05,121.4108,55.8933
2022-06,80.2639,42.4002
2022-07,86.7934,54.8512
2022-08,97.9875,47.8158
2022-09,79.688,33.7039
2022-10,109.9589,44.0824
2022-11,123.6163,51.4429
2022-12,110.9426,42.1877
2023-01,131.3758,50.5828
2023-02,117.9391,46.2373
2023-03,129.3518,52.2586
2023-04,87.229,54.0684
2023-05,75.5168,54.1996
2023-06,91.4408,63.548
2023-07,109.2672,68.1942
2023-08,111.3228,64.7317
2023-09,129.1355,56.2636
2023-10,104.1318,52.2886
2023-11,102.0403,65.5989
2023-12,108.387,72.448
2024-01,123.1497,74.4576
2024-02,125.9888,82.7177
2024-03,171.0875,89.0282
2024-04,152.3017,80.6052
2024-05,148.217,88.8335
2024-06,146.1657,96.0415
2024-07,152.4781,97.3583
2024-08,129.3424,101.128
2024-09,109.9365,105.7758
2024-10,100.7396,102.865
2024-11,115.7927,113.7798
2024-12,89.2815,107.7813
2025-01,106.1853,112.3595
2025-02,101.7183,108.6721
2025-03,102.859,96.0839
2025-04,77.5179,93.6359
2025-05,98.1664,104.9003
2025-06,105.6363,114.5225
2025-07,110.8133,118.4064
2025-08,132.3902,121.8959
2025-09,159.0079,128.6764
2025-10,156.6146,133.0211
2025-11,167.8355,132.409
2025-12,145.3484,131.4906
2026-01,172.0764,133.7386
2026-02,207.0607,130.7823
2026-03,261.1859,121.4547
