Date,rate_CTAS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.5666,-3.7423
2016-03,-1.5051,0.3764
2016-04,3.695,5.1946
2016-05,2.4155,3.5695
2016-06,7.6221,4.8356
2016-07,10.9447,4.3651
2016-08,18.7536,7.2005
2016-09,27.5478,6.5176
2016-10,19.0823,5.8316
2016-11,8.5901,2.6321
2016-12,21.084,6.5262
2017-01,18.9776,8.6002
2017-02,16.7881,9.8701
2017-03,20.3923,14.9815
2017-04,25.9013,12.5254
2017-05,19.4049,13.1716
2017-06,23.4614,14.581
2017-07,21.2959,14.626
2017-08,29.2083,16.4591
2017-09,26.838,15.9061
2017-10,34.6248,17.2911
2017-11,35.6653,19.4181
2017-12,45.0491,21.7575
2018-01,41.6485,22.6249
2018-02,48.3774,28.3844
2018-03,50.3979,21.0506
2018-04,49.4211,18.8566
2018-05,49.1759,18.843
2018-06,57.9338,22.0592
2018-07,56.4304,20.962
2018-08,72.0667,24.4135
2018-09,75.9124,27.7869
2018-10,61.1194,28.1445
2018-11,45.4402,19.3954
2018-12,51.0442,19.8359
2019-01,34.1391,8.7501
2019-02,49.5651,17.203
2019-03,63.7749,21.2677
2019-04,59.5146,23.6016
2019-05,66.5661,25.5902
2019-06,69.3449,17.8911
2019-07,80.5727,26.7327
2019-08,93.7782,25.8061
2019-09,95.1737,24.2046
2019-10,92.0246,24.595
2019-11,94.7292,29.5299
2019-12,86.0606,32.3145
2020-01,92.8799,35.5516
2020-02,98.0019,34.7733
2020-03,87.4455,23.2161
2020-04,13.2798,2.6957
2020-05,47.1466,17.923
2020-06,73.2745,27.1545
2020-07,83.5828,29.2791
2020-08,105.0932,35.3897
2020-09,125.7261,45.4969
2020-10,127.9316,38.8421
2020-11,107.6493,33.8054
2020-12,137.2576,49.4413
2021-01,131.2886,52.4925
2021-02,111.0028,52.5474
2021-03,122.1559,57.1165
2021-04,122.405,62.2404
2021-05,118.4842,68.0147
2021-06,122.0521,67.9506
2021-07,137.6308,71.7835
2021-08,143.7756,73.9065
2021-09,143.4254,78.108
2021-10,135.9891,70.559
2021-11,160.2702,79.7147
2021-12,151.8715,74.8714
2022-01,165.0394,83.8439
2022-02,129.661,74.2485
2022-03,119.5401,64.4857
2022-04,148.2393,72.8765
2022-05,130.8204,56.3809
2022-06,127.0381,54.7432
2022-07,117.2796,43.9638
2022-08,142.8432,54.5402
2022-09,133.6984,48.4061
2022-10,121.0272,33.808
2022-11,142.2182,43.6413
2022-12,160.3438,51.6237
2023-01,152.3809,42.3283
2023-02,147.6685,52.4008
2023-03,137.0955,45.8599
2023-04,153.9251,52.4428
2023-05,151.9786,54.1535
2023-06,159.5429,55.8684
2023-07,169.1827,63.7729
2023-08,170.9094,67.9151
2023-09,170.5782,65.3142
2023-10,155.8439,56.4671
2023-11,168.976,54.158
2023-12,193.7583,66.8181
2024-01,214.9467,72.7134
2024-02,220.4512,77.0248
2024-03,224.4715,84.7703
2024-04,248.9586,89.0895
2024-05,237.8387,80.3005
2024-06,243.4352,89.1407
2024-07,249.161,96.817
2024-08,280.6158,94.9948
2024-09,300.1231,101.4737
2024-10,302.3552,104.2286
2024-11,302.9509,104.0979
2024-12,341.6444,114.1559
2025-01,254.7983,108.1307
2025-02,286.9341,112.719
2025-03,300.5929,109.0154
2025-04,298.5905,97.097
2025-05,299.1235,95.2965
2025-06,329.2833,105.2137
2025-07,322.2705,114.7559
2025-08,314.2125,115.142
2025-09,292.702,122.2543
2025-10,278.3255,129.8729
2025-11,238.3583,133.4127
2025-12,242.7963,131.7276
2026-01,245.6213,131.8756
2026-02,216.6704,120.852
