Date,rate_SYF_5D,rate_VOO_20D
2016-01,-2.0533,1.4254
2016-02,-4.1898,0.6142
2016-03,2.4005,6.1243
2016-04,7.9499,4.6014
2016-05,8.4389,5.2878
2016-06,-0.9931,4.687
2016-07,9.0276,7.7174
2016-08,8.1613,6.8637
2016-09,7.9266,5.9421
2016-10,9.3829,3.4868
2016-11,25.1853,6.843
2016-12,28.6969,8.2789
2017-01,24.8268,9.3935
2017-02,24.77,12.821
2017-03,16.8555,12.0413
2017-04,-6.1472,12.4367
2017-05,-8.3143,13.2406
2017-06,2.2465,14.1802
2017-07,3.8349,15.6892
2017-08,5.6628,15.2834
2017-09,6.2582,16.8657
2017-10,11.3211,18.7799
2017-11,23.3146,21.509
2017-12,31.6042,22.1709
2018-01,33.8321,27.9258
2018-02,23.052,22.2578
2018-03,12.6354,18.4465
2018-04,10.9979,18.162
2018-05,16.9127,20.337
2018-06,12.2696,20.5057
2018-07,-3.0508,24.0401
2018-08,8.2148,27.2093
2018-09,5.9514,27.1082
2018-10,-1.9242,17.9327
2018-11,-10.4597,19.5577
2018-12,-18.8837,8.5722
2019-01,4.5062,16.8959
2019-02,15.2271,20.2219
2019-03,11.9307,21.9603
2019-04,20.0499,26.2654
2019-05,19.8676,20.4953
2019-06,22.1307,25.3574
2019-07,25.8282,26.514
2019-08,20.283,24.0717
2019-09,27.3515,25.9454
2019-10,29.9457,27.4086
2019-11,39.2654,31.384
2019-12,33.3442,34.5804
2020-01,19.4606,33.8021
2020-02,7.5618,22.3336
2020-03,-26.3159,15.1867
2020-04,-8.3085,29.6272
2020-05,-6.7612,28.2305
2020-06,7.2485,28.0341
2020-07,6.2698,33.4885
2020-08,15.1536,42.106
2020-09,19.053,38.2475
2020-10,17.8687,34.0563
2020-11,34.6143,42.9575
2020-12,46.7686,47.5016
2021-01,52.2622,45.1166
2021-02,61.8414,43.0879
2021-03,69.8264,49.8512
2021-04,79.1544,56.911
2021-05,94.7945,54.6413
2021-06,97.8033,57.2758
2021-07,92.0386,60.2291
2021-08,102.6905,64.0213
2021-09,97.7401,55.5224
2021-10,89.2034,65.5435
2021-11,81.0106,65.5034
2021-12,81.1468,68.4598
2022-01,73.447,58.7763
2022-02,71.0353,53.2596
2022-03,38.5497,58.2953
2022-04,46.2196,52.2757
2022-05,43.1154,51.0659
2022-06,6.9436,38.0304
2022-07,31.9375,50.1558
2022-08,28.6619,43.3725
2022-09,10.4204,29.6913
2022-10,39.8558,39.7003
2022-11,27.6465,46.8631
2022-12,23.9136,40.5677
2023-01,38.2122,48.7988
2023-02,37.9816,45.5387
2023-03,26.3623,49.6635
2023-04,27.9234,48.4614
2023-05,35.0075,48.1923
2023-06,47.4382,57.2072
2023-07,52.849,61.7125
2023-08,42.321,59.5229
2023-09,34.2885,51.3631
2023-10,24.0136,47.5518
2023-11,42.7424,60.474
2023-12,67.8779,67.125
2024-01,70.1561,69.1001
2024-02,83.5115,77.1309
2024-03,90.7232,83.2841
2024-04,91.055,75.177
2024-05,92.4821,83.1784
2024-06,106.4028,90.182
2024-07,118.0918,90.9416
2024-08,128.3005,97.1965
2024-09,118.4411,98.31
2024-10,140.0432,95.5089
2024-11,148.6406,105.9957
2024-12,144.4402,100.2436
2025-01,152.9895,104.6582
2025-02,122.3431,101.1287
2025-03,93.3382,89.045
2025-04,99.5457,88.6819
2025-05,121.6614,99.6712
2025-06,146.3679,109.046
2025-07,148.2909,112.823
2025-08,163.6316,112.1707
2025-09,152.7604,118.6779
2025-10,158.6369,122.8639
2025-11,168.6741,122.3204
2025-12,188.1656,121.4705
2026-01,149.4755,123.6468
2026-02,139.0312,120.852
