Date,rate_XOM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.6088,-3.7423
2016-03,6.5793,0.3764
2016-04,6.5091,5.1946
2016-05,11.7327,3.5695
2016-06,11.3333,4.8356
2016-07,15.0676,4.3651
2016-08,3.2999,7.2005
2016-09,4.9478,6.5176
2016-10,4.915,5.8316
2016-11,0.0709,2.6321
2016-12,5.2466,6.5262
2017-01,8.4281,8.6002
2017-02,-0.9681,9.8701
2017-03,0.0855,14.9815
2017-04,-1.1451,12.5254
2017-05,-1.0195,13.1716
2017-06,-1.6774,14.581
2017-07,-1.5541,14.626
2017-08,-2.161,16.4591
2017-09,-5.5153,15.9061
2017-10,1.4356,17.2911
2017-11,3.7028,19.4181
2017-12,5.883,21.7575
2018-01,5.8588,22.6249
2018-02,12.4774,28.3844
2018-03,-2.5415,21.0506
2018-04,-3.2192,18.8566
2018-05,-0.0689,18.843
2018-06,9.462,22.0592
2018-07,10.3405,20.962
2018-08,6.8923,24.4135
2018-09,9.6462,27.7869
2018-10,17.0404,28.1445
2018-11,9.5557,19.3954
2018-12,11.0274,19.8359
2019-01,-5.0357,8.7501
2019-02,5.8779,17.203
2019-03,14.8277,21.2677
2019-04,16.9164,23.6016
2019-05,12.1295,25.5902
2019-06,4.3114,17.8911
2019-07,12.728,26.7327
2019-08,6.4088,25.8061
2019-09,1.7001,24.2046
2019-10,2.3566,24.595
2019-11,3.2676,29.5299
2019-12,4.8862,32.3145
2020-01,7.3162,35.5516
2020-02,-4.5991,34.7733
2020-03,-19.589,23.2161
2020-04,-41.0553,2.6957
2020-05,-31.3389,17.923
2020-06,-24.3124,27.1545
2020-07,-28.0932,29.2791
2020-08,-30.2847,35.3897
2020-09,-32.7175,45.4969
2020-10,-42.9881,38.8421
2020-11,-43.1377,33.8054
2020-12,-30.4908,49.4413
2021-01,-25.0394,52.4925
2021-02,-17.8652,52.5474
2021-03,5.0817,57.1165
2021-04,6.8409,62.2404
2021-05,6.4535,68.0147
2021-06,13.952,67.9506
2021-07,19.0048,71.7835
2021-08,8.0413,73.9065
2021-09,2.429,78.108
2021-10,16.025,70.559
2021-11,24.7268,79.7147
2021-12,14.9773,74.8714
2022-01,17.4535,83.8439
2022-02,54.8347,74.2485
2022-03,52.6053,64.4857
2022-04,59.4797,72.8765
2022-05,62.7624,56.3809
2022-06,87.5345,54.7432
2022-07,66.8043,43.9638
2022-08,79.0937,54.5402
2022-09,78.6128,48.4061
2022-10,65.2253,33.808
2022-11,110.7572,43.6413
2022-12,109.0473,51.6237
2023-01,106.8087,42.3283
2023-02,113.8252,52.4008
2023-03,107.0555,45.8599
2023-04,103.5392,52.4428
2023-05,111.6067,54.1535
2023-06,91.2737,55.8684
2023-07,97.4172,63.7729
2023-08,95.1923,67.9151
2023-09,108.3786,65.3142
2023-10,114.6213,56.4671
2023-11,91.7305,54.158
2023-12,87.694,66.8181
2024-01,81.319,72.7134
2024-02,84.83,77.0248
2024-03,91.8689,84.7703
2024-04,111.0531,89.0895
2024-05,108.2188,80.3005
2024-06,111.0383,89.1407
2024-07,105.829,96.817
2024-08,108.3457,94.9948
2024-09,110.7418,101.4737
2024-10,113.2225,104.2286
2024-11,103.3439,104.0979
2024-12,109.4194,114.1559
2025-01,90.0473,108.1307
2025-02,87.9186,112.719
2025-03,96.7344,109.0154
2025-04,109.4243,97.097
2025-05,85.2274,95.2965
2025-06,80.1299,105.2137
2025-07,91.5965,114.7559
2025-08,91.4978,115.142
2025-09,103.9624,122.2543
2025-10,98.9813,129.8729
2025-11,102.3348,133.4127
2025-12,110.917,131.7276
2026-01,116.6661,131.8756
2026-02,173.8253,131.1612
