Date,rate_FANG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.3125,-0.6039
2016-03,5.8148,5.2168
2016-04,17.0596,3.9893
2016-05,19.0057,4.6886
2016-06,15.9772,4.1237
2016-07,9.4783,7.1795
2016-08,17.6259,6.3603
2016-09,17.1692,5.6281
2016-10,9.5595,3.196
2016-11,28.1634,6.7601
2016-12,17.7489,8.3626
2017-01,22.5097,10.2536
2017-02,15.7522,13.6522
2017-03,17.509,12.7005
2017-04,11.9374,12.9818
2017-05,3.3389,13.693
2017-06,-1.3246,13.5288
2017-07,6.4436,15.0481
2017-08,0.4817,14.5515
2017-09,8.2931,16.1037
2017-10,17.8972,17.9557
2017-11,19.2995,20.6805
2017-12,36.7155,21.3029
2018-01,35.9035,28.0338
2018-02,33.4385,22.1441
2018-03,34.0094,18.3021
2018-04,34.8327,18.0902
2018-05,25.6888,20.2208
2018-06,36.0793,20.3415
2018-07,35.2691,23.8746
2018-08,23.168,27.0072
2018-09,37.4662,27.7347
2018-10,13.2211,18.1437
2018-11,10.8612,19.7418
2018-12,-7.2191,8.5778
2019-01,3.2009,17.1263
2019-02,3.0344,20.3748
2019-03,1.4836,22.0514
2019-04,6.2145,26.2651
2019-05,-1.9515,17.5943
2019-06,8.9925,25.308
2019-07,3.2147,26.4355
2019-08,-1.8762,23.7232
2019-09,-10.0258,26.1617
2019-10,-13.8093,28.2707
2019-11,-21.8096,32.1761
2019-12,-5.56,35.3247
2020-01,-24.3205,35.2749
2020-02,-36.4474,23.5454
2020-03,-72.5912,7.7105
2020-04,-51.6988,21.425
2020-05,-51.1021,26.7132
2020-06,-51.0043,28.4357
2020-07,-52.2082,35.3124
2020-08,-51.8241,43.9511
2020-09,-61.9526,37.6938
2020-10,-66.1274,33.4637
2020-11,-45.6424,47.2943
2020-12,-33.1582,51.8455
2021-01,-21.7211,50.305
2021-02,-3.9321,53.4604
2021-03,2.4075,59.4101
2021-04,13.5862,66.6882
2021-05,11.5513,66.6274
2021-06,30.3623,69.2184
2021-07,6.5961,72.1455
2021-08,7.1228,75.992
2021-09,31.3995,66.6118
2021-10,48.1162,77.1553
2021-11,47.3494,74.6519
2021-12,48.2289,81.397
2022-01,72.4598,70.7122
2022-02,87.5283,64.6001
2022-03,85.6817,69.8532
2022-04,69.8147,54.0273
2022-05,107.3588,53.6333
2022-06,64.0059,40.2902
2022-07,72.3554,52.5094
2022-08,82.5021,45.531
2022-09,64.036,31.5965
2022-10,112.6783,41.7445
2022-11,102.0019,48.9584
2022-12,85.5151,39.838
2023-01,98.1786,48.5632
2023-02,89.4736,44.2258
2023-03,85.0043,48.9578
2023-04,93.1356,50.6836
2023-05,72.7937,50.7741
2023-06,77.5655,59.884
2023-07,98.0607,64.3798
2023-08,103.9618,60.953
2023-09,106.8222,52.6248
2023-10,112.825,48.7132
2023-11,108.1802,61.6976
2023-12,107.8256,68.3392
2024-01,106.0303,71.0275
2024-02,143.1601,79.0476
2024-03,166.3317,83.99
2024-04,168.3951,75.7344
2024-05,166.7197,83.6813
2024-06,166.3111,89.2836
2024-07,167.3188,90.5002
2024-08,159.1944,94.0822
2024-09,129.3846,98.2932
2024-10,133.6757,95.412
2024-11,134.5571,105.8418
2024-12,115.1384,99.9875
2025-01,115.8339,105.351
2025-02,107.6108,101.7087
2025-03,109.1004,89.4719
2025-04,71.7643,87.0451
2025-05,75.618,97.8575
2025-06,78.5245,107.0685
2025-07,92.3081,110.7404
2025-08,92.8573,114.0337
2025-09,85.5694,121.6081
2025-10,84.8608,125.7153
2025-11,97.4401,125.0226
2025-12,93.5688,124.0393
2026-01,111.0982,127.2713
2026-02,13.6951,125.3185
