Date,rate_CCI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.5731,-3.7423
2016-03,1.8041,0.3764
2016-04,1.4634,5.1946
2016-05,0.805,3.5695
2016-06,5.1641,4.8356
2016-07,17.225,4.3651
2016-08,10.8478,7.2005
2016-09,6.1302,6.5176
2016-10,5.8219,5.8316
2016-11,0.4594,2.6321
2016-12,-8.9803,6.5262
2017-01,-1.2736,8.6002
2017-02,-1.321,9.8701
2017-03,6.0156,14.9815
2017-04,8.3216,12.5254
2017-05,8.0682,13.1716
2017-06,17.5409,14.581
2017-07,13.9468,14.626
2017-08,14.0088,16.4591
2017-09,20.1764,15.9061
2017-10,12.4376,17.2911
2017-11,17.6402,19.4181
2017-12,25.1055,21.7575
2018-01,23.5152,22.6249
2018-02,24.844,28.3844
2018-03,16.2151,21.0506
2018-04,20.6137,18.8566
2018-05,10.3036,18.843
2018-06,13.1496,22.0592
2018-07,18.2131,20.962
2018-08,21.6794,24.4135
2018-09,23.7,27.7869
2018-10,20.2071,28.1445
2018-11,18.4279,19.3954
2018-12,23.9164,19.8359
2019-01,17.7304,8.7501
2019-02,26.2597,17.203
2019-03,27.9812,21.2677
2019-04,36.4031,23.6016
2019-05,33.1148,25.5902
2019-06,38.2156,17.8911
2019-07,38.6076,26.7327
2019-08,41.6431,25.8061
2019-09,52.6047,24.2046
2019-10,43.8654,24.595
2019-11,43.5667,29.5299
2019-12,38.7349,32.3145
2020-01,47.9251,35.5516
2020-02,54.8931,34.7733
2020-03,47.0704,23.2161
2020-04,41.5558,2.6957
2020-05,60.0063,17.923
2020-06,76.5055,27.1545
2020-07,74.4017,29.2791
2020-08,71.3547,35.3897
2020-09,61.975,45.4969
2020-10,67.9427,38.8421
2020-11,55.0456,33.8054
2020-12,68.5157,49.4413
2021-01,57.2984,52.4925
2021-02,61.3458,52.5474
2021-03,50.0659,57.1165
2021-04,73.2724,62.2404
2021-05,86.5265,68.0147
2021-06,87.6035,67.9506
2021-07,93.2483,71.7835
2021-08,90.2647,73.9065
2021-09,93.6913,78.108
2021-10,69.4018,70.559
2021-11,76.6713,79.7147
2021-12,74.671,74.8714
2022-01,102.145,83.8439
2022-02,73.6522,74.2485
2022-03,60.646,64.4857
2022-04,81.2414,72.8765
2022-05,76.5195,56.3809
2022-06,78.2538,54.7432
2022-07,63.8112,43.9638
2022-08,70.1976,54.5402
2022-09,61.8205,48.4061
2022-10,36.7291,33.808
2022-11,24.6919,43.6413
2022-12,33.2811,51.6237
2023-01,28.6593,42.3283
2023-02,41.0625,52.4008
2023-03,21.5861,45.8599
2023-04,27.4008,52.4428
2023-05,15.8823,54.1535
2023-06,6.3357,55.8684
2023-07,9.4334,63.7729
2023-08,3.8675,67.9151
2023-09,-4.3089,65.3142
2023-10,-10.189,56.4671
2023-11,-9.6923,54.158
2023-12,15.977,66.8181
2024-01,14.0368,72.7134
2024-02,9.8061,77.0248
2024-03,9.7051,84.7703
2024-04,4.4396,89.0895
2024-05,-4.6488,80.3005
2024-06,2.6789,89.1407
2024-07,0.8239,96.817
2024-08,17.9411,94.9948
2024-09,17.4845,101.4737
2024-10,29.6593,104.2286
2024-11,15.764,104.0979
2024-12,15.2577,114.1559
2025-01,3.4198,108.1307
2025-02,1.6966,112.719
2025-03,7.1698,109.0154
2025-04,24.4106,97.097
2025-05,26.1927,95.2965
2025-06,18.9096,105.2137
2025-07,26.504,114.7559
2025-08,30.1159,115.142
2025-09,20.4516,122.2543
2025-10,17.4043,129.8729
2025-11,10.5289,133.4127
2025-12,8.3341,131.7276
2026-01,10.0168,131.8756
2026-02,10.6974,131.1612
