Date,rate_SCHW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.1897,-1.8027
2016-03,1.5345,4.5695
2016-04,2.2301,3.6217
2016-05,9.5092,4.6859
2016-06,-10.7354,4.2011
2016-07,2.0639,7.3141
2016-08,12.7089,6.5393
2016-09,11.8561,5.8417
2016-10,11.1253,3.4057
2016-11,34.235,7.0013
2016-12,33.9247,8.6582
2017-01,37.1967,9.9058
2017-02,31.8192,13.4199
2017-03,30.5797,12.5861
2017-04,22.4943,12.9516
2017-05,20.7305,13.7442
2017-06,32.4043,14.6714
2017-07,30.5166,16.2352
2017-08,19.9643,15.7466
2017-09,30.4112,17.3266
2017-10,32.2688,19.2474
2017-11,42.4494,22.0133
2017-12,48.0497,22.6523
2018-01,51.7226,28.4864
2018-02,49.0086,22.6807
2018-03,45.0493,18.8927
2018-04,52.9307,18.6249
2018-05,51.2182,20.8091
2018-06,37.3117,20.9812
2018-07,36.0015,24.5763
2018-08,34.518,27.7899
2018-09,29.1678,27.6747
2018-10,20.7033,18.1983
2018-11,16.7038,19.8597
2018-12,7.7647,8.8011
2019-01,21.108,17.1215
2019-02,19.0197,20.4441
2019-03,10.1219,22.1999
2019-04,17.5363,26.5012
2019-05,6.896,17.9266
2019-06,3.0935,25.7011
2019-07,10.7409,26.9004
2019-08,-1.6152,24.2426
2019-09,7.5655,26.142
2019-10,4.7532,28.3311
2019-11,27.5884,32.3256
2019-12,22.042,35.5485
2020-01,16.4605,34.7719
2020-02,4.3687,23.2511
2020-03,-13.9339,7.5779
2020-04,-3.1085,21.2186
2020-05,-7.1709,26.5774
2020-06,-12.6822,28.3766
2020-07,-13.9408,35.3325
2020-08,-7.0358,44.0777
2020-09,-5.0984,37.914
2020-10,7.686,33.7633
2020-11,28.0721,47.7098
2020-12,38.6779,52.3667
2021-01,34.1438,49.9654
2021-02,60.356,53.2453
2021-03,68.2465,60.4049
2021-04,80.5269,67.83
2021-05,88.525,67.8968
2021-06,84.5298,70.6358
2021-07,71.0297,73.7106
2021-08,82.6851,77.7187
2021-09,81.4529,68.3779
2021-10,102.9832,79.119
2021-11,90.5864,76.6949
2021-12,105.7504,83.6042
2022-01,113.0404,72.9303
2022-02,104.153,66.8181
2022-03,102.5619,72.1992
2022-04,58.3328,56.2223
2022-05,67.0001,55.8933
2022-06,49.7674,42.4002
2022-07,62.9652,54.8512
2022-08,67.158,47.8158
2022-09,68.464,33.7039
2022-10,85.8068,44.0824
2022-11,91.929,51.4429
2022-12,92.5151,42.1877
2023-01,78.0084,50.5828
2023-02,78.8033,46.2373
2023-03,19.6358,52.2586
2023-04,19.0938,54.0684
2023-05,20.4796,54.1996
2023-06,29.3483,63.548
2023-07,50.4434,68.1942
2023-08,34.7244,64.7317
2023-09,24.6701,56.2636
2023-10,17.9331,52.2886
2023-11,39.2666,65.5989
2023-12,55.7267,72.448
2024-01,41.9009,74.4576
2024-02,50.7189,82.7177
2024-03,62.7092,89.0282
2024-04,65.6865,80.6052
2024-05,64.0917,88.8335
2024-06,64.3764,96.0415
2024-07,44.8818,97.3583
2024-08,45.9345,101.128
2024-09,44.8477,105.7758
2024-10,57.8404,102.865
2024-11,85.4314,113.7798
2024-12,65.1294,107.7813
2025-01,83.8777,112.3595
2025-02,78.4482,108.6721
2025-03,74.9474,96.0839
2025-04,81.2273,93.6359
2025-05,97.6808,104.9003
2025-06,103.2785,114.5225
2025-07,116.7663,118.4064
2025-08,113.397,121.8959
2025-09,111.6064,128.6764
2025-10,108.5931,133.0211
2025-11,105.5286,132.409
2025-12,120.4864,131.4906
2026-01,128.2961,133.7386
2026-02,110.9863,130.7823
2026-03,104.5007,126.4154
