Date,rate_LYV_5D,rate_VOO_20D
2016-01,-5.207,-3.28
2016-02,-5.1179,-1.8027
2016-03,-2.5973,4.5695
2016-04,-5.5122,3.6217
2016-05,7.4445,4.6859
2016-06,3.1971,4.2011
2016-07,19.8083,7.3141
2016-08,14.6311,6.5393
2016-09,16.1928,5.8417
2016-10,15.3638,3.4057
2016-11,14.2302,7.0013
2016-12,8.6942,8.6582
2017-01,16.214,9.9058
2017-02,14.2503,13.4199
2017-03,21.0029,12.5861
2017-04,26.7382,12.9516
2017-05,34.1866,13.7442
2017-06,33.6201,14.6714
2017-07,40.9955,16.2352
2017-08,48.9175,15.7466
2017-09,59.7176,17.3266
2017-10,57.831,19.2474
2017-11,61.1297,22.0133
2017-12,48.8334,22.6523
2018-01,55.4654,28.4864
2018-02,52.3757,22.6807
2018-03,41.741,18.8927
2018-04,31.3724,18.6249
2018-05,40.6835,20.8091
2018-06,58.6395,20.9812
2018-07,59.036,24.5763
2018-08,58.4764,27.7899
2018-09,71.8001,27.6747
2018-10,62.9555,18.1983
2018-11,71.5091,19.8597
2018-12,49.9647,8.8011
2019-01,61.4519,17.1215
2019-02,68.9735,20.4441
2019-03,87.6033,22.1999
2019-04,90.6224,26.5012
2019-05,75.4445,17.9266
2019-06,89.1366,25.7011
2019-07,103.4215,26.9004
2019-08,93.9857,24.2426
2019-09,83.155,26.142
2019-10,92.7091,28.3311
2019-11,89.0136,32.3256
2019-12,91.6065,35.5485
2020-01,80.9553,34.7719
2020-02,59.9153,23.2511
2020-03,18.7843,7.5779
2020-04,17.2123,21.2186
2020-05,28.2334,26.5774
2020-06,15.1238,28.3766
2020-07,21.1962,35.3325
2020-08,46.5776,44.0777
2020-09,38.2641,37.914
2020-10,24.6461,33.7633
2020-11,67.0674,47.7098
2020-12,85.6588,52.3667
2021-01,66.645,49.9654
2021-02,121.3152,53.2453
2021-03,108.935,60.4049
2021-04,100.4006,67.83
2021-05,118.8232,67.8968
2021-06,110.9285,70.6358
2021-07,88.4933,73.7106
2021-08,105.7062,77.7187
2021-09,114.6066,68.3779
2021-10,136.2503,79.119
2021-11,147.0222,76.6949
2021-12,174.9709,83.6042
2022-01,149.4111,72.9303
2022-02,172.8967,66.8181
2022-03,163.5218,72.1992
2022-04,133.0682,56.2223
2022-05,109.6758,55.8933
2022-06,80.9712,42.4002
2022-07,104.7809,54.8512
2022-08,95.6052,47.8158
2022-09,63.6479,33.7039
2022-10,70.5123,44.0824
2022-11,55.0823,51.4429
2022-12,48.0102,42.1877
2023-01,70.1468,50.5828
2023-02,51.5959,46.2373
2023-03,46.6919,52.2586
2023-04,41.5295,54.0684
2023-05,66.3296,54.1996
2023-06,88.6972,63.548
2023-07,80.8069,68.1942
2023-08,73.3395,64.7317
2023-09,69.5178,56.2636
2023-10,62.645,52.2886
2023-11,70.4735,65.5989
2023-12,88.626,72.448
2024-01,78.1927,74.4576
2024-02,93.6073,82.7177
2024-03,110.1069,89.0282
2024-04,75.7228,80.6052
2024-05,84.4664,88.8335
2024-06,83.6383,96.0415
2024-07,87.5902,97.3583
2024-08,89.6537,101.128
2024-09,111.6293,105.7758
2024-10,125.2677,102.865
2024-11,164.4623,113.7798
2024-12,146.3064,107.7813
2025-01,173.6668,112.3595
2025-02,169.6077,108.6721
2025-03,144.2007,96.0839
2025-04,146.3791,93.6359
2025-05,153.8584,104.9003
2025-06,178.427,114.5225
2025-07,170.3341,118.4064
2025-08,203.0522,121.8959
2025-09,195.7283,128.6764
2025-10,169.142,133.0211
2025-11,135.3742,132.409
2025-12,153.9266,131.4906
2026-01,157.8816,133.7386
2026-02,186.0138,130.7823
2026-03,183.9228,129.7769
