Date,rate_APD_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.6607,-1.8027
2016-03,9.8385,4.5695
2016-04,8.5045,3.6217
2016-05,4.4587,4.6859
2016-06,3.7345,4.2011
2016-07,8.5699,7.3141
2016-08,11.9667,6.5393
2016-09,6.8429,5.8417
2016-10,2.5143,3.4057
2016-11,10.7997,7.0013
2016-12,10.0889,8.6582
2017-01,6.2518,9.9058
2017-02,6.3916,13.4199
2017-03,2.6565,12.5861
2017-04,6.4289,12.9516
2017-05,8.668,13.7442
2017-06,8.1089,14.6714
2017-07,7.0018,16.2352
2017-08,8.8132,15.7466
2017-09,12.7296,17.3266
2017-10,20.345,19.2474
2017-11,22.1388,22.0133
2017-12,24.1364,22.6523
2018-01,27.0707,28.4864
2018-02,20.4099,22.6807
2018-03,20.7938,18.8927
2018-04,23.3018,18.6249
2018-05,21.8326,20.8091
2018-06,18.4637,20.9812
2018-07,25.0853,24.5763
2018-08,25.9445,27.7899
2018-09,28.2094,27.6747
2018-10,17.6704,18.1983
2018-11,22.0814,19.8597
2018-12,21.6788,8.8011
2019-01,25.1928,17.1215
2019-02,37.1869,20.4441
2019-03,46.2117,22.1999
2019-04,56.2745,26.5012
2019-05,53.2935,17.9266
2019-06,71.5944,25.7011
2019-07,71.2984,26.9004
2019-08,67.9542,24.2426
2019-09,64.3106,26.142
2019-10,56.6816,28.3311
2019-11,72.2593,32.3256
2019-12,70.6241,35.5485
2020-01,72.6876,34.7719
2020-02,57.5582,23.2511
2020-03,43.1478,7.5779
2020-04,60.935,21.2186
2020-05,71.1867,26.5774
2020-06,70.6685,28.3766
2020-07,100.9767,35.3325
2020-08,103.0745,44.0777
2020-09,105.9651,37.914
2020-10,89.3662,33.7633
2020-11,90.5019,47.7098
2020-12,85.2213,52.3667
2021-01,82.1567,49.9654
2021-02,73.2769,53.2453
2021-03,90.3545,60.4049
2021-04,93.6942,67.83
2021-05,99.6833,67.8968
2021-06,91.2319,70.6358
2021-07,92.0662,73.7106
2021-08,76.629,77.7187
2021-09,67.7756,68.3779
2021-10,95.2003,79.119
2021-11,85.8877,76.6949
2021-12,96.4638,83.6042
2022-01,82.8009,72.9303
2022-02,52.1872,66.8181
2022-03,61.2694,72.1992
2022-04,50.3205,56.2223
2022-05,57.3918,55.8933
2022-06,54.0878,42.4002
2022-07,58.3166,54.8512
2022-08,60.2669,47.8158
2022-09,48.1163,33.7039
2022-10,60.84,44.0824
2022-11,98.2515,51.4429
2022-12,97.9255,42.1877
2023-01,106.6791,50.5828
2023-02,83.3309,46.2373
2023-03,84.2628,52.2586
2023-04,90.1089,54.0684
2023-05,72.9004,54.1996
2023-06,92.6062,63.548
2023-07,97.5457,68.1942
2023-08,90.1824,64.7317
2023-09,83.7058,56.2636
2023-10,83.2979,52.2886
2023-11,74.7446,65.5989
2023-12,79.4138,72.448
2024-01,67.8407,74.4576
2024-02,52.9808,82.7177
2024-03,62.397,89.0282
2024-04,57.7866,80.6052
2024-05,77.3798,88.8335
2024-06,70.8967,96.0415
2024-07,75.2966,97.3583
2024-08,84.3902,101.128
2024-09,96.0,105.7758
2024-10,104.715,102.865
2024-11,119.3324,113.7798
2024-12,89.3569,107.7813
2025-01,119.0589,112.3595
2025-02,105.5714,108.6721
2025-03,90.8875,96.0839
2025-04,75.8061,93.6359
2025-05,80.1762,104.9003
2025-06,81.4982,114.5225
2025-07,85.6557,118.4064
2025-08,88.929,121.8959
2025-09,74.4938,128.6764
2025-10,55.7198,133.0211
2025-11,67.0564,132.409
2025-12,57.5658,131.4906
2026-01,76.6961,133.7386
2026-02,78.1091,130.7823
2026-03,75.7827,127.7382
