Date,rate_ATO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.8379,-1.8027
2016-03,11.9022,4.5695
2016-04,6.3504,3.6217
2016-05,6.1888,4.6859
2016-06,17.2232,4.2011
2016-07,12.767,7.3141
2016-08,3.3637,6.5393
2016-09,4.1291,5.8417
2016-10,3.6045,3.4057
2016-11,0.2908,7.0013
2016-12,4.6608,8.6582
2017-01,7.1445,9.9058
2017-02,10.3799,13.4199
2017-03,10.6345,12.5861
2017-04,12.7863,12.9516
2017-05,15.8277,13.7442
2017-06,14.3737,14.6714
2017-07,18.8304,16.2352
2017-08,20.1991,15.7466
2017-09,13.5491,17.3266
2017-10,17.5078,19.2474
2017-11,25.4424,22.0133
2017-12,15.7703,22.6523
2018-01,11.1451,28.4864
2018-02,9.4721,22.6807
2018-03,14.2117,18.8927
2018-04,17.2722,18.6249
2018-05,21.7426,20.8091
2018-06,22.3445,20.9812
2018-07,23.9509,24.5763
2018-08,25.6602,27.7899
2018-09,27.1512,27.6747
2018-10,25.2744,18.1983
2018-11,30.1138,19.8597
2018-12,25.2925,8.8011
2019-01,31.1912,17.1215
2019-02,34.1112,20.4441
2019-03,38.7245,22.1999
2019-04,36.9887,26.5012
2019-05,38.1643,17.9266
2019-06,42.311,25.7011
2019-07,45.9871,26.9004
2019-08,48.5914,24.2426
2019-09,52.3978,26.142
2019-10,49.4067,28.3311
2019-11,43.3723,32.3256
2019-12,48.9795,35.5485
2020-01,54.8064,34.7719
2020-02,37.894,23.2511
2020-03,31.8204,7.5779
2020-04,34.9255,21.2186
2020-05,38.3917,26.5774
2020-06,33.3915,28.3766
2020-07,41.2953,35.3325
2020-08,34.6681,44.0777
2020-09,28.4771,37.914
2020-10,22.7503,33.7633
2020-11,30.4845,47.7098
2020-12,29.3188,52.3667
2021-01,20.1736,49.9654
2021-02,16.4718,53.2453
2021-03,35.6827,60.4049
2021-04,41.6078,67.83
2021-05,37.5105,67.8968
2021-06,32.7094,70.6358
2021-07,35.6136,73.7106
2021-08,36.1782,77.7187
2021-09,22.6965,68.3779
2021-10,27.7942,79.119
2021-11,27.7201,76.6949
2021-12,47.7236,83.6042
2022-01,50.5065,72.9303
2022-02,54.4002,66.8181
2022-03,67.1978,72.1992
2022-04,57.8208,56.2223
2022-05,63.9164,55.8933
2022-06,57.1904,42.4002
2022-07,69.3829,54.8512
2022-08,60.2419,47.8158
2022-09,43.2462,33.7039
2022-10,49.2988,44.0824
2022-11,70.8303,51.4429
2022-12,58.5924,42.1877
2023-01,65.5997,50.5828
2023-02,59.2312,46.2373
2023-03,57.9617,52.2586
2023-04,59.793,54.0684
2023-05,63.7952,54.1996
2023-06,64.7038,63.548
2023-07,71.5521,68.1942
2023-08,65.8169,64.7317
2023-09,50.869,56.2636
2023-10,52.7811,52.2886
2023-11,64.3151,65.5989
2023-12,66.6425,72.448
2024-01,63.1508,74.4576
2024-02,64.4643,82.7177
2024-03,72.4558,89.0282
2024-04,70.3397,80.6052
2024-05,71.4191,88.8335
2024-06,71.7885,96.0415
2024-07,87.5493,97.3583
2024-08,92.0365,101.128
2024-09,102.8026,105.7758
2024-10,101.9328,102.865
2024-11,120.3833,113.7798
2024-12,101.8171,107.7813
2025-01,105.5528,112.3595
2025-02,119.6416,108.6721
2025-03,122.0787,96.0839
2025-04,129.6292,93.6359
2025-05,121.2646,104.9003
2025-06,119.3886,114.5225
2025-07,120.9152,118.4064
2025-08,135.4905,121.8959
2025-09,140.8427,128.6764
2025-10,141.0166,133.0211
2025-11,147.7178,132.409
2025-12,134.3368,131.4906
2026-01,131.4333,133.7386
2026-02,158.6507,130.7823
2026-03,153.9315,126.4154
