Date,rate_GS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.5846,-1.8027
2016-03,-3.121,4.5695
2016-04,1.5094,3.6217
2016-05,-0.0124,4.6859
2016-06,-6.7931,4.2011
2016-07,0.6385,7.3141
2016-08,7.6676,6.5393
2016-09,1.7816,5.8417
2016-10,12.124,3.4057
2016-11,36.8082,7.0013
2016-12,45.592,8.6582
2017-01,36.0824,9.9058
2017-02,44.6848,13.4199
2017-03,31.1883,12.5861
2017-04,25.9458,12.9516
2017-05,17.8681,13.7442
2017-06,22.6222,14.6714
2017-07,23.291,16.2352
2017-08,21.6299,15.7466
2017-09,27.7851,17.3266
2017-10,29.3352,19.2474
2017-11,31.1376,22.0133
2017-12,33.5262,22.6523
2018-01,38.9597,28.4864
2018-02,35.2401,22.6807
2018-03,28.4085,18.8927
2018-04,20.5802,18.6249
2018-05,14.0682,20.8091
2018-06,10.9023,20.9812
2018-07,18.9799,24.5763
2018-08,18.9903,27.7899
2018-09,11.67,27.6747
2018-10,11.8722,18.1983
2018-11,-5.2369,19.8597
2018-12,-16.8465,8.8011
2019-01,-0.9947,17.1215
2019-02,-1.2031,20.4441
2019-03,-3.5511,22.1999
2019-04,3.443,26.5012
2019-05,-7.9168,17.9266
2019-06,3.4311,25.7011
2019-07,11.1315,26.9004
2019-08,3.456,24.2426
2019-09,5.0532,26.142
2019-10,8.0942,28.3311
2019-11,13.1584,32.3256
2019-12,17.879,35.5485
2020-01,21.5034,34.7719
2020-02,3.5574,23.2511
2020-03,-19.797,7.5779
2020-04,-4.2665,21.2186
2020-05,4.6328,26.5774
2020-06,5.0797,28.3766
2020-07,5.1675,35.3325
2020-08,9.3882,44.0777
2020-09,7.1421,37.914
2020-10,0.7044,33.7633
2020-11,22.7297,47.7098
2020-12,40.6012,52.3667
2021-01,43.8855,49.9654
2021-02,68.6339,53.2453
2021-03,72.0773,60.4049
2021-04,82.1422,67.83
2021-05,95.6907,67.8968
2021-06,98.0419,70.6358
2021-07,94.191,73.7106
2021-08,113.6582,77.7187
2021-09,93.8576,68.3779
2021-10,110.4708,79.119
2021-11,92.5887,76.6949
2021-12,93.1137,83.6042
2022-01,77.9033,72.9303
2022-02,70.1534,66.8181
2022-03,64.7226,72.1992
2022-04,51.6625,56.2223
2022-05,62.5198,55.8933
2022-06,47.0256,42.4002
2022-07,64.3276,54.8512
2022-08,64.4005,47.8158
2022-09,44.1302,33.7039
2022-10,68.7573,44.0824
2022-11,89.399,51.4429
2022-12,67.5225,42.1877
2023-01,77.5999,50.5828
2023-02,69.8646,46.2373
2023-03,58.415,52.2586
2023-04,65.6192,54.0684
2023-05,56.7161,54.1996
2023-06,55.4805,63.548
2023-07,70.8398,68.1942
2023-08,57.9386,64.7317
2023-09,55.331,56.2636
2023-10,45.2082,52.2886
2023-11,64.0762,65.5989
2023-12,84.4658,72.448
2024-01,82.7583,74.4576
2024-02,85.6023,82.7177
2024-03,98.3092,89.0282
2024-04,101.5958,80.6052
2024-05,115.8701,88.8335
2024-06,112.7604,96.0415
2024-07,138.1266,97.3583
2024-08,140.1686,101.128
2024-09,134.4976,105.7758
2024-10,143.9272,102.865
2024-11,185.0845,113.7798
2024-12,168.0553,107.7813
2025-01,198.0388,112.3595
2025-02,189.2606,108.6721
2025-03,155.056,96.0839
2025-04,154.2466,93.6359
2025-05,180.0268,104.9003
2025-06,229.7934,114.5225
2025-07,235.1242,118.4064
2025-08,248.5757,121.8959
2025-09,272.1124,128.6764
2025-10,266.58,133.0211
2025-11,281.2568,132.409
2025-12,305.0324,131.4906
2026-01,328.2907,133.7386
2026-02,291.161,130.7823
2026-03,274.64,126.4154
