Date,rate_CHTR_5D,rate_VOO_20D
2016-01,-1.7736,1.4254
2016-02,0.1129,0.6142
2016-03,11.8948,6.1243
2016-04,13.2609,4.6014
2016-05,14.0056,5.2878
2016-06,15.9388,4.687
2016-07,16.5041,7.7174
2016-08,24.2021,6.8637
2016-09,27.0279,5.9421
2016-10,15.8218,3.4868
2016-11,25.7865,6.843
2016-12,29.3455,8.2789
2017-01,39.1668,9.3935
2017-02,35.9287,12.821
2017-03,35.2306,12.0413
2017-04,40.2723,12.4367
2017-05,38.0968,13.2406
2017-06,32.5711,14.1802
2017-07,52.2633,15.6892
2017-08,52.2398,15.2834
2017-09,36.9707,16.8657
2017-10,24.3957,18.7799
2017-11,20.3518,21.509
2017-12,22.9431,22.1709
2018-01,37.0008,27.9258
2018-02,23.629,22.2578
2018-03,11.6676,18.4465
2018-04,-3.0506,18.162
2018-05,-6.6968,20.337
2018-06,5.0285,20.5057
2018-07,8.8056,24.0401
2018-08,10.6412,27.2093
2018-09,15.8172,27.1082
2018-10,4.8691,17.9327
2018-11,1.6916,19.5577
2018-12,-12.0136,8.5722
2019-01,2.588,16.8959
2019-02,6.7603,20.2219
2019-03,7.1227,21.9603
2019-04,14.3693,26.2654
2019-05,15.2738,20.4953
2019-06,16.5269,25.3574
2019-07,12.2222,26.514
2019-08,18.9893,24.0717
2019-09,20.868,25.9454
2019-10,33.0479,27.4086
2019-11,32.9122,31.384
2019-12,36.4402,34.5804
2020-01,44.651,33.8021
2020-02,36.9821,22.3336
2020-03,37.3351,15.1867
2020-04,54.8437,29.6272
2020-05,57.7909,28.2305
2020-06,48.9251,28.0341
2020-07,66.0667,33.4885
2020-08,75.007,42.106
2020-09,71.6542,38.2475
2020-10,67.3037,34.0563
2020-11,78.1672,42.9575
2020-12,78.2692,47.5016
2021-01,59.5957,45.1166
2021-02,58.1456,43.0879
2021-03,58.1375,49.8512
2021-04,71.5953,56.911
2021-05,73.0766,54.6413
2021-06,79.2999,57.2758
2021-07,80.7288,60.2291
2021-08,97.0568,64.0213
2021-09,74.4623,55.5224
2021-10,60.7981,65.5435
2021-11,53.1315,65.5034
2021-12,48.9476,68.4598
2022-01,34.9423,58.7763
2022-02,36.3643,53.2596
2022-03,21.2175,58.2953
2022-04,8.8213,52.2757
2022-05,21.9631,51.0659
2022-06,15.6139,38.0304
2022-07,6.3984,50.1558
2022-08,1.4471,43.3725
2022-09,-25.4183,29.6913
2022-10,-9.3559,39.7003
2022-11,-6.7663,46.8631
2022-12,-8.1566,40.5677
2023-01,5.6579,48.7988
2023-02,4.7855,45.5387
2023-03,5.871,49.6635
2023-04,9.088,48.4614
2023-05,-0.7899,48.1923
2023-06,10.6944,57.2072
2023-07,21.959,61.7125
2023-08,26.5119,59.5229
2023-09,24.4506,51.3631
2023-10,17.8552,47.5518
2023-11,12.9209,60.474
2023-12,9.5565,67.125
2024-01,4.3957,69.1001
2024-02,-17.2395,77.1309
2024-03,-17.9944,83.2841
2024-04,-27.5404,75.177
2024-05,-18.4307,83.1784
2024-06,-14.8796,90.182
2024-07,-3.3711,90.9416
2024-08,-9.6997,97.1965
2024-09,-16.1303,98.31
2024-10,-15.8014,95.5089
2024-11,0.6778,105.9957
2024-12,-3.5007,100.2436
2025-01,-5.8549,104.6582
2025-02,-0.8975,101.1287
2025-03,-2.9965,89.045
2025-04,2.888,88.6819
2025-05,4.0375,99.6712
2025-06,3.0538,109.046
2025-07,-32.1278,112.823
2025-08,-32.7884,112.1707
2025-09,-30.0872,118.6779
2025-10,-36.5782,122.8639
2025-11,-39.5439,122.3204
2025-12,-36.5799,121.4705
2026-01,-37.0815,123.6468
2026-02,-28.0404,120.852
