Date,rate_COHR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,15.5078,-1.8027
2016-03,9.1686,4.5695
2016-04,3.0916,3.6217
2016-05,0.072,4.6859
2016-06,-7.7555,4.2011
2016-07,0.176,7.3141
2016-08,5.3976,6.5393
2016-09,20.1735,5.8417
2016-10,34.9856,3.4057
2016-11,43.48,7.0013
2016-12,37.5633,8.6582
2017-01,65.7621,9.9058
2017-02,57.1274,13.4199
2017-03,55.1069,12.5861
2017-04,39.4826,12.9516
2017-05,23.9846,13.7442
2017-06,40.0088,14.6714
2017-07,53.1631,16.2352
2017-08,41.5636,15.7466
2017-09,60.0436,17.3266
2017-10,72.778,19.2474
2017-11,77.9584,22.0133
2017-12,73.2059,22.6523
2018-01,54.6943,28.4864
2018-02,37.6712,22.6807
2018-03,44.7376,18.8927
2018-04,33.3497,18.6249
2018-05,52.1637,20.8091
2018-06,48.5698,20.9812
2018-07,32.6353,24.5763
2018-08,66.9596,27.7899
2018-09,56.8158,27.6747
2018-10,22.1934,18.1983
2018-11,21.6947,19.8597
2018-12,5.0547,8.8011
2019-01,22.6668,17.1215
2019-02,36.6114,20.4441
2019-03,18.972,22.1999
2019-04,26.6441,26.5012
2019-05,-0.4408,17.9266
2019-06,15.8024,25.7011
2019-07,25.2782,26.9004
2019-08,17.8424,24.2426
2019-09,10.2546,26.142
2019-10,3.7557,28.3311
2019-11,-8.7499,32.3256
2019-12,5.4417,35.5485
2020-01,5.2681,34.7719
2020-02,-7.2004,23.2511
2020-03,-10.7785,7.5779
2020-04,8.196,21.2186
2020-05,49.2847,26.5774
2020-06,47.415,28.3766
2020-07,57.5707,35.3325
2020-08,37.3606,44.0777
2020-09,24.6656,37.914
2020-10,39.2176,33.7633
2020-11,106.0703,47.7098
2020-12,129.3453,52.3667
2021-01,151.4618,49.9654
2021-02,149.6374,53.2453
2021-03,100.541,60.4049
2021-04,95.3291,67.83
2021-05,94.5259,67.8968
2021-06,108.0361,70.6358
2021-07,98.5234,73.7106
2021-08,77.81,77.7187
2021-09,66.5432,68.3779
2021-10,68.7679,79.119
2021-11,73.3342,76.6949
2021-12,88.3332,83.6042
2022-01,73.6298,72.9303
2022-02,89.1144,66.8181
2022-03,96.1475,72.1992
2022-04,64.586,56.2223
2022-05,67.1951,55.8933
2022-06,35.6344,42.4002
2022-07,39.7133,54.8512
2022-08,24.9143,47.8158
2022-09,-7.9659,33.7039
2022-10,-11.1427,44.0824
2022-11,-2.9473,51.4429
2022-12,-7.082,42.1877
2023-01,14.9621,50.5828
2023-02,14.0432,46.2373
2023-03,0.5607,52.2586
2023-04,-9.8374,54.0684
2023-05,-2.2789,54.1996
2023-06,34.7634,63.548
2023-07,24.8501,68.1942
2023-08,-0.983,64.7317
2023-09,-14.0887,56.2636
2023-10,-21.9431,52.2886
2023-11,-2.714,65.5989
2023-12,15.0734,72.448
2024-01,25.4928,74.4576
2024-02,56.6167,82.7177
2024-03,58.9673,89.0282
2024-04,42.7482,80.6052
2024-05,48.6554,88.8335
2024-06,88.1428,96.0415
2024-07,80.1042,97.3583
2024-08,100.6778,101.128
2024-09,127.7767,105.7758
2024-10,135.5639,102.865
2024-11,153.8511,113.7798
2024-12,138.7509,107.7813
2025-01,126.8546,112.3595
2025-02,87.5626,108.6721
2025-03,61.3335,96.0839
2025-04,59.2696,93.6359
2025-05,86.5653,104.9003
2025-06,119.1485,114.5225
2025-07,163.0726,118.4064
2025-08,120.0646,121.8959
2025-09,160.7775,128.6764
2025-10,217.7024,133.0211
2025-11,293.1487,132.409
2025-12,338.9967,131.4906
2026-01,401.4095,133.7386
2026-02,507.8284,130.7823
2026-03,455.4036,117.6098
2026-04,640.3988,139.3863
2026-05,731.2667,150.8374
2026-06,800.8095,146.5232
2026-07,496.2623,145.3136
2026-08,549.2569,147.6545
