Date,rate_MTCH_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,-12.6461,0.6142
2016-03,-8.5943,6.1243
2016-04,-4.751,4.6014
2016-05,15.4132,5.2878
2016-06,17.9038,4.687
2016-07,17.7925,7.7174
2016-08,18.1802,6.8637
2016-09,27.8534,5.9421
2016-10,26.4331,3.4868
2016-11,23.5273,6.843
2016-12,15.5065,8.2789
2017-01,15.723,9.3935
2017-02,6.4216,12.821
2017-03,6.9258,12.0413
2017-04,21.4838,12.4367
2017-05,25.5216,13.2406
2017-06,11.1783,14.1802
2017-07,16.1206,15.6892
2017-08,37.2242,15.2834
2017-09,44.3181,16.8657
2017-10,63.6643,18.7799
2017-11,76.8739,21.509
2017-12,84.7835,22.1709
2018-01,102.0779,27.9258
2018-02,109.3718,22.2578
2018-03,126.4281,18.4465
2018-04,133.8133,18.162
2018-05,100.649,20.337
2018-06,85.6309,20.5057
2018-07,70.405,24.0401
2018-08,132.8692,27.2093
2018-09,146.2334,27.1082
2018-10,111.9619,17.9327
2018-11,59.7333,19.5577
2018-12,74.5228,8.5722
2019-01,115.7474,16.8959
2019-02,120.1239,20.2219
2019-03,121.8953,21.9603
2019-04,133.439,26.2654
2019-05,163.0268,20.4953
2019-06,155.0786,25.3574
2019-07,169.1227,26.514
2019-08,166.7654,24.0717
2019-09,133.0034,25.9454
2019-10,127.4119,27.4086
2019-11,116.9716,31.384
2019-12,149.9329,34.5804
2020-01,135.1274,33.8021
2020-02,93.1783,22.3336
2020-03,84.5848,15.1867
2020-04,109.4407,29.6272
2020-05,117.5673,28.2305
2020-06,142.8237,28.0341
2020-07,129.6746,33.4885
2020-08,152.5176,42.106
2020-09,150.8523,38.2475
2020-10,161.9437,34.0563
2020-11,170.0935,42.9575
2020-12,191.0286,47.5016
2021-01,174.8486,45.1166
2021-02,197.934,43.0879
2021-03,167.0898,49.8512
2021-04,191.5235,56.911
2021-05,168.3938,54.6413
2021-06,198.9769,57.2758
2021-07,192.3759,60.2291
2021-08,150.0643,64.0213
2021-09,164.8035,55.5224
2021-10,148.5854,65.5435
2021-11,112.431,65.5034
2021-12,114.486,68.4598
2022-01,81.4414,58.7763
2022-02,72.1524,53.2596
2022-03,67.2179,58.2953
2022-04,45.8297,52.2757
2022-05,34.335,51.0659
2022-06,17.0199,38.0304
2022-07,14.6993,50.1558
2022-08,-11.7029,43.3725
2022-09,-25.3171,29.6913
2022-10,-32.2152,39.7003
2022-11,-24.8479,46.8631
2022-12,-32.1245,40.5677
2023-01,-10.9961,48.7988
2023-02,-23.6517,45.5387
2023-03,-27.611,49.6635
2023-04,-35.0357,48.4614
2023-05,-37.111,48.1923
2023-06,-23.3531,57.2072
2023-07,-19.9746,61.7125
2023-08,-19.3728,59.5229
2023-09,-32.4217,51.3631
2023-10,-39.9699,47.5518
2023-11,-43.2624,60.474
2023-12,-35.572,67.125
2024-01,-31.8703,69.1001
2024-02,-38.2044,77.1309
2024-03,-37.3828,83.2841
2024-04,-43.9396,75.177
2024-05,-43.8928,83.1784
2024-06,-43.9254,90.182
2024-07,-35.5216,90.9416
2024-08,-38.8473,97.1965
2024-09,-37.7315,98.31
2024-10,-40.8988,95.5089
2024-11,-43.9892,105.9957
2024-12,-43.6341,100.2436
2025-01,-37.6925,104.6582
2025-02,-44.3459,101.1287
2025-03,-44.8669,89.045
2025-04,-47.305,88.6819
2025-05,-46.4118,99.6712
2025-06,-45.8207,109.046
2025-07,-39.3721,112.823
2025-08,-38.1292,112.1707
2025-09,-42.376,118.6779
2025-10,-45.9222,122.8639
2025-11,-43.9035,122.3204
2025-12,-45.278,121.4705
2026-01,-46.5564,123.6468
2026-02,-45.4002,120.852
