Date,rate_SPCE_5D,rate_VOO_20D
2017-09,0.0,0.0
2017-10,1.2679,1.9208
2017-11,-1.9774,4.6867
2017-12,-0.1327,5.3258
2018-01,-0.3982,11.1598
2018-02,-0.4484,5.3541
2018-03,-0.5958,1.5661
2018-04,-0.2313,1.2983
2018-05,-0.3699,3.4825
2018-06,-0.287,3.6546
2018-07,-0.7536,7.2497
2018-08,-0.979,10.4634
2018-09,-1.4959,10.3482
2018-10,-1.0033,0.8718
2018-11,-0.9243,2.5331
2018-12,-0.3739,-8.5254
2019-01,0.1411,-0.205
2019-02,0.7965,3.1175
2019-03,1.4514,4.8733
2019-04,1.7738,9.1747
2019-05,2.7588,0.6001
2019-06,3.5737,8.3745
2019-07,3.7743,9.5739
2019-08,2.4402,6.9161
2019-09,5.7857,8.8155
2019-10,-7.1355,11.0046
2019-11,-28.237,14.999
2019-12,15.7707,18.222
2020-01,70.8403,17.4453
2020-02,141.4882,5.9245
2020-03,42.5248,-9.7487
2020-04,68.7226,3.892
2020-05,61.1555,9.2508
2020-06,52.7655,11.0501
2020-07,107.4077,18.006
2020-08,63.2211,26.7512
2020-09,73.5253,20.5875
2020-10,55.3415,16.4368
2020-11,134.9824,30.3832
2020-12,106.6094,35.0401
2021-01,280.5228,32.6388
2021-02,213.8849,35.9188
2021-03,154.2268,43.0783
2021-04,81.328,50.5035
2021-05,152.9676,50.5702
2021-06,267.2627,53.3092
2021-07,136.3408,56.3841
2021-08,111.1796,60.3922
2021-09,95.0472,51.0513
2021-10,43.4836,61.7924
2021-11,21.7224,59.3683
2021-12,1.6278,66.2776
2022-01,-30.1083,55.6037
2022-02,-25.9851,49.4915
2022-03,-23.9184,54.8727
2022-04,-41.9484,38.8958
2022-05,-44.9687,38.5667
2022-06,-51.9874,25.0736
2022-07,-39.7208,37.5246
2022-08,-51.5448,30.4892
2022-09,-60.6671,16.3773
2022-10,-60.4553,26.7558
2022-11,-55.4522,34.1163
2022-12,-68.9057,24.8612
2023-01,-49.078,33.2563
2023-02,-46.3086,28.9107
2023-03,-61.3585,34.9321
2023-04,-64.448,36.7419
2023-05,-65.2859,36.8731
2023-06,-60.1652,46.2215
2023-07,-55.1378,50.8676
2023-08,-73.05,47.4052
2023-09,-80.0321,38.937
2023-10,-82.6784,34.9621
2023-11,-72.3051,48.2724
2023-12,-68.6068,55.1214
2024-01,-76.5218,57.131
2024-02,-76.0946,65.3911
2024-03,-78.7995,71.7016
2024-04,-86.8905,63.2786
2024-05,-85.9745,71.5069
2024-06,-92.6064,78.7149
2024-07,-92.7455,80.0318
2024-08,-92.0062,83.8015
2024-09,-91.7167,88.4492
2024-10,-89.8804,85.5385
2024-11,-87.6252,96.4533
2024-12,-89.2147,90.4547
2025-01,-90.4411,95.033
2025-02,-91.5506,91.3455
2025-03,-92.4435,78.7573
2025-04,-91.7534,76.3093
2025-05,-89.7455,87.5738
2025-06,-90.4546,97.196
2025-07,-85.4669,101.0798
2025-08,-87.3346,104.5693
2025-09,-83.1831,111.3498
2025-10,-81.9647,115.6946
2025-11,-81.4707,115.0824
2025-12,-83.9232,114.164
2026-01,-84.9795,116.412
2026-02,-85.8065,113.4558
2026-03,-85.208,105.6254
