Date,rate_FAST_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,11.3871,-0.6039
2016-03,15.1148,5.2168
2016-04,6.2327,3.9893
2016-05,3.0922,4.6886
2016-06,-1.2321,4.1237
2016-07,-5.0434,7.1795
2016-08,-3.5946,6.3603
2016-09,-6.1607,5.6281
2016-10,-11.9975,3.196
2016-11,8.4361,6.7601
2016-12,6.722,8.3626
2017-01,12.8533,10.2536
2017-02,12.6231,13.6522
2017-03,14.8297,12.7005
2017-04,-1.2425,12.9818
2017-05,-4.5134,13.693
2017-06,-3.5387,13.5288
2017-07,-4.7,15.0481
2017-08,-5.1267,14.5515
2017-09,1.6126,16.1037
2017-10,4.5879,17.9557
2017-11,16.4162,20.6805
2017-12,20.7757,21.3029
2018-01,21.3718,28.0338
2018-02,19.9695,22.1441
2018-03,18.9365,18.3021
2018-04,8.3233,18.0902
2018-05,15.0458,20.2208
2018-06,3.4993,20.3415
2018-07,23.127,23.8746
2018-08,25.5034,27.0072
2018-09,24.7724,27.7347
2018-10,10.6947,18.1437
2018-11,27.1512,19.7418
2018-12,11.436,8.5778
2019-01,29.7631,17.1263
2019-02,34.1477,20.3748
2019-03,36.0888,22.0514
2019-04,49.0121,26.2651
2019-05,28.1154,17.5943
2019-06,35.6635,25.308
2019-07,28.2414,26.4355
2019-08,26.9058,23.7232
2019-09,35.4004,26.1617
2019-10,49.0233,28.2707
2019-11,46.0088,32.1761
2019-12,50.7991,35.3247
2020-01,43.373,35.2749
2020-02,39.5911,23.5454
2020-03,26.6075,7.7105
2020-04,47.1194,21.425
2020-05,66.4778,26.7132
2020-06,71.4348,28.4357
2020-07,87.609,35.3124
2020-08,93.0044,43.9511
2020-09,76.3991,37.6938
2020-10,68.6894,33.4637
2020-11,91.3666,47.2943
2020-12,88.8436,51.8455
2021-01,76.3156,50.305
2021-02,78.9521,53.4604
2021-03,92.3621,59.4101
2021-04,99.3505,66.6882
2021-05,100.4581,66.6274
2021-06,94.8664,69.2184
2021-07,104.6107,72.1455
2021-08,106.8858,75.992
2021-09,89.59,66.6118
2021-10,109.1182,77.1553
2021-11,115.0081,74.6519
2021-12,130.8722,81.397
2022-01,102.5599,70.7122
2022-02,83.5025,64.6001
2022-03,110.3815,69.8532
2022-04,95.4829,54.0273
2022-05,87.9792,53.6333
2022-06,74.0352,40.2902
2022-07,79.0693,52.5094
2022-08,74.3974,45.531
2022-09,58.5911,31.5965
2022-10,66.6748,41.7445
2022-11,76.6679,48.9584
2022-12,61.3778,39.838
2023-01,72.3912,48.5632
2023-02,76.0125,44.2258
2023-03,83.1242,48.9578
2023-04,82.9253,50.6836
2023-05,81.8916,50.7741
2023-06,98.1486,59.884
2023-07,96.8718,64.3798
2023-08,92.2782,60.953
2023-09,81.4321,52.6248
2023-10,93.8513,48.7132
2023-11,98.1239,61.6976
2023-12,114.0017,68.3392
2024-01,126.6477,71.0275
2024-02,140.8947,79.0476
2024-03,152.8635,83.99
2024-04,122.5004,75.7344
2024-05,114.7694,83.6813
2024-06,103.395,89.2836
2024-07,129.0214,90.5002
2024-08,119.8137,94.0822
2024-09,129.9212,98.2932
2024-10,151.4474,95.412
2024-11,167.0672,105.8418
2024-12,128.3736,99.9875
2025-01,133.9625,105.351
2025-02,140.4887,101.7087
2025-03,144.8428,89.4719
2025-04,155.518,87.0451
2025-05,159.353,97.8575
2025-06,161.9268,107.0685
2025-07,187.3077,110.7404
2025-08,207.3962,114.0337
2025-09,203.5587,121.6081
2025-10,154.482,125.7153
2025-11,148.4216,125.0226
2025-12,145.3975,124.0393
2026-01,166.6159,127.2713
2026-02,80.2474,125.3185
