Date,rate_HPQ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-14.1376,-3.7423
2016-03,1.8247,0.3764
2016-04,14.6434,5.1946
2016-05,11.0472,3.5695
2016-06,19.194,4.8356
2016-07,10.9216,4.3651
2016-08,21.8012,7.2005
2016-09,21.7504,6.5176
2016-10,28.8191,5.8316
2016-11,16.3581,2.6321
2016-12,20.545,6.5262
2017-01,18.1382,8.6002
2017-02,17.9142,9.8701
2017-03,37.0898,14.9815
2017-04,37.6129,12.5254
2017-05,43.1977,13.1716
2017-06,40.7994,14.581
2017-07,28.7535,14.626
2017-08,39.3169,16.4591
2017-09,38.9247,15.9061
2017-10,42.2559,17.2911
2017-11,50.9459,19.4181
2017-12,48.3109,21.7575
2018-01,44.5104,22.6249
2018-02,58.2815,28.3844
2018-03,56.3709,21.0506
2018-04,45.7494,18.8566
2018-05,43.4536,18.843
2018-06,47.5466,22.0592
2018-07,46.9172,20.962
2018-08,47.4503,24.4135
2018-09,56.3677,27.7869
2018-10,61.4891,28.1445
2018-11,52.7533,19.3954
2018-12,42.0414,19.8359
2019-01,26.2937,8.7501
2019-02,36.6275,17.203
2019-03,19.4499,21.2677
2019-04,22.6506,23.6016
2019-05,21.3502,25.5902
2019-06,13.2489,17.8911
2019-07,27.8636,26.7327
2019-08,27.2123,25.8061
2019-09,10.3078,24.2046
2019-10,12.8449,24.595
2019-11,7.658,29.5299
2019-12,21.3981,32.3145
2020-01,24.8414,35.5516
2020-02,28.99,34.7733
2020-03,25.2161,23.2161
2020-04,-9.9187,2.6957
2020-05,-10.5217,17.923
2020-06,-7.7646,27.1545
2020-07,4.8693,29.2791
2020-08,8.3527,35.3897
2020-09,18.5418,45.4969
2020-10,17.6992,38.8421
2020-11,10.9656,33.8054
2020-12,38.0408,49.4413
2021-01,52.1649,52.4925
2021-02,50.63,52.5474
2021-03,81.0226,57.1165
2021-04,95.922,62.2404
2021-05,106.9168,68.0147
2021-06,79.6944,67.9506
2021-07,82.5739,71.7835
2021-08,72.496,73.9065
2021-09,73.5066,78.108
2021-10,66.7981,70.559
2021-11,84.6292,79.7147
2021-12,114.0182,74.8714
2022-01,120.9399,83.8439
2022-02,118.0579,74.2485
2022-03,96.8722,64.4857
2022-04,105.7974,72.8765
2022-05,110.3165,56.3809
2022-06,130.0388,54.7432
2022-07,81.8358,43.9638
2022-08,91.0085,54.5402
2022-09,58.8544,48.4061
2022-10,41.2867,33.808
2022-11,57.3331,43.6413
2022-12,67.9463,51.6237
2023-01,51.8723,42.3283
2023-02,68.1473,52.4008
2023-03,61.695,45.8599
2023-04,65.185,52.4428
2023-05,67.8594,54.1535
2023-06,64.0841,55.8684
2023-07,71.9948,63.7729
2023-08,83.6886,67.9151
2023-09,68.4663,65.3142
2023-10,43.3898,56.4671
2023-11,47.2635,54.158
2023-12,63.5032,66.8181
2024-01,67.621,72.7134
2024-02,60.5419,77.0248
2024-03,62.5203,84.7703
2024-04,68.7464,89.0895
2024-05,53.5078,80.3005
2024-06,101.213,89.1407
2024-07,93.341,96.817
2024-08,93.5328,94.9948
2024-09,98.1645,101.4737
2024-10,90.9923,104.2286
2024-11,98.4456,104.0979
2024-12,92.8968,114.1559
2025-01,78.4258,108.1307
2025-02,76.9958,112.719
2025-03,67.4531,109.0154
2025-04,51.7599,97.097
2025-05,38.2291,95.2965
2025-06,35.2288,105.2137
2025-07,39.7359,114.7559
2025-08,33.6484,115.142
2025-09,55.6655,122.2543
2025-10,46.7552,129.8729
2025-11,51.6736,133.4127
2025-12,33.3108,131.7276
2026-01,23.1599,131.8756
2026-02,-21.4581,120.852
