Date,rate_D_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.9127,-3.7423
2016-03,1.5724,0.3764
2016-04,9.8818,5.1946
2016-05,1.8019,3.5695
2016-06,2.7129,4.8356
2016-07,11.0584,4.3651
2016-08,9.0707,7.2005
2016-09,4.0013,6.5176
2016-10,3.8384,5.8316
2016-11,3.7092,2.6321
2016-12,1.9609,6.5262
2017-01,7.161,8.6002
2017-02,0.005,9.8701
2017-03,7.172,14.9815
2017-04,8.5332,12.5254
2017-05,7.1165,13.1716
2017-06,13.9375,14.581
2017-07,6.5126,14.626
2017-08,7.0928,16.4591
2017-09,9.1979,15.9061
2017-10,6.8103,17.2911
2017-11,11.4244,19.4181
2017-12,16.2291,21.7575
2018-01,12.0772,22.6249
2018-02,4.4867,28.3844
2018-03,0.579,21.0506
2018-04,-6.2851,18.8566
2018-05,-7.6802,18.843
2018-06,-10.3176,22.0592
2018-07,-3.1299,20.962
2018-08,0.0114,24.4135
2018-09,0.6479,27.7869
2018-10,0.8599,28.1445
2018-11,1.1613,19.3954
2018-12,7.1212,19.8359
2019-01,3.7561,8.7501
2019-02,2.9399,17.203
2019-03,9.7269,21.2677
2019-04,12.2548,23.6016
2019-05,12.6028,25.5902
2019-06,9.4398,17.8911
2019-07,13.2628,26.7327
2019-08,11.2795,25.8061
2019-09,13.5364,24.2046
2019-10,19.8089,24.595
2019-11,22.3878,29.5299
2019-12,21.6751,32.3145
2020-01,22.1375,35.5516
2020-02,25.9872,34.7733
2020-03,15.7648,23.2161
2020-04,3.2691,2.6957
2020-05,11.587,17.923
2020-06,26.508,27.1545
2020-07,22.2006,29.2791
2020-08,19.8416,35.3897
2020-09,14.7521,45.4969
2020-10,17.0073,38.8421
2020-11,19.3098,33.8054
2020-12,18.7143,49.4413
2021-01,12.0051,52.4925
2021-02,8.059,52.5474
2021-03,3.8438,57.1165
2021-04,13.3089,62.2404
2021-05,19.3419,68.0147
2021-06,12.5618,67.9506
2021-07,11.1652,71.7835
2021-08,12.1344,73.9065
2021-09,18.1002,78.108
2021-10,8.7951,70.559
2021-11,13.3571,79.7147
2021-12,6.3244,74.8714
2022-01,18.7404,83.8439
2022-02,20.6984,74.2485
2022-03,19.3039,64.4857
2022-04,30.6179,72.8765
2022-05,23.1388,56.3809
2022-06,25.9515,54.7432
2022-07,22.9134,43.9638
2022-08,24.5833,54.5402
2022-09,25.0095,48.4061
2022-10,4.6371,33.808
2022-11,5.5024,43.6413
2022-12,-7.6945,51.6237
2023-01,-6.1512,42.3283
2023-02,-3.3537,52.4008
2023-03,-16.1253,45.8599
2023-04,-13.1187,52.4428
2023-05,-11.0883,54.1535
2023-06,-22.5494,55.8684
2023-07,-17.9104,63.7729
2023-08,-16.9044,67.9151
2023-09,-22.6961,65.3142
2023-10,-27.6531,56.4671
2023-11,-34.5963,54.158
2023-12,-22.594,66.8181
2024-01,-21.8118,72.7134
2024-02,-22.1218,77.0248
2024-03,-23.9417,84.7703
2024-04,-16.2578,89.0895
2024-05,-12.6998,80.3005
2024-06,-5.5572,89.1407
2024-07,-14.6925,96.817
2024-08,-1.328,94.9948
2024-09,3.0697,101.4737
2024-10,8.5804,104.2286
2024-11,9.8945,104.0979
2024-12,13.0845,114.1559
2025-01,3.5567,108.1307
2025-02,6.8484,112.719
2025-03,11.3302,109.0154
2025-04,11.8297,97.097
2025-05,8.8822,95.2965
2025-06,13.7794,105.2137
2025-07,15.6219,114.7559
2025-08,21.014,115.142
2025-09,19.8119,122.2543
2025-10,25.6418,129.8729
2025-11,20.8683,133.4127
2025-12,25.0312,131.7276
2026-01,24.3988,131.8756
2026-02,31.191,120.852
