Date,rate_BRO_5D,rate_VOO_20D
2016-01,1.6671,1.4254
2016-02,7.1575,0.6142
2016-03,15.3831,6.1243
2016-04,9.5295,4.6014
2016-05,10.4721,5.2878
2016-06,7.2628,4.687
2016-07,4.1645,7.7174
2016-08,5.8217,6.8637
2016-09,5.7434,5.9421
2016-10,2.788,3.4868
2016-11,20.4993,6.843
2016-12,22.6386,8.2789
2017-01,14.4761,9.3935
2017-02,15.5989,12.821
2017-03,10.7753,12.0413
2017-04,13.1957,12.4367
2017-05,13.7871,13.2406
2017-06,12.0311,14.1802
2017-07,15.3208,15.6892
2017-08,15.478,15.2834
2017-09,22.9688,16.8657
2017-10,26.0893,18.7799
2017-11,28.436,21.509
2017-12,27.7281,22.1709
2018-01,29.0941,27.9258
2018-02,26.5892,22.2578
2018-03,21.5166,18.4465
2018-04,29.2926,18.162
2018-05,30.8781,20.337
2018-06,29.5734,20.5057
2018-07,35.6441,24.0401
2018-08,40.0801,27.2093
2018-09,34.6975,27.1082
2018-10,27.4603,17.9327
2018-11,30.4446,19.5577
2018-12,23.0763,8.5722
2019-01,20.6778,16.8959
2019-02,30.9129,20.2219
2019-03,29.6132,21.9603
2019-04,38.6263,26.2654
2019-05,36.2351,20.4953
2019-06,39.7887,25.3574
2019-07,48.89,26.514
2019-08,43.4857,24.0717
2019-09,34.916,25.9454
2019-10,40.1604,27.4086
2019-11,39.5285,31.384
2019-12,45.062,34.5804
2020-01,63.8798,33.8021
2020-02,69.8032,22.3336
2020-03,62.9774,15.1867
2020-04,59.8127,29.6272
2020-05,75.1239,28.2305
2020-06,75.7064,28.0341
2020-07,93.2649,33.4885
2020-08,93.6686,42.106
2020-09,87.5333,38.2475
2020-10,78.8041,34.0563
2020-11,85.8146,42.9575
2020-12,92.7057,47.5016
2021-01,70.8838,45.1166
2021-02,79.3599,43.0879
2021-03,75.574,49.8512
2021-04,102.8572,56.911
2021-05,97.2066,54.6413
2021-06,96.9298,57.2758
2021-07,100.1049,60.2291
2021-08,111.9587,64.0213
2021-09,99.9643,55.5224
2021-10,125.8427,65.5435
2021-11,129.0155,65.5034
2021-12,131.3699,68.4598
2022-01,111.9902,58.7763
2022-02,113.971,53.2596
2022-03,115.2793,58.2953
2022-04,103.7853,52.2757
2022-05,105.1578,51.0659
2022-06,100.2894,38.0304
2022-07,113.7445,50.1558
2022-08,105.9587,43.3725
2022-09,96.2936,29.6913
2022-10,83.0704,39.7003
2022-11,87.3496,46.8631
2022-12,79.0346,40.5677
2023-01,82.9438,48.7988
2023-02,73.337,45.5387
2023-03,76.4276,49.6635
2023-04,96.8655,48.4614
2023-05,97.5873,48.1923
2023-06,113.0942,57.2072
2023-07,116.8058,61.7125
2023-08,122.4555,59.5229
2023-09,108.4233,51.3631
2023-10,106.3897,47.5518
2023-11,120.9882,60.474
2023-12,109.0445,67.125
2024-01,126.7803,69.1001
2024-02,145.2134,77.1309
2024-03,153.3444,83.2841
2024-04,139.5385,75.177
2024-05,162.6352,83.1784
2024-06,160.7208,90.182
2024-07,188.17,90.9416
2024-08,191.5338,97.1965
2024-09,185.5392,98.31
2024-10,184.8603,95.5089
2024-11,195.5615,105.9957
2024-12,164.9871,100.2436
2025-01,170.2905,104.6582
2025-02,204.7871,101.1287
2025-03,205.8049,89.045
2025-04,161.206,88.6819
2025-05,165.5308,99.6712
2025-06,159.3296,109.046
2025-07,112.5952,112.823
2025-08,124.8742,112.1707
2025-09,116.5113,118.6779
2025-10,83.2451,122.8639
2025-11,84.5224,122.3204
2025-12,82.1412,121.4705
2026-01,64.1495,123.6468
2026-02,63.3339,120.852
