Date,rate_WDC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-18.641,-3.7423
2016-03,-15.0636,0.3764
2016-04,-8.125,5.1946
2016-05,-17.6632,3.5695
2016-06,0.0492,4.8356
2016-07,-1.3617,4.3651
2016-08,-2.0329,7.2005
2016-09,-1.2583,6.5176
2016-10,25.8719,5.8316
2016-11,20.6805,2.6321
2016-12,27.8605,6.5262
2017-01,39.467,8.6002
2017-02,58.9287,9.8701
2017-03,53.0706,14.9815
2017-04,58.5181,12.5254
2017-05,64.5542,13.1716
2017-06,67.8813,14.581
2017-07,59.6431,14.626
2017-08,51.3225,16.4591
2017-09,56.9816,15.9061
2017-10,48.2744,17.2911
2017-11,50.8763,19.4181
2017-12,32.2014,21.7575
2018-01,31.9603,22.6249
2018-02,44.0192,28.3844
2018-03,41.7053,21.0506
2018-04,48.99,18.8566
2018-05,27.3216,18.843
2018-06,36.0059,22.0592
2018-07,22.3064,20.962
2018-08,8.7351,24.4135
2018-09,-0.9252,27.7869
2018-10,-8.2967,28.1445
2018-11,-25.3928,19.3954
2018-12,-27.3742,19.8359
2019-01,-39.4211,8.7501
2019-02,-21.636,17.203
2019-03,-13.2433,21.2677
2019-04,-16.0252,23.6016
2019-05,-13.0784,25.5902
2019-06,-36.0826,17.8911
2019-07,-12.7238,26.7327
2019-08,-2.0956,25.8061
2019-09,1.0553,24.2046
2019-10,3.3583,24.595
2019-11,-4.2265,29.5299
2019-12,-10.3723,32.3145
2020-01,13.2972,35.5516
2020-02,17.5291,34.7733
2020-03,-0.6064,23.2161
2020-04,-30.8147,2.6957
2020-05,-26.0559,17.923
2020-06,-20.7863,27.1545
2020-07,-21.5672,29.2791
2020-08,-19.9699,35.3897
2020-09,-30.358,45.4969
2020-10,-31.7252,38.8421
2020-11,-28.5279,33.8054
2020-12,-9.8526,49.4413
2021-01,5.8233,52.4925
2021-02,9.9255,52.5474
2021-03,37.6288,57.1165
2021-04,35.4359,62.2404
2021-05,33.4821,68.0147
2021-06,42.2277,67.9506
2021-07,32.7969,71.7835
2021-08,21.2338,73.9065
2021-09,13.6756,78.108
2021-10,6.1328,70.559
2021-11,0.6385,79.7147
2021-12,7.2029,74.8714
2022-01,20.9994,83.8439
2022-02,-2.6876,74.2485
2022-03,-8.356,64.4857
2022-04,-10.2853,72.8765
2022-05,-1.4617,56.3809
2022-06,11.9456,54.7432
2022-07,-19.4762,43.9638
2022-08,-8.6279,54.5402
2022-09,-21.7999,48.4061
2022-10,-39.1728,33.808
2022-11,-32.7637,43.6413
2022-12,-32.1049,51.6237
2023-01,-39.8965,42.3283
2023-02,-16.8315,52.4008
2023-03,-26.6436,45.8599
2023-04,-27.208,52.4428
2023-05,-33.9053,54.1535
2023-06,-23.9427,55.8684
2023-07,-25.7146,63.7729
2023-08,-15.7215,67.9151
2023-09,-9.4648,65.3142
2023-10,-10.0149,56.4671
2023-11,-17.5897,54.158
2023-12,-4.2467,66.8181
2024-01,3.6756,72.7134
2024-02,13.5907,77.0248
2024-03,27.0888,84.7703
2024-04,39.7323,89.0895
2024-05,38.6653,80.3005
2024-06,47.6558,89.1407
2024-07,49.3185,96.817
2024-08,17.9525,94.9948
2024-09,27.6246,101.4737
2024-10,29.6324,104.2286
2024-11,27.6469,104.0979
2024-12,41.1357,114.1559
2025-01,14.9904,108.1307
2025-02,25.4454,112.719
2025-03,24.4526,109.0154
2025-04,3.8182,97.097
2025-05,11.5498,95.2965
2025-06,30.7185,105.2137
2025-07,61.8013,114.7559
2025-08,93.3688,115.142
2025-09,102.0968,122.2543
2025-10,227.3323,129.8729
2025-11,274.2939,133.4127
2025-12,304.9992,131.7276
2026-01,324.248,131.8756
2026-02,579.7673,131.1612
