Date,rate_FSLR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.6549,-1.8027
2016-03,0.2255,4.5695
2016-04,-17.7751,3.6217
2016-05,-23.6303,4.6859
2016-06,-21.705,4.2011
2016-07,-21.6171,7.3141
2016-08,-34.383,6.5393
2016-09,-27.6994,5.8417
2016-10,-23.0399,3.4057
2016-11,-40.8588,7.0013
2016-12,-33.7616,8.6582
2017-01,-33.0897,9.9058
2017-02,-19.8236,13.4199
2017-03,-38.7592,12.5861
2017-04,-30.595,12.9516
2017-05,-7.239,13.7442
2017-06,-3.4989,14.6714
2017-07,19.5154,16.2352
2017-08,12.8654,15.7466
2017-09,9.5878,17.3266
2017-10,30.3641,19.2474
2017-11,45.9486,22.0133
2017-12,56.7103,22.6523
2018-01,53.6422,28.4864
2018-02,41.8202,22.6807
2018-03,58.443,18.8927
2018-04,56.2015,18.6249
2018-05,47.2588,20.8091
2018-06,13.575,20.9812
2018-07,12.4718,24.5763
2018-08,11.4436,27.7899
2018-09,3.2997,27.6747
2018-10,-10.9076,18.1983
2018-11,-4.9086,19.8597
2018-12,-9.0287,8.8011
2019-01,8.6616,17.1215
2019-02,12.7458,20.4441
2019-03,12.9963,22.1999
2019-04,31.1021,26.5012
2019-05,22.982,17.9266
2019-06,38.5333,25.7011
2019-07,35.1306,26.9004
2019-08,29.2198,24.2426
2019-09,20.1706,26.142
2019-10,6.9675,28.3311
2019-11,13.8928,32.3256
2019-12,15.0822,35.5485
2020-01,1.7018,34.7719
2020-02,-6.1353,23.2511
2020-03,-25.9301,7.5779
2020-04,-8.8301,21.2186
2020-05,-3.1634,26.5774
2020-06,2.8143,28.3766
2020-07,23.6089,35.3325
2020-08,58.393,44.0777
2020-09,35.9999,37.914
2020-10,77.8847,33.7633
2020-11,89.4974,47.7098
2020-12,99.0932,52.3667
2021-01,97.9275,49.9654
2021-02,60.4816,53.2453
2021-03,71.7984,60.4049
2021-04,49.6612,67.83
2021-05,48.081,67.8968
2021-06,75.1772,70.6358
2021-07,65.4742,73.7106
2021-08,79.7172,77.7187
2021-09,81.3326,68.3779
2021-10,125.6571,79.119
2021-11,93.9617,76.6949
2021-12,62.1328,83.6042
2022-01,45.0445,72.9303
2022-02,38.7596,66.8181
2022-03,53.7394,72.1992
2022-04,33.4827,56.2223
2022-05,28.6446,55.8933
2022-06,23.7736,42.4002
2022-07,79.6585,54.8512
2022-08,129.7427,47.8158
2022-09,136.5757,33.7039
2022-10,158.5096,44.0824
2022-11,204.0629,51.4429
2022-12,161.9212,42.1877
2023-01,208.2421,50.5828
2023-02,191.2436,46.2373
2023-03,271.4384,52.2586
2023-04,209.2677,54.0684
2023-05,241.1617,54.1996
2023-06,216.9999,63.548
2023-07,243.2433,68.1942
2023-08,210.6219,64.7317
2023-09,163.5247,56.2636
2023-10,130.7943,52.2886
2023-11,154.0878,65.5989
2023-12,175.6519,72.448
2024-01,132.5676,74.4576
2024-02,143.1925,82.7177
2024-03,165.1251,89.0282
2024-04,175.1553,80.6052
2024-05,321.3306,88.8335
2024-06,246.9598,96.0415
2024-07,230.1104,97.3583
2024-08,245.1526,101.128
2024-09,276.0699,105.7758
2024-10,191.266,102.865
2024-11,196.5518,113.7798
2024-12,160.6986,107.7813
2025-01,146.4082,112.3595
2025-02,99.2638,108.6721
2025-03,84.1748,96.0839
2025-04,82.5322,93.6359
2025-05,128.3593,104.9003
2025-06,137.952,114.5225
2025-07,149.9036,118.4064
2025-08,177.6564,121.8959
2025-09,211.9605,128.6764
2025-10,275.3952,133.0211
2025-11,281.433,132.409
2025-12,262.8893,131.4906
2026-01,211.4308,133.7386
2026-02,170.839,130.7823
2026-03,173.6158,126.4154
