Date,rate_JBL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.4032,-0.6039
2016-03,-5.6996,5.2168
2016-04,-13.763,3.9893
2016-05,-2.2231,4.6886
2016-06,-5.3282,4.1237
2016-07,4.9175,7.1795
2016-08,8.4857,6.3603
2016-09,10.6271,5.6281
2016-10,7.2017,3.196
2016-11,5.6776,6.7601
2016-12,17.8962,8.3626
2017-01,19.4384,10.2536
2017-02,25.3285,13.6522
2017-03,39.8644,12.7005
2017-04,37.7027,12.9818
2017-05,39.4804,13.693
2017-06,33.6438,13.5288
2017-07,37.5903,15.0481
2017-08,39.3755,14.5515
2017-09,25.1192,16.1037
2017-10,22.6096,17.9557
2017-11,23.9854,20.6805
2017-12,11.8836,21.3029
2018-01,8.3897,28.0338
2018-02,14.9641,22.1441
2018-03,21.3563,18.3021
2018-04,11.682,18.0902
2018-05,18.2373,20.2208
2018-06,14.9429,20.3415
2018-07,16.5203,23.8746
2018-08,21.6625,27.0072
2018-09,11.4614,27.7347
2018-10,1.4681,18.1437
2018-11,2.2574,19.7418
2018-12,1.4052,8.5778
2019-01,9.0086,17.1263
2019-02,15.8767,20.3748
2019-03,8.037,22.0514
2019-04,22.2935,26.2651
2019-05,-0.9596,17.5943
2019-06,27.2324,25.308
2019-07,23.6117,26.4355
2019-08,14.8252,23.7232
2019-09,42.5609,26.1617
2019-10,45.7201,28.2707
2019-11,52.5247,32.1761
2019-12,61.0018,35.3247
2020-01,51.4972,35.2749
2020-02,23.8376,23.5454
2020-03,-5.5161,7.7105
2020-04,9.6342,21.425
2020-05,15.2648,26.7132
2020-06,23.1548,28.4357
2020-07,33.3721,35.3124
2020-08,29.9732,43.9511
2020-09,29.778,37.6938
2020-10,24.9535,33.4637
2020-11,43.5086,47.2943
2020-12,58.7511,51.8455
2021-01,54.4226,50.305
2021-02,60.0441,53.4604
2021-03,91.9712,59.4101
2021-04,91.2721,66.6882
2021-05,104.2614,66.6274
2021-06,108.475,69.2184
2021-07,111.7087,72.1455
2021-08,117.7756,75.992
2021-09,103.9729,66.6118
2021-10,107.7963,77.1553
2021-11,100.9023,74.6519
2021-12,139.8833,81.397
2022-01,107.818,70.7122
2022-02,93.8482,64.6001
2022-03,105.5817,69.8532
2022-04,90.8253,54.0273
2022-05,101.9486,53.6333
2022-06,66.9249,40.2902
2022-07,92.3353,52.5094
2022-08,94.1562,45.531
2022-09,84.6388,31.5965
2022-10,104.2679,41.7445
2022-11,127.9171,48.9584
2022-12,113.739,39.838
2023-01,146.4242,48.5632
2023-02,158.1994,44.2258
2023-03,171.9979,48.9578
2023-04,139.2209,50.6836
2023-05,172.0223,50.7741
2023-06,225.4121,59.884
2023-07,230.8709,64.3798
2023-08,239.251,60.953
2023-09,273.0814,52.6248
2023-10,257.9666,48.7132
2023-11,233.3625,61.6976
2023-12,265.3224,68.3392
2024-01,259.2729,71.0275
2024-02,309.7496,79.0476
2024-03,277.6947,83.99
2024-04,228.2253,75.7344
2024-05,230.039,83.6813
2024-06,199.7245,89.2836
2024-07,208.2094,90.5002
2024-08,196.8408,94.0822
2024-09,225.4924,98.2932
2024-10,231.9325,95.412
2024-11,263.5944,105.8418
2024-12,282.3392,99.9875
2025-01,331.5041,105.351
2025-02,308.4297,101.7087
2025-03,256.088,89.4719
2025-04,280.7975,87.0451
2025-05,333.3416,97.8575
2025-06,458.2918,107.0685
2025-07,466.7642,110.7404
2025-08,416.1329,114.0337
2025-09,447.218,121.6081
2025-10,452.3049,125.7153
2025-11,422.8256,125.0226
2025-12,461.5269,124.0393
2026-01,484.1037,127.2713
2026-02,566.2647,125.3185
