Date,rate_CSGP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.6083,-0.6039
2016-03,5.2224,5.2168
2016-04,9.0676,3.9893
2016-05,12.0274,4.6886
2016-06,16.1367,4.1237
2016-07,8.1769,7.1795
2016-08,6.9085,6.3603
2016-09,10.677,5.6281
2016-10,-5.2739,3.196
2016-11,-2.6872,6.7601
2016-12,-3.3514,8.3626
2017-01,3.6237,10.2536
2017-02,3.8134,13.6522
2017-03,5.4361,12.7005
2017-04,22.0936,12.9818
2017-05,30.9923,13.693
2017-06,30.1286,13.5288
2017-07,34.2433,15.0481
2017-08,37.7395,14.5515
2017-09,27.1232,16.1037
2017-10,38.6328,17.9557
2017-11,41.1298,20.6805
2017-12,35.6976,21.3029
2018-01,58.1616,28.0338
2018-02,53.8828,22.1441
2018-03,60.7878,18.3021
2018-04,60.2942,18.0902
2018-05,64.291,20.2208
2018-06,75.2759,20.3415
2018-07,73.9846,23.8746
2018-08,82.3282,27.0072
2018-09,73.5373,27.7347
2018-10,47.0288,18.1437
2018-11,48.7314,19.7418
2018-12,34.3875,8.5778
2019-01,55.6504,17.1263
2019-02,80.2819,20.3748
2019-03,81.3121,22.0514
2019-04,90.4064,26.2651
2019-05,93.0211,17.5943
2019-06,107.2235,25.308
2019-07,127.0697,26.4355
2019-08,123.7248,23.7232
2019-09,115.8423,26.1617
2019-10,97.306,28.2707
2019-11,117.454,32.1761
2019-12,109.6497,35.3247
2020-01,128.804,35.2749
2020-02,130.889,23.5454
2020-03,100.432,7.7105
2020-04,119.0585,21.425
2020-05,119.4548,26.7132
2020-06,134.7438,28.4357
2020-07,177.3497,35.3124
2020-08,173.4544,43.9511
2020-09,169.9617,37.6938
2020-10,158.8199,33.4637
2020-11,182.7483,47.2943
2020-12,183.6036,51.8455
2021-01,176.0688,50.305
2021-02,149.788,53.4604
2021-03,146.5626,59.4101
2021-04,153.5526,66.6882
2021-05,150.7608,66.6274
2021-06,140.7017,69.2184
2021-07,155.6861,72.1455
2021-08,141.4215,75.992
2021-09,142.8152,66.6118
2021-10,140.4828,77.1553
2021-11,115.3437,74.6519
2021-12,117.0999,81.397
2022-01,91.1576,70.7122
2022-02,65.0364,64.6001
2022-03,79.1644,69.8532
2022-04,70.0325,54.0273
2022-05,61.8906,53.6333
2022-06,59.6059,40.2902
2022-07,90.7556,52.5094
2022-08,81.8307,45.531
2022-09,80.7375,31.5965
2022-10,113.3138,41.7445
2022-11,107.5389,48.9584
2022-12,96.5449,39.838
2023-01,98.1215,48.5632
2023-02,78.5547,44.2258
2023-03,73.0178,48.9578
2023-04,92.3403,50.6836
2023-05,97.2934,50.7741
2023-06,119.8026,59.884
2023-07,106.0345,64.3798
2023-08,99.951,60.953
2023-09,86.4011,52.6248
2023-10,77.0162,48.7132
2023-11,99.2217,61.6976
2023-12,108.4317,68.3392
2024-01,99.1099,71.0275
2024-02,106.3918,79.0476
2024-03,127.7424,83.99
2024-04,114.4798,75.7344
2024-05,82.1239,83.6813
2024-06,71.8944,89.2836
2024-07,80.081,90.5002
2024-08,77.5911,94.0822
2024-09,73.3189,98.2932
2024-10,66.5017,95.412
2024-11,85.2862,105.8418
2024-12,62.3208,99.9875
2025-01,73.6802,105.351
2025-02,72.1391,101.7087
2025-03,78.1235,89.4719
2025-04,66.0235,87.0451
2025-05,63.9813,97.8575
2025-06,78.5465,107.0685
2025-07,110.4636,110.7404
2025-08,96.8781,114.0337
2025-09,85.6189,121.6081
2025-10,50.746,125.7153
2025-11,50.2371,125.0226
2025-12,46.3821,124.0393
2026-01,33.887,127.2713
2026-02,-42.7044,125.3185
