Date,rate_IEX_5D,rate_VOO_20D
2016-01,3.0256,1.4254
2016-02,5.9513,0.6142
2016-03,13.7904,6.1243
2016-04,9.1799,4.6014
2016-05,9.1802,5.2878
2016-06,5.9069,4.687
2016-07,15.0199,7.7174
2016-08,17.7022,6.8637
2016-09,15.8482,5.9421
2016-10,5.9611,3.4868
2016-11,14.2925,6.843
2016-12,8.6948,8.2789
2017-01,8.4384,9.3935
2017-02,10.1867,12.821
2017-03,10.8015,12.0413
2017-04,23.369,12.4367
2017-05,26.5016,13.2406
2017-06,30.171,14.1802
2017-07,32.8158,15.6892
2017-08,32.3818,15.2834
2017-09,35.1574,16.8657
2017-10,42.0319,18.7799
2017-11,48.2526,21.509
2017-12,42.4024,22.1709
2018-01,53.2905,27.9258
2018-02,42.288,22.2578
2018-03,48.4427,18.4465
2018-04,37.7515,18.162
2018-05,41.944,20.337
2018-06,38.2502,20.5057
2018-07,55.5932,24.0401
2018-08,53.5011,27.2093
2018-09,49.3095,27.1082
2018-10,25.3415,17.9327
2018-11,34.7287,19.5577
2018-12,22.9157,8.5722
2019-01,33.958,16.8959
2019-02,39.0356,20.2219
2019-03,45.2897,21.9603
2019-04,48.7621,26.2654
2019-05,44.3725,20.4953
2019-06,61.5342,25.3574
2019-07,56.9132,26.514
2019-08,51.1132,24.0717
2019-09,49.4114,25.9454
2019-10,43.8847,27.4086
2019-11,49.5266,31.384
2019-12,56.942,34.5804
2020-01,48.77,33.8021
2020-02,33.4185,22.3336
2020-03,28.7771,15.1867
2020-04,42.6817,29.6272
2020-05,42.8881,28.2305
2020-06,37.8104,28.0341
2020-07,43.5251,33.4885
2020-08,56.0109,42.106
2020-09,48.1571,38.2475
2020-10,45.5118,34.0563
2020-11,52.9312,42.9575
2020-12,54.7835,47.5016
2021-01,48.3462,45.1166
2021-02,50.5832,43.0879
2021-03,60.6005,49.8512
2021-04,70.9702,56.911
2021-05,66.557,54.6413
2021-06,63.5943,57.2758
2021-07,67.9556,60.2291
2021-08,64.9674,64.0213
2021-09,51.582,55.5224
2021-10,62.5925,65.5435
2021-11,67.9909,65.5034
2021-12,66.4435,68.4598
2022-01,51.2858,58.7763
2022-02,34.2402,53.2596
2022-03,33.671,58.2953
2022-04,29.3116,52.2757
2022-05,27.6519,51.0659
2022-06,20.6913,38.0304
2022-07,38.839,50.1558
2022-08,33.4014,43.3725
2022-09,31.9993,29.6913
2022-10,46.7873,39.7003
2022-11,53.1152,46.8631
2022-12,48.4319,40.5677
2023-01,54.5037,48.7988
2023-02,42.1171,45.5387
2023-03,45.4148,49.6635
2023-04,30.788,48.4614
2023-05,24.942,48.1923
2023-06,35.0999,57.2072
2023-07,41.7397,61.7125
2023-08,38.2607,59.5229
2023-09,26.6473,51.3631
2023-10,16.6461,47.5518
2023-11,22.7195,60.474
2023-12,31.845,67.125
2024-01,28.5453,69.1001
2024-02,43.0037,77.1309
2024-03,47.442,83.2841
2024-04,40.6301,75.177
2024-05,32.902,83.1784
2024-06,27.8675,90.182
2024-07,33.5774,90.9416
2024-08,31.0214,97.1965
2024-09,31.9758,98.31
2024-10,27.9495,95.5089
2024-11,32.0876,105.9957
2024-12,21.3813,100.2436
2025-01,31.5256,104.6582
2025-02,13.6975,101.1287
2025-03,5.7741,89.045
2025-04,3.6575,88.6819
2025-05,8.1381,99.6712
2025-06,5.4591,109.046
2025-07,-0.8502,112.823
2025-08,-0.2712,112.1707
2025-09,-1.3246,118.6779
2025-10,5.2998,122.8639
2025-11,6.7707,122.3204
2025-12,9.1564,121.4705
2026-01,23.4534,123.6468
2026-02,29.9834,120.852
