Date,rate_RVTY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.8799,-1.8027
2016-03,-0.0103,4.5695
2016-04,1.472,3.6217
2016-05,9.8374,4.6859
2016-06,3.5946,4.2011
2016-07,11.823,7.3141
2016-08,3.286,6.5393
2016-09,8.4168,5.8417
2016-10,-2.3952,3.4057
2016-11,-2.4364,7.0013
2016-12,0.5159,8.6582
2017-01,2.4763,9.9058
2017-02,4.2746,13.4199
2017-03,11.1162,12.5861
2017-04,12.9861,12.9516
2017-05,19.0441,13.7442
2017-06,27.3868,14.6714
2017-07,21.6904,16.2352
2017-08,22.6971,15.7466
2017-09,25.1994,17.3266
2017-10,30.0686,19.2474
2017-11,31.1827,22.0133
2017-12,28.9293,22.6523
2018-01,40.0498,28.4864
2018-02,31.9338,22.6807
2018-03,29.7974,18.8927
2018-04,24.7296,18.6249
2018-05,25.5564,20.8091
2018-06,22.8236,20.9812
2018-07,31.9911,24.5763
2018-08,52.827,27.7899
2018-09,59.1315,27.6747
2018-10,39.9853,18.1983
2018-11,39.9478,19.8597
2018-12,25.2932,8.8011
2019-01,43.5357,17.1215
2019-02,48.1297,20.4441
2019-03,50.2608,22.1999
2019-04,48.1715,26.5012
2019-05,32.4914,17.9266
2019-06,46.9558,25.7011
2019-07,30.3848,26.9004
2019-08,24.5469,24.2426
2019-09,27.701,26.142
2019-10,28.3212,28.3311
2019-11,37.9607,32.3256
2019-12,43.3648,35.5485
2020-01,35.7102,34.7719
2020-02,26.1896,23.2511
2020-03,9.4832,7.5779
2020-04,31.5709,21.2186
2020-05,45.3713,26.5774
2020-06,41.0833,28.3766
2020-07,70.1082,35.3325
2020-08,67.1691,44.0777
2020-09,76.9386,37.914
2020-10,81.27,33.7633
2020-11,84.6759,47.7098
2020-12,97.6635,52.3667
2021-01,100.9375,49.9654
2021-02,70.8719,53.2453
2021-03,72.6586,60.4049
2021-04,73.2935,67.83
2021-05,92.6419,67.8968
2021-06,103.571,70.6358
2021-07,138.3967,73.7106
2021-08,139.6912,77.7187
2021-09,122.864,68.3779
2021-10,125.6935,79.119
2021-11,130.593,76.6949
2021-12,152.4624,83.6042
2022-01,114.4394,72.9303
2022-02,122.0652,66.8181
2022-03,114.1395,72.1992
2022-04,78.7605,56.2223
2022-05,81.4414,55.8933
2022-06,71.4606,42.4002
2022-07,83.6519,54.8512
2022-08,60.9976,47.8158
2022-09,42.784,33.7039
2022-10,57.9038,44.0824
2022-11,64.409,51.4429
2022-12,64.1988,42.1877
2023-01,60.3105,50.5828
2023-02,44.5705,46.2373
2023-03,54.1065,52.2586
2023-04,50.3063,54.0684
2023-05,32.3572,54.1996
2023-06,35.9615,63.548
2023-07,40.3069,68.1942
2023-08,33.1472,64.7317
2023-09,25.6178,56.2636
2023-10,-6.1489,52.2886
2023-11,0.7658,65.5989
2023-12,23.8193,72.448
2024-01,21.1693,74.4576
2024-02,23.6492,82.7177
2024-03,18.2702,89.0282
2024-04,15.262,80.6052
2024-05,22.7265,88.8335
2024-06,17.5774,96.0415
2024-07,40.6325,97.3583
2024-08,36.8221,101.128
2024-09,42.2669,105.7758
2024-10,31.7307,102.865
2024-11,28.7048,113.7798
2024-12,23.435,107.7813
2025-01,39.232,112.3595
2025-02,23.4973,108.6721
2025-03,16.3121,96.0839
2025-04,2.6156,93.6359
2025-05,-0.7027,104.9003
2025-06,6.2113,114.5225
2025-07,-3.5264,118.4064
2025-08,-1.0761,121.8959
2025-09,-3.7645,128.6764
2025-10,2.743,133.0211
2025-11,14.5765,132.409
2025-12,6.0838,131.4906
2026-01,19.2188,133.7386
2026-02,7.5997,130.7823
2026-03,-1.9466,126.4154
