Date,rate_BAESY_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.5853,-3.7423
2016-03,-2.3521,0.3764
2016-04,-1.911,5.1946
2016-05,-0.9847,3.5695
2016-06,-0.3127,4.8356
2016-07,1.0013,4.3651
2016-08,-1.1063,7.2005
2016-09,1.6113,6.5176
2016-10,-3.1148,5.8316
2016-11,-5.1026,2.6321
2016-12,9.045,6.5262
2017-01,4.7119,8.6002
2017-02,6.4265,9.8701
2017-03,13.1889,14.9815
2017-04,15.25,12.5254
2017-05,16.9841,13.1716
2017-06,24.8711,14.581
2017-07,17.9956,14.626
2017-08,13.4838,16.4591
2017-09,11.764,15.9061
2017-10,19.0678,17.2911
2017-11,8.5593,19.4181
2017-12,4.7866,21.7575
2018-01,7.7982,22.6249
2018-02,17.9961,28.3844
2018-03,9.9325,21.0506
2018-04,13.5909,18.8566
2018-05,17.8117,18.843
2018-06,22.0286,22.0592
2018-07,18.8871,20.962
2018-08,15.2682,24.4135
2018-09,8.494,27.7869
2018-10,10.5076,28.1445
2018-11,-5.6095,19.3954
2018-12,-13.3842,19.8359
2019-01,-18.9019,8.7501
2019-02,-4.3165,17.203
2019-03,-12.7873,21.2677
2019-04,-9.3106,23.6016
2019-05,-10.5547,25.5902
2019-06,-19.6288,17.8911
2019-07,-11.2325,26.7327
2019-08,-6.9963,25.8061
2019-09,-5.061,24.2046
2019-10,-0.8198,24.595
2019-11,10.2624,29.5299
2019-12,7.4426,32.3145
2020-01,9.0868,35.5516
2020-02,19.6166,34.7733
2020-03,12.089,23.2161
2020-04,-14.9053,2.6957
2020-05,-10.1345,17.923
2020-06,-9.9811,27.1545
2020-07,-12.9334,29.2791
2020-08,-6.9908,35.3897
2020-09,5.4304,45.4969
2020-10,-1.3523,38.8421
2020-11,-16.5413,33.8054
2020-12,11.2864,49.4413
2021-01,8.6946,52.4925
2021-02,3.8725,52.5474
2021-03,9.9619,57.1165
2021-04,14.2309,62.2404
2021-05,15.2534,68.0147
2021-06,22.3685,67.9506
2021-07,19.7056,71.7835
2021-08,31.3592,73.9065
2021-09,27.211,78.108
2021-10,25.1195,70.559
2021-11,25.3389,79.7147
2021-12,18.893,74.8714
2022-01,21.4003,83.8439
2022-02,29.4397,74.2485
2022-03,60.3685,64.4857
2022-04,51.0942,72.8765
2022-05,52.1066,56.3809
2022-06,58.8151,54.7432
2022-07,67.1614,43.9638
2022-08,56.1228,54.5402
2022-09,41.8177,48.4061
2022-10,40.6186,33.808
2022-11,52.3123,43.6413
2022-12,62.3633,51.6237
2023-01,69.1649,42.3283
2023-02,71.026,52.4008
2023-03,76.3598,45.8599
2023-04,95.2557,52.4428
2023-05,106.9229,54.1535
2023-06,91.5025,55.8684
2023-07,89.4183,63.7729
2023-08,91.3814,67.9151
2023-09,101.7219,65.3142
2023-10,92.2303,56.4671
2023-11,116.1277,54.158
2023-12,111.56,66.8181
2024-01,123.4597,72.7134
2024-02,132.4844,77.0248
2024-03,145.4196,84.7703
2024-04,162.7852,89.0895
2024-05,158.3372,80.3005
2024-06,173.5734,89.1407
2024-07,143.9807,96.817
2024-08,146.6024,94.9948
2024-09,167.1967,101.4737
2024-10,152.9025,104.2286
2024-11,148.9445,104.0979
2024-12,136.2321,114.1559
2025-01,115.1005,108.1307
2025-02,127.6366,112.719
2025-03,172.4858,109.0154
2025-04,207.344,97.097
2025-05,247.1494,95.2965
2025-06,280.3265,105.2137
2025-07,281.138,114.7559
2025-08,258.4595,115.142
2025-09,242.0394,122.2543
2025-10,298.6276,129.8729
2025-11,262.3257,133.4127
2025-12,208.5953,131.7276
2026-01,236.2529,131.8756
2026-02,314.9663,131.1612
