Date,rate_VRT_5D,rate_VOO_20D
2018-08,0.0,0.0
2018-09,-1.0977,3.3895
2018-10,-1.1386,-6.0869
2018-11,0.574,-4.4256
2018-12,-0.0497,-15.4841
2019-01,0.6714,-7.1637
2019-02,1.0707,-3.8412
2019-03,1.8377,-2.0854
2019-04,2.6801,2.216
2019-05,2.0082,-6.3586
2019-06,2.431,1.4158
2019-07,2.7563,2.6152
2019-08,3.1395,-0.0426
2019-09,2.4138,1.8567
2019-10,2.934,4.0459
2019-11,2.3508,8.0403
2019-12,10.1938,11.2633
2020-01,23.2285,10.4866
2020-02,16.0119,-1.0342
2020-03,-15.4351,-16.7074
2020-04,4.8207,-3.0667
2020-05,25.8712,2.2921
2020-06,32.6696,4.0914
2020-07,40.272,11.0473
2020-08,55.1861,19.7925
2020-09,63.2812,13.6288
2020-10,63.8788,9.4781
2020-11,71.2964,23.4245
2020-12,68.358,28.0814
2021-01,78.9698,25.6801
2021-02,83.5159,28.9601
2021-03,72.8188,36.1196
2021-04,93.4643,43.5447
2021-05,108.5171,43.6115
2021-06,125.9184,46.3505
2021-07,128.4295,49.4254
2021-08,126.0009,53.4335
2021-09,90.4356,44.0926
2021-10,100.4755,54.8337
2021-11,97.6203,52.4096
2021-12,90.2309,59.3189
2022-01,57.1499,48.645
2022-02,-2.7153,42.5328
2022-03,4.75,47.914
2022-04,-6.4094,31.9371
2022-05,-17.7765,31.608
2022-06,-38.0922,18.1149
2022-07,-12.9561,30.5659
2022-08,-11.8572,23.5305
2022-09,-25.4704,9.4186
2022-10,10.408,19.7971
2022-11,6.6028,27.1576
2022-12,4.9727,17.9025
2023-01,9.176,26.2976
2023-02,24.4885,21.952
2023-03,9.2651,27.9734
2023-04,13.7482,29.7832
2023-05,46.8184,29.9144
2023-06,87.3658,39.2628
2023-07,95.2097,43.9089
2023-08,193.1549,40.4465
2023-09,173.9024,31.9783
2023-10,186.2235,28.0034
2023-11,214.9323,41.3137
2023-12,242.7504,48.1627
2024-01,297.6378,50.1723
2024-02,371.8764,58.4324
2024-03,463.2092,64.7429
2024-04,533.6935,56.3199
2024-05,560.2744,64.5482
2024-06,475.9001,71.7562
2024-07,417.5548,73.0731
2024-08,440.0818,76.8428
2024-09,539.9903,81.4905
2024-10,595.1304,78.5798
2024-11,702.4401,89.4946
2024-12,606.3615,83.496
2025-01,619.5503,88.0743
2025-02,478.8377,84.3868
2025-03,334.6303,71.7986
2025-04,408.9929,69.3506
2025-05,536.954,80.6151
2025-06,650.083,90.2372
2025-07,741.7539,94.1211
2025-08,629.8144,97.6106
2025-09,754.4906,104.3911
2025-10,981.1375,108.7359
2025-11,897.1614,108.1237
2025-12,789.7836,107.2053
2026-01,912.4125,109.4533
2026-02,1272.212,106.4971
2026-03,1235.4188,93.3245
2026-04,1633.093,115.101
2026-05,1548.9788,126.5521
2026-06,1631.4583,122.2379
2026-07,1137.1166,121.0284
2026-08,1390.5155,129.4762
