Date,rate_DECK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,17.6654,-1.8027
2016-03,18.1495,4.5695
2016-04,9.9381,3.6217
2016-05,-1.7762,4.6859
2016-06,7.3478,4.2011
2016-07,21.8484,7.3141
2016-08,17.9659,6.5393
2016-09,5.9008,5.8417
2016-10,-7.692,3.4057
2016-11,6.1939,7.0013
2016-12,-1.704,8.6582
2017-01,2.3484,9.9058
2017-02,-6.1858,13.4199
2017-03,6.3936,12.5861
2017-04,5.746,12.9516
2017-05,22.7149,13.7442
2017-06,19.4042,14.6714
2017-07,12.4926,16.2352
2017-08,10.1477,15.7466
2017-09,17.266,17.3266
2017-10,16.1921,19.2474
2017-11,26.4162,22.0133
2017-12,34.5637,22.6523
2018-01,42.2338,28.4864
2018-02,55.074,22.6807
2018-03,45.6745,18.8927
2018-04,49.2074,18.6249
2018-05,78.9203,20.8091
2018-06,75.8132,20.9812
2018-07,73.2755,24.5763
2018-08,84.6279,27.7899
2018-09,77.1948,27.6747
2018-10,87.6439,18.1983
2018-11,93.867,19.8597
2018-12,83.6723,8.8011
2019-01,82.1192,17.1215
2019-02,106.9706,20.4441
2019-03,102.9049,22.1999
2019-04,115.6174,26.5012
2019-05,104.6092,17.9266
2019-06,133.822,25.7011
2019-07,104.9092,26.9004
2019-08,91.1832,24.2426
2019-09,89.0415,26.142
2019-10,94.149,28.3311
2019-11,111.3014,32.3256
2019-12,109.8272,35.5485
2020-01,134.6758,34.7719
2020-02,111.2051,23.2511
2020-03,61.1865,7.5779
2020-04,77.8024,21.2186
2020-05,116.4193,26.5774
2020-06,130.3874,28.3766
2020-07,142.9613,35.3325
2020-08,134.2311,44.0777
2020-09,150.1683,37.914
2020-10,184.9684,33.7633
2020-11,183.1898,47.7098
2020-12,215.4676,52.3667
2021-01,217.5886,49.9654
2021-02,250.7292,53.2453
2021-03,251.3038,60.4049
2021-04,255.5518,67.83
2021-05,248.752,67.8968
2021-06,294.947,70.6358
2021-07,317.7429,73.7106
2021-08,320.7093,77.7187
2021-09,258.1703,68.3779
2021-10,288.9953,79.119
2021-11,294.6887,76.6949
2021-12,252.9717,83.6042
2022-01,205.562,72.9303
2022-02,172.8915,66.8181
2022-03,156.7323,72.1992
2022-04,147.2013,56.2223
2022-05,147.8818,55.8933
2022-06,133.9277,42.4002
2022-07,184.8999,54.8512
2022-08,190.1251,47.8158
2022-09,179.77,33.7039
2022-10,210.7029,44.0824
2022-11,251.2044,51.4429
2022-12,248.4834,42.1877
2023-01,270.0652,50.5828
2023-02,257.3735,46.2373
2023-03,282.6691,52.2586
2023-04,304.5923,54.0684
2023-05,297.5246,54.1996
2023-06,337.9311,63.548
2023-07,347.4055,68.1942
2023-08,331.7219,64.7317
2023-09,316.0134,56.2636
2023-10,379.2335,52.2886
2023-11,428.4933,65.5989
2023-12,427.519,72.448
2024-01,489.842,74.4576
2024-02,594.8556,82.7177
2024-03,623.9591,89.0282
2024-04,524.1234,80.6052
2024-05,727.1569,88.8335
2024-06,625.612,96.0415
2024-07,585.8772,97.3583
2024-08,607.2871,101.128
2024-09,599.6098,105.7758
2024-10,600.2403,102.865
2024-11,746.0395,113.7798
2024-12,769.6587,107.7813
2025-01,653.3277,112.3595
2025-02,487.3049,108.6721
2025-03,367.701,96.0839
2025-04,360.3383,93.6359
2025-05,335.2539,104.9003
2025-06,322.2788,114.5225
2025-07,332.0684,118.4064
2025-08,383.627,121.8959
2025-09,307.0585,128.6764
2025-10,225.2136,133.0211
2025-11,249.216,132.409
2025-12,308.7503,131.4906
2026-01,367.5707,133.7386
2026-02,356.5017,130.7823
2026-03,297.3434,126.4154
