Date,rate_HOLX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.5698,-3.7423
2016-03,-2.6245,0.3764
2016-04,-4.649,5.1946
2016-05,-6.3283,3.5695
2016-06,-2.059,4.8356
2016-07,-1.1938,4.3651
2016-08,10.6903,7.2005
2016-09,7.8829,6.5176
2016-10,8.0252,5.8316
2016-11,-1.5399,2.6321
2016-12,4.0652,6.5262
2017-01,10.5518,8.6002
2017-02,11.7291,9.8701
2017-03,11.8071,14.9815
2017-04,14.6787,12.5254
2017-05,21.2674,13.1716
2017-06,17.3383,14.581
2017-07,19.0721,14.626
2017-08,14.4728,16.4591
2017-09,-0.448,15.9061
2017-10,-5.1371,17.2911
2017-11,-0.9946,19.4181
2017-12,5.9152,21.7575
2018-01,10.5792,22.6249
2018-02,9.714,28.3844
2018-03,-2.4496,21.0506
2018-04,-3.9817,18.8566
2018-05,1.9994,18.843
2018-06,-2.0081,22.0592
2018-07,2.302,20.962
2018-08,6.545,24.4135
2018-09,2.051,27.7869
2018-10,5.269,28.1445
2018-11,2.678,19.3954
2018-12,13.6544,19.8359
2019-01,4.8298,8.7501
2019-02,11.3198,17.203
2019-03,21.7401,21.2677
2019-04,21.8629,23.6016
2019-05,15.8258,25.5902
2019-06,10.4195,17.8911
2019-07,20.7328,26.7327
2019-08,26.7308,25.8061
2019-09,22.4984,24.2046
2019-10,20.2912,24.595
2019-11,19.7986,29.5299
2019-12,25.9009,32.3145
2020-01,27.5332,35.5516
2020-02,30.1551,34.7733
2020-03,14.0582,23.2161
2020-04,-21.0394,2.6957
2020-05,19.8944,17.923
2020-06,28.8318,27.1545
2020-07,37.2587,29.2791
2020-08,67.29,35.3897
2020-09,40.9523,45.4969
2020-10,57.1158,38.8421
2020-11,61.9415,33.8054
2020-12,62.7836,49.4413
2021-01,69.1685,52.4925
2021-02,91.2433,52.5474
2021-03,70.8823,57.1165
2021-04,69.0733,62.2404
2021-05,48.1289,68.0147
2021-06,37.9434,67.9506
2021-07,52.2344,71.7835
2021-08,67.1578,73.9065
2021-09,76.0671,78.108
2021-10,58.9214,70.559
2021-11,59.0851,79.7147
2021-12,59.0789,74.8714
2022-01,65.8384,83.8439
2022-02,51.9446,74.2485
2022-03,51.9918,64.4857
2022-04,64.2113,72.8765
2022-05,52.8747,56.3809
2022-06,57.81,54.7432
2022-07,47.5783,43.9638
2022-08,48.6721,54.5402
2022-09,42.7827,48.4061
2022-10,34.1447,33.808
2022-11,53.6452,43.6413
2022-12,58.9005,51.6237
2023-01,53.7186,42.3283
2023-02,69.3947,52.4008
2023-03,61.0106,45.8599
2023-04,63.6336,52.4428
2023-05,76.9797,54.1535
2023-06,58.9984,55.8684
2023-07,61.9827,63.7729
2023-08,52.615,67.9151
2023-09,49.0849,65.3142
2023-10,37.2442,56.4671
2023-11,31.5032,54.158
2023-12,39.9428,66.8181
2024-01,40.114,72.7134
2024-02,45.4868,77.0248
2024-03,43.5404,84.7703
2024-04,47.8988,89.0895
2024-05,47.7286,80.3005
2024-06,42.429,89.1407
2024-07,42.6279,96.817
2024-08,59.6779,94.9948
2024-09,55.355,101.4737
2024-10,53.5309,104.2286
2024-11,56.3871,104.0979
2024-12,50.5017,114.1559
2025-01,36.0489,108.1307
2025-02,35.8114,112.719
2025-03,19.0517,109.0154
2025-04,15.1097,97.097
2025-05,7.294,95.2965
2025-06,16.3827,105.2137
2025-07,22.1463,114.7559
2025-08,25.369,115.142
2025-09,25.0749,122.2543
2025-10,24.7109,129.8729
2025-11,37.2589,133.4127
2025-12,38.6682,131.7276
2026-01,37.6981,131.8756
2026-02,38.6746,131.1612
