Date,rate_XLI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.0788,-1.8027
2016-03,8.7532,4.5695
2016-04,7.7508,3.6217
2016-05,5.7491,4.6859
2016-06,6.6629,4.2011
2016-07,9.4601,7.3141
2016-08,9.3171,6.5393
2016-09,9.6115,5.8417
2016-10,6.4847,3.4057
2016-11,15.5714,7.0013
2016-12,15.9747,8.6582
2017-01,16.8766,9.9058
2017-02,20.2007,13.4199
2017-03,18.9067,12.5861
2017-04,20.0355,12.9516
2017-05,20.9847,13.7442
2017-06,22.552,14.6714
2017-07,21.7192,16.2352
2017-08,20.9115,15.7466
2017-09,26.0069,17.3266
2017-10,25.7531,19.2474
2017-11,29.8184,22.0133
2017-12,32.7108,22.6523
2018-01,38.4326,28.4864
2018-02,31.6778,22.6807
2018-03,28.1306,18.8927
2018-04,23.5906,18.6249
2018-05,26.5594,20.8091
2018-06,22.4335,20.9812
2018-07,30.6842,24.5763
2018-08,30.0707,27.7899
2018-09,33.261,27.6747
2018-10,17.8794,18.1983
2018-11,21.7806,19.8597
2018-12,9.5857,8.8011
2019-01,21.7969,17.1215
2019-02,28.928,20.4441
2019-03,28.1404,22.1999
2019-04,32.3928,26.5012
2019-05,21.5741,17.9266
2019-06,31.7714,25.7011
2019-07,31.7036,26.9004
2019-08,27.5631,24.2426
2019-09,32.163,26.142
2019-10,33.0571,28.3311
2019-11,38.2511,32.3256
2019-12,38.5232,35.5485
2020-01,37.1275,34.7719
2020-02,22.8944,23.2511
2020-03,-0.4249,7.5779
2020-04,8.4754,21.2186
2020-05,14.2038,26.5774
2020-06,16.183,28.3766
2020-07,21.0059,35.3325
2020-08,30.8366,44.0777
2020-09,29.3998,37.914
2020-10,27.0427,33.7633
2020-11,46.8442,47.7098
2020-12,47.5353,52.3667
2021-01,40.4966,49.9654
2021-02,49.4451,53.2453
2021-03,61.9473,60.4049
2021-04,66.6544,67.83
2021-05,70.8065,67.8968
2021-06,65.845,70.6358
2021-07,66.3919,73.7106
2021-08,67.2538,77.7187
2021-09,56.194,68.3779
2021-10,65.911,79.119
2021-11,59.1103,76.6949
2021-12,66.823,83.6042
2022-01,57.9687,72.9303
2022-02,55.8422,66.8181
2022-03,60.4378,72.1992
2022-04,47.5151,56.2223
2022-05,46.219,55.8933
2022-06,34.9042,42.4002
2022-07,47.2106,54.8512
2022-08,42.4696,47.8158
2022-09,27.1954,33.7039
2022-10,44.465,44.0824
2022-11,55.163,51.4429
2022-12,49.8856,42.1877
2023-01,54.8265,50.5828
2023-02,52.8491,46.2373
2023-03,53.1486,52.2586
2023-04,50.7673,54.0684
2023-05,45.4658,54.1996
2023-06,61.232,63.548
2023-07,65.1915,68.1942
2023-08,61.2209,64.7317
2023-09,51.0385,56.2636
2023-10,46.0163,52.2886
2023-11,58.3714,65.5989
2023-12,68.8676,72.448
2024-01,66.535,74.4576
2024-02,77.7406,82.7177
2024-03,84.745,89.0282
2024-04,77.4316,80.6052
2024-05,79.5577,88.8335
2024-06,77.015,96.0415
2024-07,84.9437,97.3583
2024-08,89.3271,101.128
2024-09,94.7947,105.7758
2024-10,91.5964,102.865
2024-11,105.2098,113.7798
2024-12,87.8483,107.7813
2025-01,96.3884,112.3595
2025-02,92.6602,108.6721
2025-03,84.9978,96.0839
2025-04,84.4411,93.6359
2025-05,99.9072,104.9003
2025-06,106.1751,114.5225
2025-07,111.4891,118.4064
2025-08,110.5398,121.8959
2025-09,113.5216,128.6764
2025-10,113.7065,133.0211
2025-11,110.8733,132.409
2025-12,112.6406,131.4906
2026-01,125.7817,133.7386
2026-02,140.632,130.7823
2026-03,119.2784,117.6098
2026-04,135.6209,139.3863
2026-05,132.5972,150.8374
2026-06,147.72,146.5232
2026-07,135.1669,139.5994
