Date,rate_INVH_5D,rate_VOO_20D
2017-02,0.0,0.0
2017-03,7.5425,5.2297
2017-04,5.1665,1.2595
2017-05,2.7005,2.1014
2017-06,2.2827,3.5299
2017-07,1.5711,3.5816
2017-08,0.5434,5.3271
2017-09,9.9492,4.8003
2017-10,5.8416,6.1307
2017-11,5.5529,8.0789
2017-12,8.9736,10.145
2018-01,8.4247,10.8206
2018-02,0.768,15.9323
2018-03,0.5642,9.0778
2018-04,4.737,7.1506
2018-05,6.5641,7.266
2018-06,1.0908,10.3024
2018-07,5.504,9.3663
2018-08,5.6488,12.5783
2018-09,6.8018,15.6576
2018-10,3.5409,15.958
2018-11,-0.6344,8.0287
2018-12,-1.8837,8.5629
2019-01,-8.1211,-1.366
2019-02,3.5102,6.5919
2019-03,5.1084,10.4407
2019-04,11.9965,12.6621
2019-05,13.6117,14.5434
2019-06,17.5957,7.5674
2019-07,22.4622,15.7711
2019-08,24.5227,14.9656
2019-09,30.219,13.5537
2019-10,33.2264,13.9782
2019-11,37.5695,18.56
2019-12,35.6651,21.1377
2020-01,32.173,24.1132
2020-02,37.8469,23.3941
2020-03,25.3869,12.816
2020-04,-11.8427,-5.9065
2020-05,-0.2444,8.273
2020-06,22.398,16.8603
2020-07,23.9879,18.8641
2020-08,29.5851,24.5241
2020-09,25.0045,33.8312
2020-10,24.4333,27.676
2020-11,17.3859,23.0446
2020-12,26.1911,37.4514
2021-01,27.5638,40.2173
2021-02,30.066,40.2203
2021-03,25.4928,44.3763
2021-04,39.26,49.0276
2021-05,48.6195,54.2603
2021-06,54.7171,54.1177
2021-07,57.8016,57.5558
2021-08,69.8389,59.4178
2021-09,74.4514,63.1821
2021-10,60.2376,56.1775
2021-11,68.6535,64.4944
2021-12,62.8253,59.9783
2022-01,84.2279,68.1172
2022-02,68.6289,59.2612
2022-03,52.6425,50.286
2022-04,66.3399,57.9251
2022-05,60.3718,42.8162
2022-06,53.1812,41.3199
2022-07,43.1485,31.4802
2022-08,53.537,41.1728
2022-09,45.8354,35.5769
2022-10,34.1182,22.2611
2022-11,25.2338,31.3036
2022-12,28.5016,38.6355
2023-01,17.367,30.1528
2023-02,29.1372,39.4026
2023-03,20.6217,33.4362
2023-04,23.7891,39.4899
2023-05,32.129,41.074
2023-06,34.4241,42.6598
2023-07,36.1516,49.9091
2023-08,39.4735,53.702
2023-09,35.3567,51.317
2023-10,25.0842,43.22
2023-11,17.1349,41.1223
2023-12,34.768,52.7337
2024-01,35.7682,58.1329
2024-02,32.7214,62.0743
2024-03,36.6475,69.1541
2024-04,39.4147,73.0872
2024-05,35.0367,65.0183
2024-06,37.4424,73.0972
2024-07,42.0224,80.0997
2024-08,40.5643,78.4023
2024-09,45.2836,84.3028
2024-10,37.4407,86.7898
2024-11,24.0395,86.636
2024-12,35.0177,95.7995
2025-01,26.8247,90.2494
2025-02,23.2974,94.4092
2025-03,34.3545,90.9878
2025-04,37.2732,80.0679
2025-05,39.1134,78.406
2025-06,33.1503,87.4509
2025-07,30.3381,96.143
2025-08,20.359,96.464
2025-09,23.9228,102.9274
2025-10,15.8252,109.8463
2025-11,12.2433,113.0353
2025-12,10.6929,111.4541
2026-01,11.7859,111.5489
2026-02,-1.5535,112.1151
