Date,rate_IHI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-1.1514,-1.8027
2016-03,4.2214,4.5695
2016-04,8.0002,3.6217
2016-05,8.5244,4.6859
2016-06,10.6162,4.2011
2016-07,15.7271,7.3141
2016-08,13.2641,6.5393
2016-09,13.3699,5.8417
2016-10,3.9577,3.4057
2016-11,1.1073,7.0013
2016-12,2.4243,8.6582
2017-01,9.1531,9.9058
2017-02,14.0392,13.4199
2017-03,14.4791,12.5861
2017-04,18.3075,12.9516
2017-05,19.4781,13.7442
2017-06,22.5738,14.6714
2017-07,19.8222,16.2352
2017-08,19.9201,15.7466
2017-09,19.7424,17.3266
2017-10,22.7462,19.2474
2017-11,25.4447,22.0133
2017-12,21.4654,22.6523
2018-01,32.8975,28.4864
2018-02,26.4793,22.6807
2018-03,26.4524,18.8927
2018-04,27.7837,18.6249
2018-05,33.2238,20.8091
2018-06,33.879,20.9812
2018-07,37.8211,24.5763
2018-08,44.2198,27.7899
2018-09,47.8316,27.6747
2018-10,32.1118,18.1983
2018-11,38.3783,19.8597
2018-12,26.6975,8.8011
2019-01,35.806,17.1215
2019-02,41.6188,20.4441
2019-03,43.8133,22.1999
2019-04,38.5719,26.5012
2019-05,35.1107,17.9266
2019-06,46.4882,25.7011
2019-07,48.7684,26.9004
2019-08,49.4304,24.2426
2019-09,47.1312,26.142
2019-10,47.2455,28.3311
2019-11,52.5573,32.3256
2019-12,54.0478,35.5485
2020-01,53.1066,34.7719
2020-02,38.7909,23.2511
2020-03,28.8043,7.5779
2020-04,46.6116,21.2186
2020-05,52.0414,26.5774
2020-06,48.9868,28.3766
2020-07,63.8925,35.3325
2020-08,68.7652,44.0777
2020-09,65.2072,37.914
2020-10,63.2884,33.7633
2020-11,70.3954,47.7098
2020-12,76.8237,52.3667
2021-01,78.8503,49.9654
2021-02,75.4208,53.2453
2021-03,74.7091,60.4049
2021-04,86.168,67.83
2021-05,80.5127,67.8968
2021-06,87.071,70.6358
2021-07,96.5119,73.7106
2021-08,100.9713,77.7187
2021-09,90.9855,68.3779
2021-10,97.6493,79.119
2021-11,85.3574,76.6949
2021-12,96.3015,83.6042
2022-01,74.7139,72.9303
2022-02,74.2831,66.8181
2022-03,78.451,72.1992
2022-04,60.1295,56.2223
2022-05,57.6414,55.8933
2022-06,45.4398,42.4002
2022-07,54.3074,54.8512
2022-08,44.4613,47.8158
2022-09,34.6833,33.7039
2022-10,42.8733,44.0824
2022-11,50.3898,51.4429
2022-12,48.4223,42.1877
2023-01,51.8718,50.5828
2023-02,45.6164,46.2373
2023-03,50.646,52.2586
2023-04,57.8191,54.0684
2023-05,46.4929,54.1996
2023-06,55.7492,63.548
2023-07,54.1758,68.1942
2023-08,43.7228,64.7317
2023-09,32.6638,56.2636
2023-10,23.4852,52.2886
2023-11,36.4705,65.5989
2023-12,46.4937,72.448
2024-01,51.0421,74.4576
2024-02,53.2554,82.7177
2024-03,57.3776,89.0282
2024-04,47.2433,80.6052
2024-05,48.1618,88.8335
2024-06,49.0451,96.0415
2024-07,45.5634,97.3583
2024-08,55.5197,101.128
2024-09,55.9913,105.7758
2024-10,52.6142,102.865
2024-11,59.8972,113.7798
2024-12,52.43,107.7813
2025-01,66.1548,112.3595
2025-02,65.4496,108.6721
2025-03,55.6133,96.0839
2025-04,54.0902,93.6359
2025-05,59.0106,104.9003
2025-06,60.4121,114.5225
2025-07,52.365,118.4064
2025-08,58.1701,121.8959
2025-09,52.4254,128.6764
2025-10,52.2671,133.0211
2025-11,62.337,132.409
2025-12,56.2747,131.4906
2026-01,50.6244,133.7386
2026-02,50.5092,130.7823
2026-03,33.0348,117.6098
2026-04,27.0736,139.3863
2026-05,21.6529,150.8374
2026-06,22.5983,146.5232
2026-07,30.0833,145.3136
2026-08,37.111,152.6879
