Date,rate_VRTX_5D,rate_VOO_20D
2016-01,-25.712,-3.28
2016-02,-18.407,-1.8027
2016-03,-19.9064,4.5695
2016-04,-9.7345,3.6217
2016-05,1.7266,4.6859
2016-06,-6.4236,4.2011
2016-07,6.1451,7.3141
2016-08,2.5503,6.5393
2016-09,-5.6309,5.8417
2016-10,-17.3255,3.4057
2016-11,-9.6645,7.0013
2016-12,-17.3151,8.6582
2017-01,-2.0943,9.9058
2017-02,3.4211,13.4199
2017-03,24.443,12.5861
2017-04,32.9281,12.9516
2017-05,36.7121,13.7442
2017-06,40.2233,14.6714
2017-07,62.6263,16.2352
2017-08,68.5663,15.7466
2017-09,56.501,17.3266
2017-10,48.0703,19.2474
2017-11,44.1582,22.0133
2017-12,47.8975,22.6523
2018-01,62.5151,28.4864
2018-02,59.1647,22.6807
2018-03,54.0973,18.8927
2018-04,43.0116,18.6249
2018-05,42.3162,20.8091
2018-06,55.5277,20.9812
2018-07,58.3337,24.5763
2018-08,64.7944,27.7899
2018-09,70.1849,27.6747
2018-10,47.8706,18.1983
2018-11,56.1806,19.8597
2018-12,41.7604,8.8011
2019-01,61.9496,17.1215
2019-02,58.5038,20.4441
2019-03,52.9631,22.1999
2019-04,39.3,26.5012
2019-05,36.0006,17.9266
2019-06,49.1082,25.7011
2019-07,34.4982,26.9004
2019-08,44.2612,24.2426
2019-09,34.8685,26.142
2019-10,54.6992,28.3311
2019-11,74.0461,32.3256
2019-12,70.3274,35.5485
2020-01,75.1244,34.7719
2020-02,71.3143,23.2511
2020-03,80.4517,7.5779
2020-04,88.9871,21.2186
2020-05,114.6148,26.5774
2020-06,114.2339,28.3766
2020-07,98.8294,35.3325
2020-08,102.2137,44.0777
2020-09,95.4229,37.914
2020-10,48.4792,33.7633
2020-11,61.3619,47.7098
2020-12,66.3593,52.3667
2021-01,60.2014,49.9654
2021-02,47.7488,53.2453
2021-03,48.6237,60.4049
2021-04,50.1539,67.83
2021-05,42.8455,67.8968
2021-06,37.4262,70.6358
2021-07,36.8293,73.7106
2021-08,35.4169,77.7187
2021-09,22.2169,68.3779
2021-10,24.2851,79.119
2021-11,25.2846,76.6949
2021-12,46.5813,83.6042
2022-01,61.491,72.9303
2022-02,52.0532,66.8181
2022-03,71.6989,72.1992
2022-04,78.73,56.2223
2022-05,74.7399,55.8933
2022-06,82.2681,42.4002
2022-07,80.3203,54.8512
2022-08,80.2113,47.8158
2022-09,84.1269,33.7039
2022-10,97.2889,44.0824
2022-11,98.8707,51.4429
2022-12,80.4485,42.1877
2023-01,100.8207,50.5828
2023-02,79.4104,46.2373
2023-03,93.7044,52.2586
2023-04,108.298,54.0684
2023-05,96.655,54.1996
2023-06,112.6794,63.548
2023-07,111.6991,68.1942
2023-08,108.1129,64.7317
2023-09,106.5853,56.2636
2023-10,113.9358,52.2886
2023-11,108.4414,65.5989
2023-12,137.7032,72.448
2024-01,151.6584,74.4576
2024-02,142.8227,82.7177
2024-03,139.7923,89.0282
2024-04,124.0227,80.6052
2024-05,158.1895,88.8335
2024-06,164.1682,96.0415
2024-07,177.6685,97.3583
2024-08,176.0352,101.128
2024-09,157.3398,105.7758
2024-10,161.8314,102.865
2024-11,156.0404,113.7798
2024-12,119.0332,107.7813
2025-01,149.8122,112.3595
2025-02,158.1803,108.6721
2025-03,159.4425,96.0839
2025-04,171.1303,93.6359
2025-05,133.9996,104.9003
2025-06,134.4817,114.5225
2025-07,139.4093,118.4064
2025-08,103.911,121.8959
2025-09,103.3444,128.6764
2025-10,119.9588,133.0211
2025-11,123.0789,132.409
2025-12,132.1785,131.4906
2026-01,139.5065,133.7386
2026-02,152.0047,130.7823
2026-03,145.3249,129.7769
