Date,rate_MSI_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.5166,-3.7423
2016-03,6.1639,0.3764
2016-04,13.0669,5.1946
2016-05,8.447,3.5695
2016-06,-1.9644,4.8356
2016-07,-5.4132,4.3651
2016-08,0.5741,7.2005
2016-09,10.8376,6.5176
2016-10,9.4653,5.8316
2016-11,2.8752,2.6321
2016-12,12.3516,6.5262
2017-01,17.1755,8.6002
2017-02,11.8489,9.8701
2017-03,10.9261,14.9815
2017-04,19.4356,12.5254
2017-05,18.1318,13.1716
2017-06,16.3528,14.581
2017-07,17.5551,14.626
2017-08,23.6303,16.4591
2017-09,17.0108,15.9061
2017-10,12.8504,17.2911
2017-11,19.7875,19.4181
2017-12,22.1665,21.7575
2018-01,18.4107,22.6249
2018-02,29.1058,28.3844
2018-03,37.279,21.0506
2018-04,35.2555,18.8566
2018-05,38.0387,18.843
2018-06,37.5176,22.0592
2018-07,45.9798,20.962
2018-08,50.1175,24.4135
2018-09,57.7142,27.7869
2018-10,56.3875,28.1445
2018-11,49.4027,19.3954
2018-12,56.9192,19.8359
2019-01,36.8253,8.7501
2019-02,39.7584,17.203
2019-03,68.2865,21.2677
2019-04,64.5384,23.6016
2019-05,64.5473,25.5902
2019-06,71.2145,17.8911
2019-07,89.3113,26.7327
2019-08,84.8417,25.8061
2019-09,100.8405,24.2046
2019-10,82.2406,24.595
2019-11,82.7623,29.5299
2019-12,80.7184,32.3145
2020-01,73.1275,35.5516
2020-02,88.5251,34.7733
2020-03,74.8089,23.2161
2020-04,32.5893,2.6957
2020-05,45.2931,17.923
2020-06,44.5511,27.1545
2020-07,42.638,29.2791
2020-08,45.8549,35.3897
2020-09,59.5273,45.4969
2020-10,62.2534,38.8421
2020-11,62.4832,33.8054
2020-12,74.1271,49.4413
2021-01,73.1638,52.4925
2021-02,76.5528,52.5474
2021-03,83.1987,57.1165
2021-04,89.8912,62.2404
2021-05,88.423,68.0147
2021-06,103.7903,67.9506
2021-07,116.3223,71.7835
2021-08,119.6655,73.9065
2021-09,136.9193,78.108
2021-10,126.7891,70.559
2021-11,135.2687,79.7147
2021-12,134.2382,74.8714
2022-01,157.4473,83.8439
2022-02,117.7985,74.2485
2022-03,101.6641,64.4857
2022-04,121.3562,72.8765
2022-05,97.1947,56.3809
2022-06,99.5345,54.7432
2022-07,92.1077,43.9638
2022-08,115.0709,54.5402
2022-09,120.4384,48.4061
2022-10,101.5451,33.808
2022-11,117.2257,43.6413
2022-12,141.4814,51.6237
2023-01,128.1582,42.3283
2023-02,128.4602,52.4008
2023-03,130.0932,45.8599
2023-04,149.1345,52.4428
2023-05,154.7366,54.1535
2023-06,142.3898,55.8684
2023-07,150.9945,63.7729
2023-08,144.9551,67.9151
2023-09,139.6195,65.3142
2023-10,129.2532,56.4671
2023-11,134.7904,54.158
2023-12,170.6599,66.8181
2024-01,159.5828,72.7134
2024-02,167.8713,77.0248
2024-03,174.6786,84.7703
2024-04,188.3741,89.0895
2024-05,172.2367,80.3005
2024-06,193.8073,89.1407
2024-07,211.4248,96.817
2024-08,219.1454,94.9948
2024-09,251.6061,101.4737
2024-10,257.0931,104.2286
2024-11,258.4632,104.0979
2024-12,291.9816,114.1559
2025-01,262.6346,108.1307
2025-02,265.6924,112.719
2025-03,240.8022,109.0154
2025-04,237.8934,97.097
2025-05,238.2073,95.2965
2025-06,217.8991,105.2137
2025-07,226.2869,114.7559
2025-08,232.7428,115.142
2025-09,257.8102,122.2543
2025-10,244.7373,129.8729
2025-11,205.0006,133.4127
2025-12,178.401,131.7276
2026-01,185.2057,131.8756
2026-02,254.9489,131.1612
