Date,rate_KHC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.8227,-3.7423
2016-03,3.7296,0.3764
2016-04,5.085,5.1946
2016-05,2.4626,3.5695
2016-06,10.3796,4.8356
2016-07,14.1837,4.3651
2016-08,9.2583,7.2005
2016-09,13.2559,6.5176
2016-10,11.8087,5.8316
2016-11,9.2091,2.6321
2016-12,-0.5642,6.5262
2017-01,7.9147,8.6002
2017-02,8.6375,9.8701
2017-03,12.4361,14.9815
2017-04,10.8429,12.5254
2017-05,8.5335,13.1716
2017-06,12.6862,14.581
2017-07,3.4137,14.626
2017-08,4.4703,16.4591
2017-09,-2.0065,15.9061
2017-10,-5.9198,17.2911
2017-11,-5.4728,19.4181
2017-12,-0.1962,21.7575
2018-01,-4.433,22.6249
2018-02,-3.2624,28.3844
2018-03,-17.5396,21.0506
2018-04,-21.8323,18.8566
2018-05,-29.4087,18.843
2018-06,-25.0879,22.0592
2018-07,-17.4631,20.962
2018-08,-21.5857,24.4135
2018-09,-21.4279,27.7869
2018-10,-24.4938,28.1445
2018-11,-22.8705,19.3954
2018-12,-28.3856,19.8359
2019-01,-39.0441,8.7501
2019-02,-31.1914,17.203
2019-03,-52.7657,21.2677
2019-04,-50.6656,23.6016
2019-05,-48.6391,25.5902
2019-06,-55.3234,17.8911
2019-07,-49.3353,26.7327
2019-08,-44.6694,25.8061
2019-09,-55.1053,24.2046
2019-10,-50.5948,24.595
2019-11,-39.7622,29.5299
2019-12,-42.1213,32.3145
2020-01,-38.1067,35.5516
2020-02,-43.0459,34.7733
2020-03,-50.958,23.2161
2020-04,-51.3546,2.6957
2020-05,-38.4233,17.923
2020-06,-34.6361,27.1545
2020-07,-31.2965,29.2791
2020-08,-24.8018,35.3897
2020-09,-24.0087,45.4969
2020-10,-32.0279,38.8421
2020-11,-30.981,33.8054
2020-12,-22.8418,49.4413
2021-01,-18.9084,52.4925
2021-02,-21.9114,52.5474
2021-03,-12.5007,57.1165
2021-04,-4.4067,62.2404
2021-05,-1.3293,68.0147
2021-06,5.7645,67.9506
2021-07,-2.4226,71.7835
2021-08,-7.2577,73.9065
2021-09,-11.9071,78.108
2021-10,-10.3188,70.559
2021-11,-10.0504,79.7147
2021-12,-17.3911,74.8714
2022-01,-9.5435,83.8439
2022-02,-8.8338,74.2485
2022-03,-2.273,64.4857
2022-04,1.926,72.8765
2022-05,8.7885,56.3809
2022-06,-4.022,54.7432
2022-07,-0.3894,43.9638
2022-08,-3.5051,54.5402
2022-09,-1.7346,48.4061
2022-10,-13.0559,33.808
2022-11,-0.1787,43.6413
2022-12,5.2287,51.6237
2023-01,8.4121,42.3283
2023-02,7.8596,52.4008
2023-03,2.0783,45.8599
2023-04,3.8339,52.4428
2023-05,6.7137,54.1535
2023-06,2.4263,55.8684
2023-07,-3.7419,63.7729
2023-08,-2.6721,67.9151
2023-09,-10.5129,65.3142
2023-10,-7.487,56.4671
2023-11,-11.3719,54.158
2023-12,-1.0005,66.8181
2024-01,3.0774,72.7134
2024-02,5.2181,77.0248
2024-03,-2.1609,84.7703
2024-04,4.3505,89.0895
2024-05,2.1096,80.3005
2024-06,-0.4729,89.1407
2024-07,-9.2207,96.817
2024-08,0.963,94.9948
2024-09,4.4605,101.4737
2024-10,4.8262,104.2286
2024-11,-0.2265,104.0979
2024-12,-1.1787,114.1559
2025-01,-5.0672,108.1307
2025-02,-7.7123,112.719
2025-03,-4.9504,109.0154
2025-04,-2.3366,97.097
2025-05,-8.2442,95.2965
2025-06,-10.0087,105.2137
2025-07,-10.33,114.7559
2025-08,-7.5425,115.142
2025-09,-0.1873,122.2543
2025-10,-6.2225,129.8729
2025-11,-11.7047,133.4127
2025-12,-5.0305,131.7276
2026-01,-9.1878,131.8756
2026-02,-16.4469,120.852
