Date,rate_ADBE_5D,rate_VOO_20D
2016-01,-0.3702,1.4254
2016-02,-4.6474,0.6142
2016-03,5.3932,6.1243
2016-04,4.1269,4.6014
2016-05,8.5431,5.2878
2016-06,0.2872,4.687
2016-07,2.7075,7.7174
2016-08,6.8561,6.8637
2016-09,12.4691,5.9421
2016-10,10.157,3.4868
2016-11,4.0675,6.843
2016-12,3.7994,8.2789
2017-01,13.7305,9.3935
2017-02,17.4535,12.821
2017-03,27.6387,12.0413
2017-04,29.3965,12.4367
2017-05,35.3708,13.2406
2017-06,33.0159,14.1802
2017-07,35.8882,15.6892
2017-08,41.885,15.2834
2017-09,34.4974,16.8657
2017-10,56.0329,18.7799
2017-11,59.0856,21.509
2017-12,51.3324,22.1709
2018-01,70.1515,27.9258
2018-02,67.8687,22.2578
2018-03,70.2121,18.4465
2018-04,67.5372,18.162
2018-05,85.7233,20.337
2018-06,78.8236,20.5057
2018-07,76.8496,24.0401
2018-08,87.7477,27.2093
2018-09,89.6088,27.1082
2018-10,70.1659,17.9327
2018-11,71.68,19.5577
2018-12,53.0165,8.5722
2019-01,66.0428,16.8959
2019-02,73.9591,20.2219
2019-03,74.657,21.9603
2019-04,87.4887,26.2654
2019-05,76.16,20.4953
2019-06,86.0105,25.3574
2019-07,86.5856,26.514
2019-08,79.2294,24.0717
2019-09,72.3153,25.9454
2019-10,71.7777,27.4086
2019-11,89.6062,31.384
2019-12,99.979,34.5804
2020-01,110.6445,33.8021
2020-02,116.1399,22.3336
2020-03,113.4392,15.1867
2020-04,134.913,29.6272
2020-05,154.0323,28.2305
2020-06,176.7321,28.0341
2020-07,162.7585,33.4885
2020-08,199.9727,42.106
2020-09,186.2261,38.2475
2020-10,172.5533,34.0563
2020-11,168.8603,42.9575
2020-12,178.0732,47.5016
2021-01,156.8596,45.1166
2021-02,154.7341,43.0879
2021-03,158.0668,49.8512
2021-04,173.295,56.911
2021-05,168.681,54.6413
2021-06,208.907,57.2758
2021-07,215.8405,60.2291
2021-08,231.8643,64.0213
2021-09,213.5526,55.5224
2021-10,249.9924,65.5435
2021-11,253.7464,65.5034
2021-12,197.1717,68.4598
2022-01,177.4579,58.7763
2022-02,139.7332,53.2596
2022-03,131.7944,58.2953
2022-04,113.3425,52.2757
2022-05,117.4924,51.0659
2022-06,89.8106,38.0304
2022-07,111.3694,50.1558
2022-08,91.1936,43.3725
2022-09,40.0395,29.6913
2022-10,61.4974,39.7003
2022-11,50.8609,46.8631
2022-12,48.9413,40.5677
2023-01,61.3727,48.7988
2023-02,56.668,45.5387
2023-03,76.4872,49.6635
2023-04,72.907,48.4614
2023-05,96.3247,48.1923
2023-06,128.5094,57.2072
2023-07,141.1924,61.7125
2023-08,145.7245,59.5229
2023-09,122.5686,51.3631
2023-10,129.1455,47.5518
2023-11,151.9349,60.474
2023-12,144.4348,67.125
2024-01,151.5787,69.1001
2024-02,140.664,77.1309
2024-03,115.426,83.2841
2024-04,96.5394,75.177
2024-05,87.9244,83.1784
2024-06,133.6001,90.182
2024-07,132.0232,90.9416
2024-08,144.8731,97.1965
2024-09,119.487,98.31
2024-10,101.6408,95.5089
2024-11,116.568,105.9957
2024-12,85.7275,100.2436
2025-01,81.9332,104.6582
2025-02,81.6472,101.1287
2025-03,58.203,89.045
2025-04,54.1858,88.6819
2025-05,70.1009,99.6712
2025-06,65.6584,109.046
2025-07,52.6726,112.823
2025-08,51.8131,112.1707
2025-09,49.6932,118.6779
2025-10,44.0293,122.8639
2025-11,35.1616,122.3204
2025-12,47.4399,121.4705
2026-01,23.3199,123.6468
2026-02,10.1823,120.852
